Rank,Player,Team,Position
1,Trey McBride,ARI,TE
2,Colston Loveland,CHI,TE
3,Dalton Kincaid,BUF,TE
4,Mark Andrews,BAL,TE
5,Sam LaPorta,DET,TE
6,Tyler Warren,IND,TE
7,Dallas Goedert,PHI,TE
8,Tucker Kraft,GB,TE
9,Travis Kelce,KC,TE
10,Isaiah Likely,NYG,TE
11,George Kittle,SF,TE
12,Dalton Schultz,HOU,TE
13,Michael Mayer,LV,TE
14,Hunter Henry,NE,TE
15,Juwan Johnson,NO,TE
16,Harold Fannin,CLE,TE
17,Brenton Strange,JAC,TE
18,Jake Ferguson,DAL,TE
19,Kyle Pitts,ATL,TE
20,Pat Freiermuth,PIT,TE
21,Colby Parkinson,LAR,TE
22,Cade Otton,TB,TE
23,AJ Barner,SEA,TE
24,T.J. Hockenson,MIN,TE
25,Terrance Ferguson,LAR,TE
26,Mike Gesicki,CIN,TE
27,Evan Engram,DEN,TE
28,David Njoku,LAC,TE
29,Kenyon Sadiq,NYJ,TE
30,Greg Dulcich,MIA,TE
31,Gunnar Helm,TEN,TE
32,Darren Waller,CAR,TE
33,Cole Kmet,CHI,TE
34,Mason Taylor,NYJ,TE
35,Oronde Gadsden,LAC,TE
36,John Bates,WAS,TE
37,Darnell Washington,PIT,TE
38,Noah Fant,NO,TE
39,Dawson Knox,BUF,TE
40,Tommy Tremble,CAR,TE
41,Josh Oliver,MIN,TE
42,Jonnu Smith,GB,TE
43,Theo Johnson,NYG,TE
44,Tyler Higbee,LAR,TE
45,Charlie Kolar,LAC,TE
46,Ben Sinnott,WAS,TE
47,Eli Raridon,NE,TE
48,Elijah Arroyo,SEA,TE
49,Noah Gray,KC,TE
50,Durham Smythe,BAL,TE
51,Brevyn Spann-Ford,DAL,TE
52,Drew Sample,CIN,TE
53,Foster Moreau,HOU,TE
54,Adam Trautman,DEN,TE
55,Davis Allen,LAR,TE
56,Mitchell Evans,CAR,TE
57,Luke Farrell,SF,TE
58,Brock Wright,DET,TE
59,Cade Stover,HOU,TE
60,Erick All,CIN,TE
61,Nate Boerkircher,JAC,TE
62,Daniel Bellinger,TEN,TE
63,Jackson Hawes,BUF,TE
64,Blake Whiteheart,CLE,TE
65,Mo Alie-Cox,IND,TE
66,Austin Hooper,ATL,TE
67,Luke Schoonmaker,DAL,TE
68,Quintin Morris,JAC,TE
69,Matt Hibner,BAL,TE
70,Johnny Mundt,PHI,TE
71,Marlin Klein,HOU,TE
72,Jeremy Ruckert,NYJ,TE
73,Colson Yankoff,WAS,TE
74,Nate Adkins,DEN,TE
75,Will Kacmarek,MIA,TE
76,Charlie Woerner,ATL,TE
77,Elijah Higgins,ARI,TE
78,Hunter Long,ARI,TE
79,Jake Briningstool,KC,TE
80,Max Klare,LAR,TE
81,Sam Roush,CHI,TE
82,Brayden Willis,SF,TE
83,Ian Thomas,LV,TE
84,Eric Saubert,SEA,TE
85,Tyler Conklin,DET,TE
86,Josh Cuevas,BAL,TE
87,Jack Endries,CIN,TE
88,Josh Whyle,GB,TE
89,Drew Ogletree,IND,TE
90,Connor Heyward,LV,TE
91,Chris Manhertz,NYG,TE
92,Tanner Hudson,CIN,TE
93,Payne Durham,TB,TE
94,Chris Myarick,LV,TE
95,Treyton Welch,NO,TE
96,Feleipe Franks,CAR,TE
97,Carsen Ryan,CLE,TE
98,Mark Redman,GB,TE
99,Seydou Traore,MIA,TE
100,Nick Muse,ATL,TE
101,Ko Kieft,TB,TE
102,Keleki Latu,BUF,TE
103,Bauer Sharp,TB,TE
104,Gavin Bartholomew,MIN,TE
105,E.J. Jenkins,PHI,TE
106,Jelani Woods,NYJ,TE
107,Cameron Latu,NE,TE
108,David Martin-Robinson,TEN,TE
109,Robert Tonyan,PIT,TE
