Rank,Player,Team,Position
1,Josh Allen,BUF,QB
2,Lamar Jackson,BAL,QB
3,Dak Prescott,DAL,QB
4,Brock Purdy,SF,QB
5,Caleb Williams,CHI,QB
6,Jayden Daniels,WAS,QB
7,Jalen Hurts,PHI,QB
8,Patrick Mahomes,KC,QB
9,Drake Maye,NE,QB
10,Justin Herbert,LAC,QB
11,Jaxson Dart,NYG,QB
12,Jared Goff,DET,QB
13,Trevor Lawrence,JAC,QB
14,Bo Nix,DEN,QB
15,Matthew Stafford,LAR,QB
16,Jordan Love,GB,QB
17,Baker Mayfield,TB,QB
18,Joe Burrow,CIN,QB
19,Bryce Young,CAR,QB
20,Tyler Shough,NO,QB
21,C.J. Stroud,HOU,QB
22,Malik Willis,MIA,QB
23,Carson Wentz,MIN,QB
24,Daniel Jones,IND,QB
25,Drew Lock,SEA,QB
26,Jacoby Brissett,ARI,QB
27,Geno Smith,NYJ,QB
28,Aaron Rodgers,PIT,QB
29,Deshaun Watson,CLE,QB
30,Kirk Cousins,LV,QB
31,Cam Ward,TEN,QB
32,Cooper Rush,ATL,QB
