Rank,Player,Team,Position,Sources,Justin Boone (Sun 11:46 AM),Patrick Thorman (Sun 12:27 PM),Jeff Ratcliffe (Sun 12:30 PM),Sean Koerner (Sun 12:41 PM)
112,Jahdae Walker,CHI,WR,3,-116,115,99,109
113,Jaylin Lane,WAS,WR,3,-111,110,110,115
114,Tutu Atwell,LAR,WR,3,-112,111,117,107
115,Odell Beckham,NYG,WR,3,-114,113,115,116
116,Jonathan Mingo,DAL,WR,3,-119,118,113,120
117,Brenen Thompson,LAC,WR,3,-122,121,116,114
118,Derius Davis,LAC,WR,3,-121,120,118,123
119,Lil'Jordan Humphrey,DEN,WR,3,-117,116,127,133
120,Bo Melton,GB,WR,3,-127,126,114,117
121,Chimere Dike,TEN,WR,3,-120,119,125,129
122,Cyrus Allen,KC,WR,3,-124,123,120,124
123,Elijah Sarratt,BAL,WR,3,-125,124,122,119
124,Laquon Treadwell,IND,WR,3,-129,128,126,106
125,Tory Horton,SEA,WR,3,-113,112,139,144
126,Brycen Tremayne,CAR,WR,3,-123,122,129,128
127,Dohnte Meyers,CIN,WR,2,-118,117,-154,122
128,Myles Price,MIN,WR,2,-138,-138,119,121
129,Ben Skowronek,PIT,WR,3,-126,125,140,138
130,Colbie Young,CIN,WR,3,-136,135,124,125
131,Tez Johnson,TB,WR,3,-134,133,130,126
132,Isaiah Bond,CLE,WR,3,-128,127,134,143
133,John Metchie,CAR,WR,3,-131,130,137,136
134,Cody White,LV,WR,3,-133,132,136,134
135,CJ Daniels,LAR,WR,3,-137,136,131,127
136,Lewis Bond,HOU,WR,3,-132,131,135,139
137,Skyy Moore,GB,WR,3,-135,134,128,140
138,Barion Brown,NO,WR,2,-140,-140,123,141
139,Kaden Wetjen,PIT,WR,2,-142,-142,133,132
140,Arian Smith,NYJ,WR,2,-144,-144,141,130
141,Jalen Tolbert,MIA,WR,1,-139,-139,121,-170
142,Zavion Thomas,CHI,WR,2,-143,-143,138,142
143,Jacob Cowing,SF,WR,2,-145,-145,142,135
144,Marquez Valdes-Scantling,LAC,WR,1,-130,129,-155,-169
145,Deion Burks,IND,WR,2,-146,-146,143,137
146,Efton Chism,NE,WR,2,-149,-149,146,131
147,Luke McCaffrey,WAS,WR,1,-141,-141,132,-171
148,Treylon Burks,WAS,WR,2,-147,-147,144,148
149,KhaDarel Hodge,SF,WR,2,-150,-150,147,145
150,Hollywood Brown,PHI,WR,2,-148,-148,145,161
151,Tylan Wallace,CLE,WR,2,-151,-151,148,149
152,Greg Dortch,BUF,WR,2,-152,-152,149,146
153,Kameron Johnson,TB,WR,2,-154,-154,151,147
154,Darius Cooper,PHI,WR,2,-155,-155,152,157
155,Nikko Remigio,KC,WR,1,-156,-156,-156,150
156,J. Michael Sturdivant,GB,WR,1,-157,-157,-157,151
157,Tay Martin,DET,WR,1,-153,-153,150,-172
158,Jalen Royals,KC,WR,1,-158,-158,-158,152
159,Tom Kennedy,DET,WR,1,-159,-159,-159,153
160,Jalen Brooks,ARI,WR,1,-160,-160,-160,154
161,Montorie Foster,SEA,WR,1,-161,-161,-161,155
162,Jordan Watkins,SF,WR,1,-162,-162,-162,156
163,Dillon Bell,MIN,WR,1,-163,-163,-163,158
164,Dareke Young,LV,WR,1,-164,-164,-164,159
165,Kaden Davis,CHI,WR,1,-165,-165,-165,160
166,Ryan Miller,MIA,WR,1,-166,-166,-166,162
167,Gary Jennings,LAC,WR,1,-167,-167,-167,163
168,Kevin Austin,NO,WR,1,-168,-168,-168,164
169,Chris Blair,ATL,WR,1,-169,-169,-169,165
170,CJ Williams,JAC,WR,1,-170,-170,-170,166
171,Anthony Gould,IND,WR,1,-171,-171,-171,167
172,Malachi Corley,CLE,WR,1,-172,-172,-172,168
