Rank,Player,Team,Position
1,Jahmyr Gibbs,DET,RB
2,Bijan Robinson,ATL,RB
3,Christian McCaffrey,SF,RB
4,Derrick Henry,BAL,RB
5,Kenneth Walker III,KC,RB
6,Amon-Ra St. Brown,DET,WR
7,Jaxon Smith-Njigba,SEA,WR
8,Jonathan Taylor,IND,RB
9,James Cook,BUF,RB
10,Ja'Marr Chase,CIN,WR
11,Ashton Jeanty,LV,RB
12,Javonte Williams,DAL,RB
13,CeeDee Lamb,DAL,WR
14,Saquon Barkley,PHI,RB
15,Justin Jefferson,MIN,WR
16,De'Von Achane,MIA,RB
17,Kyren Williams,LAR,RB
18,Chris Olave,NO,WR
19,Breece Hall,NYJ,RB
20,George Pickens,DAL,WR
21,Chase Brown,CIN,RB
22,Bucky Irving,TB,RB
23,Garrett Wilson,NYJ,WR
24,Omarion Hampton,LAC,RB
25,David Montgomery,HOU,RB
26,D'Andre Swift,CHI,RB
27,DJ Moore,BUF,WR
28,DeVonta Smith,PHI,WR
29,Malik Nabers,NYG,WR
30,Aaron Jones,MIN,RB
31,Davante Adams,LAR,WR
32,Chuba Hubbard,CAR,RB
33,Christian Watson,GB,WR
34,Rhamondre Stevenson,NE,RB
35,Tetairoa McMillan,CAR,WR
36,Parker Washington,JAC,WR
37,Trey McBride,ARI,TE
38,Rashee Rice,KC,WR
39,Jameson Williams,DET,WR
40,Cam Skattebo,NYG,RB
41,Mike Evans,SF,WR
42,Jadarian Price,SEA,RB
43,Jaylen Waddle,DEN,WR
44,Emeka Egbuka,TB,WR
45,MarShawn Lloyd,GB,RB
46,DK Metcalf,PIT,WR
47,Tee Higgins,CIN,WR
48,Luther Burden,CHI,WR
49,Drake London,ATL,WR
50,Travis Etienne,NO,RB
51,Bhayshul Tuten,JAC,RB
52,Jacory Croskey-Merritt,WAS,RB
53,Terry McLaurin,WAS,WR
54,Jalen Coker,CAR,WR
55,Quinshon Judkins,CLE,RB
56,J.K. Dobbins,DEN,RB
57,Quentin Johnston,LAC,WR
58,Matthew Golden,GB,WR
59,Stefon Diggs,WAS,WR
