Rank,Player,Team,Position
1,Jaxon Smith-Njigba,SEA,WR
2,Amon-Ra St. Brown,DET,WR
3,CeeDee Lamb,DAL,WR
4,Ja'Marr Chase,CIN,WR
5,Justin Jefferson,MIN,WR
6,George Pickens,DAL,WR
7,Davante Adams,LAR,WR
8,Chris Olave,NO,WR
9,DJ Moore,BUF,WR
10,Malik Nabers,NYG,WR
11,Garrett Wilson,NYJ,WR
12,Christian Watson,GB,WR
13,DeVonta Smith,PHI,WR
14,Jameson Williams,DET,WR
15,Tetairoa McMillan,CAR,WR
16,Parker Washington,JAC,WR
17,Rashee Rice,KC,WR
18,Mike Evans,SF,WR
19,DK Metcalf,PIT,WR
20,Jaylen Waddle,DEN,WR
21,Emeka Egbuka,TB,WR
22,Tee Higgins,CIN,WR
23,Luther Burden,CHI,WR
24,Drake London,ATL,WR
25,Quentin Johnston,LAC,WR
26,Terry McLaurin,WAS,WR
27,Matthew Golden,GB,WR
28,Deebo Samuel,SF,WR
29,Jalen Coker,CAR,WR
30,Ladd McConkey,LAC,WR
31,Stefon Diggs,WAS,WR
32,Chris Godwin,TB,WR
33,Xavier Worthy,KC,WR
34,Courtland Sutton,DEN,WR
35,Jayden Reed,GB,WR
36,Rome Odunze,CHI,WR
37,Romeo Doubs,NE,WR
38,Jakobi Meyers,JAC,WR
39,Alec Pierce,IND,WR
40,Khalil Shakir,BUF,WR
41,Josh Downs,IND,WR
42,Michael Wilson,ARI,WR
43,Jordan Addison,MIN,WR
44,KC Concepcion,CLE,WR
45,Brian Thomas,JAC,WR
46,Marvin Harrison,ARI,WR
47,Carnell Tate,TEN,WR
48,Rashod Bateman,BAL,WR
49,Devaughn Vele,NO,WR
50,Tre Tucker,LV,WR
51,Kayshon Boutte,HOU,WR
52,Caleb Douglas,MIA,WR
53,Malik Washington,MIA,WR
54,Keenan Allen,IND,WR
55,Mack Hollins,NE,WR
56,Wan'Dale Robinson,TEN,WR
57,Pat Bryant,DEN,WR
58,Dontayvion Wicks,PHI,WR
59,Adonai Mitchell,NYJ,WR
60,Denzel Boston,CLE,WR
61,Tre' Harris,LAC,WR
62,Jalen Nailor,LV,WR
63,DeMario Douglas,NE,WR
64,Xavier Hutchinson,HOU,WR
65,Ryan Flournoy,DAL,WR
66,Roman Wilson,PIT,WR
67,Rashid Shaheed,SEA,WR
68,Demarcus Robinson,SF,WR
69,Jerry Jeudy,CLE,WR
70,Antonio Williams,WAS,WR
71,Makai Lemon,PHI,WR
72,Cooper Kupp,SEA,WR
73,Kalif Raymond,CHI,WR
74,Jalen McMillan,TB,WR
75,Jaylin Noel,HOU,WR
76,Tyquan Thornton,KC,WR
77,Kendrick Bourne,ARI,WR
78,Malachi Fields,NYG,WR
79,Devontez Walker,BAL,WR
80,Darnell Mooney,NYG,WR
81,Konata Mumpfield,LAR,WR
82,Jack Bech,LV,WR
83,Andrei Iosivas,CIN,WR
84,Bryce Lance,NO,WR
85,Isaac TeSlaa,DET,WR
86,Chris Bell,MIA,WR
87,Ted Hurst,TB,WR
88,Keon Coleman,BUF,WR
89,LaJohntay Wester,BAL,WR
90,Jahan Dotson,ATL,WR
91,Troy Franklin,DEN,WR
92,Xavier Legette,CAR,WR
93,Germie Bernard,PIT,WR
94,Elic Ayomanor,TEN,WR
95,Joshua Palmer,BUF,WR
96,Calvin Ridley,TEN,WR
97,Isaiah Williams,NYJ,WR
98,Xavier Smith,LAR,WR
99,Kyle Williams,NE,WR
100,Olamide Zaccheaus,ATL,WR
101,Dyami Brown,WAS,WR
102,Tai Felton,MIN,WR
103,Josh Cameron,JAC,WR
104,Chris Moore,BAL,WR
105,Travis Hunter,JAC,WR
106,KaVontae Turpin,DAL,WR
107,Jahdae Walker,CHI,WR
108,Zachariah Branch,ATL,WR
109,Jared Wayne,HOU,WR
110,Malik Benson,LV,WR
111,Jaylin Lane,WAS,WR
112,Kevin Coleman,MIA,WR
113,Tutu Atwell,LAR,WR
114,Brenen Thompson,LAC,WR
115,Jonathan Mingo,DAL,WR
116,Odell Beckham,NYG,WR
117,Bo Melton,GB,WR
118,Derius Davis,LAC,WR
119,Elijah Sarratt,BAL,WR
120,Cyrus Allen,KC,WR
121,Chimere Dike,TEN,WR
122,Laquon Treadwell,IND,WR
123,Lil'Jordan Humphrey,DEN,WR
124,Myles Price,MIN,WR
125,Puka Nacua,LAR,WR
126,Brycen Tremayne,CAR,WR
127,Colbie Young,CIN,WR
128,Tez Johnson,TB,WR
129,Tory Horton,SEA,WR
130,Skyy Moore,GB,WR
131,CJ Daniels,LAR,WR
132,Barion Brown,NO,WR
133,Dohnte Meyers,CIN,WR
134,Isaiah Bond,CLE,WR
135,Cody White,LV,WR
136,Lewis Bond,HOU,WR
137,John Metchie,CAR,WR
138,Ben Skowronek,PIT,WR
139,Kaden Wetjen,PIT,WR
140,Zavion Thomas,CHI,WR
141,Jalen Tolbert,MIA,WR
142,Arian Smith,NYJ,WR
143,Jacob Cowing,SF,WR
144,Treylon Burks,WAS,WR
145,Efton Chism,NE,WR
146,Deion Burks,IND,WR
147,Luke McCaffrey,WAS,WR
148,KhaDarel Hodge,SF,WR
149,Hollywood Brown,PHI,WR
150,Marquez Valdes-Scantling,LAC,WR
151,Kameron Johnson,TB,WR
152,Tylan Wallace,CLE,WR
153,Greg Dortch,BUF,WR
154,Nikko Remigio,KC,WR
155,Darius Cooper,PHI,WR
156,Malachi Corley,CLE,WR
157,Jalen Royals,KC,WR
158,Tay Martin,DET,WR
159,Montorie Foster,SEA,WR
160,Anthony Gould,IND,WR
161,J. Michael Sturdivant,GB,WR
162,Tom Kennedy,DET,WR
163,Kaden Davis,CHI,WR
164,Gary Jennings,LAC,WR
165,Jordan Watkins,SF,WR
166,Dillon Bell,MIN,WR
167,Jalen Brooks,ARI,WR
168,CJ Williams,JAC,WR
169,Chris Blair,ATL,WR
170,Ryan Miller,MIA,WR
171,Dareke Young,LV,WR
172,Kevin Austin,NO,WR
