Rank,Player,Team,Position
1,Jahmyr Gibbs,DET,RB
2,Bijan Robinson,ATL,RB
3,Christian McCaffrey,SF,RB
4,Kenneth Walker III,KC,RB
5,Derrick Henry,BAL,RB
6,Ashton Jeanty,LV,RB
7,Jonathan Taylor,IND,RB
8,James Cook,BUF,RB
9,Javonte Williams,DAL,RB
10,Saquon Barkley,PHI,RB
11,De'Von Achane,MIA,RB
12,Kyren Williams,LAR,RB
13,Breece Hall,NYJ,RB
14,Chase Brown,CIN,RB
15,Bucky Irving,TB,RB
16,Omarion Hampton,LAC,RB
17,Aaron Jones,MIN,RB
18,David Montgomery,HOU,RB
19,D'Andre Swift,CHI,RB
20,Chuba Hubbard,CAR,RB
21,Rhamondre Stevenson,NE,RB
22,Cam Skattebo,NYG,RB
23,Jadarian Price,SEA,RB
24,MarShawn Lloyd,GB,RB
25,Travis Etienne,NO,RB
26,Jaylen Warren,PIT,RB
27,Jeremiyah Love,ARI,RB
28,Jacory Croskey-Merritt,WAS,RB
29,Bhayshul Tuten,JAC,RB
30,J.K. Dobbins,DEN,RB
31,Quinshon Judkins,CLE,RB
32,Rico Dowdle,PIT,RB
33,Kenny Gainwell,TB,RB
34,Kyle Monangai,CHI,RB
35,Tony Pollard,TEN,RB
36,Blake Corum,LAR,RB
37,TreVeyon Henderson,NE,RB
38,Kaelon Black,SF,RB
39,Rachaad White,WAS,RB
40,Tyler Allgeier,ARI,RB
41,Tyjae Spears,TEN,RB
42,Woody Marks,HOU,RB
43,George Holani,SEA,RB
44,Jonathon Brooks,CAR,RB
45,Chris Brooks,GB,RB
46,Justice Hill,BAL,RB
47,Keaton Mitchell,LAC,RB
48,Braelon Allen,NYJ,RB
49,Chris Rodriguez,JAC,RB
50,Devin Singletary,NYG,RB
51,Alvin Kamara,NO,RB
52,Emmett Johnson,KC,RB
53,Samaje Perine,CIN,RB
54,Brian Robinson,ATL,RB
55,Jonah Coleman,DEN,RB
56,Mike Washington,LV,RB
57,Raheim Sanders,CLE,RB
58,Kaytron Allen,WAS,RB
59,DeeJay Dallas,MIN,RB
60,Sione Vaki,DET,RB
61,Emari Demercado,DAL,RB
62,Ray Davis,BUF,RB
63,Kimani Vidal,LAC,RB
64,Demond Claiborne,MIN,RB
65,Kyle Juszczyk,SF,RB
66,Will Shipley,PHI,RB
67,Sean Tucker,TB,RB
68,Tyler Badie,DEN,RB
69,Hunter Luepke,DAL,RB
70,Tank Bigsby,PHI,RB
71,Emanuel Wilson,SEA,RB
72,Seth McGowan,IND,RB
73,Jaylen Wright,MIA,RB
74,Isaiah Davis,NYJ,RB
75,Ollie Gordon,MIA,RB
76,Tyrone Tracy,NYG,RB
77,Kaleb Johnson,GB,RB
78,Frank Gore,BUF,RB
79,LeQuint Allen,JAC,RB
80,Rasheen Ali,BAL,RB
81,Jaleel McLaughlin,CLE,RB
82,Brashard Smith,KC,RB
83,Dylan Laube,LV,RB
84,Najee Harris,NYG,RB
85,Jacob Saylors,DET,RB
86,Alec Ingold,LAC,RB
87,Patrick Ricard,NYG,RB
88,Roschon Johnson,CHI,RB
89,Jordan James,SF,RB
90,CJ Donaldson,NO,RB
91,Ameer Abdullah,JAC,RB
92,AJ Dillon,CAR,RB
93,Tahj Brooks,CIN,RB
94,Bam Knight,ARI,RB
95,Corey Kiner,NE,RB
96,Nicholas Singleton,TEN,RB
97,Adam Prentice,DEN,RB
98,DJ Giddens,IND,RB
99,Julius Chestnut,TEN,RB
100,Max Bredeson,MIN,RB
101,Tyler Goodson,DAL,RB
102,Michael Burton,CLE,RB
103,Travis Homer,PIT,RB
104,Eli Heidenreich,PIT,RB
105,British Brooks,HOU,RB
106,Ronnie Rivers,LAR,RB
107,Reggie Gilliam,NE,RB
108,Andrew Beck,NYJ,RB
109,Brady Russell,SEA,RB
