Rank,Player,Team,Position
1,Amon-Ra St. Brown,DET,WR
2,Jaxon Smith-Njigba,SEA,WR
3,Ja'Marr Chase,CIN,WR
4,CeeDee Lamb,DAL,WR
5,Justin Jefferson,MIN,WR
6,Chris Olave,NO,WR
7,George Pickens,DAL,WR
8,Garrett Wilson,NYJ,WR
9,DJ Moore,BUF,WR
10,DeVonta Smith,PHI,WR
11,Malik Nabers,NYG,WR
12,Davante Adams,LAR,WR
13,Christian Watson,GB,WR
14,Tetairoa McMillan,CAR,WR
15,Parker Washington,JAC,WR
16,Rashee Rice,KC,WR
17,Jameson Williams,DET,WR
18,Mike Evans,SF,WR
19,Jaylen Waddle,DEN,WR
20,Emeka Egbuka,TB,WR
21,DK Metcalf,PIT,WR
22,Tee Higgins,CIN,WR
23,Luther Burden,CHI,WR
24,Drake London,ATL,WR
25,Terry McLaurin,WAS,WR
26,Jalen Coker,CAR,WR
27,Quentin Johnston,LAC,WR
28,Matthew Golden,GB,WR
29,Stefon Diggs,WAS,WR
30,Deebo Samuel,SF,WR
31,Chris Godwin,TB,WR
32,Rome Odunze,CHI,WR
33,Courtland Sutton,DEN,WR
34,Khalil Shakir,BUF,WR
35,Jakobi Meyers,JAC,WR
36,Josh Downs,IND,WR
37,Xavier Worthy,KC,WR
38,Jayden Reed,GB,WR
39,Michael Wilson,ARI,WR
40,Alec Pierce,IND,WR
41,Romeo Doubs,NE,WR
42,KC Concepcion,CLE,WR
43,Jordan Addison,MIN,WR
44,Ladd McConkey,LAC,WR
45,Carnell Tate,TEN,WR
46,Devaughn Vele,NO,WR
47,Marvin Harrison,ARI,WR
48,Tre Tucker,LV,WR
49,Brian Thomas,JAC,WR
50,Wan'Dale Robinson,TEN,WR
51,Caleb Douglas,MIA,WR
52,Malik Washington,MIA,WR
53,Keenan Allen,IND,WR
54,Puka Nacua,LAR,WR
55,Rashod Bateman,BAL,WR
56,Pat Bryant,DEN,WR
57,Dontayvion Wicks,PHI,WR
58,Denzel Boston,CLE,WR
59,Mack Hollins,NE,WR
60,Kayshon Boutte,HOU,WR
61,Tre' Harris,LAC,WR
62,Adonai Mitchell,NYJ,WR
63,Xavier Hutchinson,HOU,WR
64,DeMario Douglas,NE,WR
65,Jalen Nailor,LV,WR
66,Ryan Flournoy,DAL,WR
67,Rashid Shaheed,SEA,WR
68,Makai Lemon,PHI,WR
69,Roman Wilson,PIT,WR
70,Kendrick Bourne,ARI,WR
71,Jerry Jeudy,CLE,WR
72,Cooper Kupp,SEA,WR
73,Demarcus Robinson,SF,WR
74,Antonio Williams,WAS,WR
75,Jaylin Noel,HOU,WR
76,Malachi Fields,NYG,WR
77,Kalif Raymond,CHI,WR
78,Jalen McMillan,TB,WR
79,Jack Bech,LV,WR
80,Darnell Mooney,NYG,WR
81,Bryce Lance,NO,WR
82,Andrei Iosivas,CIN,WR
83,Isaac TeSlaa,DET,WR
84,Ted Hurst,TB,WR
85,Keon Coleman,BUF,WR
86,Tyquan Thornton,KC,WR
87,Chris Bell,MIA,WR
88,Jahan Dotson,ATL,WR
89,Devontez Walker,BAL,WR
90,Elic Ayomanor,TEN,WR
91,Xavier Legette,CAR,WR
92,Joshua Palmer,BUF,WR
93,Isaiah Williams,NYJ,WR
94,Troy Franklin,DEN,WR
95,LaJohntay Wester,BAL,WR
96,Josh Cameron,JAC,WR
97,Olamide Zaccheaus,ATL,WR
98,Konata Mumpfield,LAR,WR
99,Calvin Ridley,TEN,WR
100,Germie Bernard,PIT,WR
101,Travis Hunter,JAC,WR
102,Kyle Williams,NE,WR
103,Jahdae Walker,CHI,WR
104,Dyami Brown,WAS,WR
105,KaVontae Turpin,DAL,WR
106,Jaylin Lane,WAS,WR
107,Kevin Coleman,MIA,WR
108,Brenen Thompson,LAC,WR
109,Jared Wayne,HOU,WR
110,Tai Felton,MIN,WR
111,Dohnte Meyers,CIN,WR
112,Zachariah Branch,ATL,WR
113,Malik Benson,LV,WR
114,Jonathan Mingo,DAL,WR
115,Bo Melton,GB,WR
116,Xavier Smith,LAR,WR
117,Chris Moore,BAL,WR
118,Odell Beckham,NYG,WR
119,Derius Davis,LAC,WR
120,Chimere Dike,TEN,WR
121,Cyrus Allen,KC,WR
122,Colbie Young,CIN,WR
123,Barion Brown,NO,WR
124,Skyy Moore,GB,WR
125,Tutu Atwell,LAR,WR
126,Elijah Sarratt,BAL,WR
127,Brycen Tremayne,CAR,WR
128,Laquon Treadwell,IND,WR
129,Tez Johnson,TB,WR
130,Isaiah Bond,CLE,WR
131,Braxton Berrios,NYG,WR
132,Zavion Thomas,CHI,WR
133,Cody White,LV,WR
134,Hollywood Brown,PHI,WR
135,Jalen Tolbert,MIA,WR
136,Tory Horton,SEA,WR
137,Treylon Burks,WAS,WR
138,Lil'Jordan Humphrey,DEN,WR
139,Jacob Cowing,SF,WR
140,Ben Skowronek,PIT,WR
141,Luke McCaffrey,WAS,WR
142,Darius Cooper,PHI,WR
143,Tylan Wallace,CLE,WR
144,KhaDarel Hodge,SF,WR
145,Kevin Austin,NO,WR
146,Lewis Bond,HOU,WR
147,CJ Daniels,LAR,WR
148,John Metchie,CAR,WR
149,Arian Smith,NYJ,WR
150,Tay Martin,DET,WR
151,Greg Dortch,BUF,WR
152,Tom Kennedy,DET,WR
153,Chris Blair,ATL,WR
154,Jordan Whittington,LAR,WR
155,Kameron Johnson,TB,WR
156,Efton Chism,NE,WR
157,Marquez Valdes-Scantling,LAC,WR
158,Myles Price,MIN,WR
159,Dareke Young,LV,WR
160,Kaden Davis,CHI,WR
161,Jalen Brooks,ARI,WR
162,Kaden Wetjen,PIT,WR
163,Deion Burks,IND,WR
164,Nikko Remigio,KC,WR
165,J. Michael Sturdivant,GB,WR
166,Jalen Royals,KC,WR
167,Montorie Foster,SEA,WR
168,Jordan Watkins,SF,WR
169,Gary Jennings,LAC,WR
170,Dillon Bell,MIN,WR
171,CJ Williams,JAC,WR
172,Ryan Miller,MIA,WR
173,Anthony Gould,IND,WR
174,Malachi Corley,CLE,WR
