Rank,Player,Team,Position
1,Trey McBride,ARI,TE
2,Colston Loveland,CHI,TE
3,Dalton Kincaid,BUF,TE
4,Mark Andrews,BAL,TE
5,Tyler Warren,IND,TE
6,Sam LaPorta,DET,TE
7,Dallas Goedert,PHI,TE
8,Michael Mayer,LV,TE
9,Isaiah Likely,NYG,TE
10,Travis Kelce,KC,TE
11,Dalton Schultz,HOU,TE
12,Tucker Kraft,GB,TE
13,George Kittle,SF,TE
14,Juwan Johnson,NO,TE
15,Harold Fannin,CLE,TE
16,Hunter Henry,NE,TE
17,Jake Ferguson,DAL,TE
18,Brenton Strange,JAC,TE
19,Kyle Pitts,ATL,TE
20,Pat Freiermuth,PIT,TE
21,T.J. Hockenson,MIN,TE
22,Cade Otton,TB,TE
23,Evan Engram,DEN,TE
24,Colby Parkinson,LAR,TE
25,Mike Gesicki,CIN,TE
26,AJ Barner,SEA,TE
27,Terrance Ferguson,LAR,TE
28,David Njoku,LAC,TE
29,Kenyon Sadiq,NYJ,TE
30,Greg Dulcich,MIA,TE
31,Gunnar Helm,TEN,TE
32,Darren Waller,CAR,TE
33,Mason Taylor,NYJ,TE
34,Cole Kmet,CHI,TE
35,Noah Fant,NO,TE
36,John Bates,WAS,TE
37,Darnell Washington,PIT,TE
38,Oronde Gadsden,LAC,TE
39,Tommy Tremble,CAR,TE
40,Dawson Knox,BUF,TE
41,Jonnu Smith,GB,TE
42,Josh Oliver,MIN,TE
43,Theo Johnson,NYG,TE
44,Ben Sinnott,WAS,TE
45,Charlie Kolar,LAC,TE
46,Noah Gray,KC,TE
47,Tyler Higbee,LAR,TE
48,Eli Raridon,NE,TE
49,Elijah Arroyo,SEA,TE
50,Durham Smythe,BAL,TE
51,Adam Trautman,DEN,TE
52,Brevyn Spann-Ford,DAL,TE
53,Drew Sample,CIN,TE
54,Foster Moreau,HOU,TE
55,Luke Farrell,SF,TE
56,Mitchell Evans,CAR,TE
57,Brock Wright,DET,TE
58,Cade Stover,HOU,TE
59,Blake Whiteheart,CLE,TE
60,Davis Allen,LAR,TE
61,Nate Boerkircher,JAC,TE
62,Erick All,CIN,TE
63,Daniel Bellinger,TEN,TE
64,Mo Alie-Cox,IND,TE
65,Jeremy Ruckert,NYJ,TE
66,Matt Hibner,BAL,TE
67,Austin Hooper,ATL,TE
68,Jackson Hawes,BUF,TE
69,Charlie Woerner,ATL,TE
70,Quintin Morris,JAC,TE
71,Elijah Higgins,ARI,TE
72,Johnny Mundt,PHI,TE
73,Marlin Klein,HOU,TE
74,Colson Yankoff,WAS,TE
75,Luke Schoonmaker,DAL,TE
76,Hunter Long,ARI,TE
77,Will Kacmarek,MIA,TE
78,Nate Adkins,DEN,TE
79,Sam Roush,CHI,TE
80,Jake Briningstool,KC,TE
81,Max Klare,LAR,TE
82,Connor Heyward,LV,TE
83,Tanner Hudson,CIN,TE
84,Ian Thomas,LV,TE
85,Eric Saubert,SEA,TE
86,Josh Whyle,GB,TE
87,Tyler Conklin,DET,TE
88,Brayden Willis,SF,TE
89,Jack Endries,CIN,TE
90,Josh Cuevas,BAL,TE
91,Chris Manhertz,NYG,TE
92,Drew Ogletree,IND,TE
93,Payne Durham,TB,TE
94,Chris Myarick,LV,TE
95,Carsen Ryan,CLE,TE
96,Mark Redman,GB,TE
97,Nick Muse,ATL,TE
98,Gavin Bartholomew,MIN,TE
99,Seydou Traore,MIA,TE
100,Cameron Latu,NE,TE
101,Treyton Welch,NO,TE
102,Jelani Woods,NYJ,TE
103,Robert Tonyan,PIT,TE
104,E.J. Jenkins,PHI,TE
105,Keleki Latu,BUF,TE
106,Ko Kieft,TB,TE
107,Bauer Sharp,TB,TE
108,David Martin-Robinson,TEN,TE
