TE,Team,Bye,Targets,Rec,Rec Yds,Rec TD,Rush Att,Rush Yds,Rush TD,Fantasy Points (Half-PPR),Fantasy Points (PPR),TE Premium,Exp 100+ Scrim Yd Games,Exp 200+ Scrim Yd Games,Exp 40+ Rush Plays,Exp 20+ Yd Rec Plays
Brenden Bates,CLE,11.0,12.0,10.0,110.0,1.0,0.0,0.0,0.0,22.0,27.0,32.0,0.01,0.0,0.0,1.72
Cam Grandy,CIN,6.0,15.77,12.8,96.67,0.67,0.0,1.5,0.0,20.24,26.64,33.04,0.01,0.0,0.0,1.03
Jeremy Ruckert,NYJ,13.0,19.43,12.36,95.84,0.72,0.0,0.0,0.0,20.08,26.26,32.44,0.01,0.0,0.0,0.66
Jack Endries,CIN,6.0,21.57,10.84,107.68,0.7,0.0,0.0,0.0,20.39,25.81,31.23,0.01,0.0,0.0,0.77
Durham Smythe,BAL,13.0,16.3,10.48,101.45,0.71,0.0,0.0,0.0,19.65,24.89,30.12,0.01,0.0,0.0,1.1
Ben Sims,MIA,6.0,18.58,11.03,104.47,0.56,0.0,0.0,0.0,19.32,24.84,30.35,0.01,0.0,0.0,0.96
Donald Parham,PIT,9.0,14.2,9.5,70.0,0.0,0.0,36.0,0.7,19.55,24.3,29.05,0.01,0.0,0.0,0.48
Grant Calcaterra,PHI,10.0,18.0,10.04,95.51,0.71,0.0,0.0,0.0,18.83,23.85,28.87,0.01,0.0,0.0,0.79
Foster Moreau,HOU,8.0,9.99,8.68,90.77,0.93,0.0,0.0,0.0,19.0,23.34,27.68,0.01,0.0,0.0,1.41
Nate Adkins,DEN,10.0,14.78,9.91,72.53,0.89,0.0,0.0,0.0,17.55,22.5,27.46,0.0,0.0,0.0,0.49
Matthew Hibner,BAL,13.0,13.21,8.55,92.45,0.68,0.0,0.0,0.0,17.6,21.88,26.15,0.01,0.0,0.0,1.16
Brevyn Spann-Ford,DAL,14.0,13.87,8.87,87.25,0.65,0.0,0.0,0.0,17.06,21.49,25.93,0.01,0.0,0.0,0.96
Ian Thomas,LV,13.0,9.57,9.27,97.02,0.39,0.0,0.0,0.0,16.68,21.31,25.95,0.01,0.0,0.0,1.62
James Mitchell,CAR,5.0,11.1,10.12,102.41,0.0,0.0,0.0,0.0,15.3,20.36,25.42,0.01,0.0,0.0,1.61
John FitzPatrick,GB,11.0,14.6,10.7,66.0,0.5,0.0,0.0,0.0,14.95,20.3,25.65,0.0,0.0,0.0,0.34
Josh Whyle,GB,11.0,9.4,7.97,67.12,0.92,0.0,0.0,0.0,16.22,20.2,24.19,0.0,0.0,0.0,0.86
Riley Nowakowski,PIT,9.0,10.68,8.65,74.58,0.28,0.0,10.0,0.2,15.66,19.99,24.31,0.01,0.0,0.0,0.93
Sam Roush,CHI,10.0,12.34,7.99,80.04,0.58,0.0,0.29,0.0,15.51,19.5,23.5,0.0,0.0,0.0,0.92
Charlie Woerner,ATL,11.0,13.38,9.61,78.85,0.31,0.0,0.0,0.0,14.55,19.35,24.16,0.0,0.0,0.0,0.79
Tip Reiman,ARI,14.0,13.15,9.3,75.01,0.39,0.0,0.0,0.0,14.49,19.14,23.79,0.0,0.0,0.0,0.71
Will Mallory,IND,13.0,9.72,7.4,86.38,0.46,0.0,0.0,0.0,15.1,18.8,22.5,0.01,0.0,0.0,1.33
Luke Farrell,SF,8.0,9.42,7.85,67.97,0.68,0.0,0.0,0.0,14.8,18.73,22.65,0.0,0.0,0.0,0.88
Hunter Long,JAC,7.0,9.38,6.72,59.17,0.96,0.0,0.0,0.0,15.04,18.4,21.76,0.0,0.0,0.0,0.65
Tyler Conklin,DET,6.0,9.87,7.3,80.85,0.48,0.0,0.17,0.0,14.63,18.28,21.93,0.0,0.0,0.0,1.17
Travis Vokolek,ARI,14.0,12.15,8.35,68.5,0.5,0.0,0.0,0.0,14.03,18.2,22.38,0.0,0.0,0.0,0.64
Stone Smartt,PHI,10.0,11.0,8.45,88.1,0.1,0.0,0.0,0.0,13.63,17.86,22.09,0.01,0.0,0.0,1.25
Payne Durham,TB,10.0,10.04,6.28,67.52,0.73,0.0,0.0,0.0,14.27,17.41,20.55,0.0,0.0,0.0,0.81
John Michael Gyllenborg,KC,5.0,11.9,6.95,74.35,0.47,0.0,0.0,0.0,13.73,17.2,20.68,0.0,0.0,0.0,0.81
Jaren Kanak,TEN,9.0,11.7,7.45,69.05,0.47,0.0,0.0,0.0,13.45,17.18,20.9,0.0,0.0,0.0,0.69
Keleki Latu,BUF,7.0,6.4,7.3,85.46,0.0,0.0,0.0,0.0,12.2,15.85,19.5,0.01,0.0,0.0,1.61
Thomas Fidone II,NYG,8.0,10.15,6.57,66.23,0.41,0.0,0.0,0.0,12.37,15.65,18.94,0.0,0.0,0.0,0.76
Seydou Traore,MIA,6.0,9.33,6.81,66.83,0.34,0.0,0.0,0.0,12.13,15.53,18.94,0.0,0.0,0.0,0.86
Lucas Krull,DEN,10.0,8.62,6.5,52.52,0.52,0.0,0.0,0.0,11.62,14.87,18.12,0.0,0.0,0.0,0.55
Devin Culp,TB,10.0,6.51,5.18,55.57,0.62,0.0,0.0,0.0,11.87,14.46,17.05,0.0,0.0,0.0,0.83
Teagan Quitoriano,ARI,14.0,7.5,6.0,54.5,0.5,0.0,0.0,0.0,11.45,14.45,17.45,0.0,0.0,0.0,0.71
Dallen Bentley,DEN,10.0,7.5,5.7,55.97,0.5,0.0,0.0,0.0,11.45,14.3,17.15,0.0,0.0,0.0,0.75
