RB,Team,Bye,Rush Att,Rush Yds,Rush TD,Targets,Rec,Rec Yds,Rec TD,Fum,Fantasy Points (Half-PPR),Fantasy Points (PPR),Fantasy Points (STD),Exp 100+ Scrim Yd Games,Exp 200+ Scrim Yd Games,Exp 40+ Rush Plays,Exp 20+ Yd Rec Plays
Joe Mixon,FA,,0.0,331.5,2.89,0.0,18.7,142.8,0.68,,78.2,87.55,68.85,0.48,0.06,0.0,0.0
Ty Johnson,BUF,7.0,51.46,211.81,1.89,25.75,21.84,212.34,1.76,0.26,74.72,85.64,63.79,0.35,0.04,0.19,3.09
Samaje Perine,CIN,6.0,82.51,360.54,2.75,23.35,18.4,128.09,0.63,1.29,75.76,84.96,66.56,0.52,0.06,0.4,1.13
Braelon Allen,NYJ,13.0,95.54,383.6,3.19,20.05,12.58,93.41,0.45,1.07,73.69,79.98,67.4,0.48,0.06,0.32,0.54
Nick Chubb,FA,,0.0,418.2,3.74,0.0,6.8,49.3,0.17,,73.61,77.01,70.21,0.46,0.05,0.0,0.0
Keaton Mitchell,LAC,7.0,74.79,366.49,1.86,22.89,15.61,110.02,0.47,0.43,68.58,76.38,60.77,0.48,0.06,0.54,0.7
Antonio Gibson,FA,,0.0,241.4,1.7,0.0,20.4,153.0,0.68,,63.92,74.12,53.72,0.29,0.03,0.0,0.0
Kareem Hunt,FA,,0.0,323.0,3.57,0.0,10.2,76.5,0.34,,68.51,73.61,63.41,0.3,0.03,0.0,0.0
Mike Washington Jr.,LV,13.0,90.98,352.7,1.84,20.3,13.7,99.0,0.3,0.66,63.54,70.39,56.69,0.42,0.05,0.25,0.66
Kimani Vidal,LAC,7.0,71.91,271.68,1.65,15.4,13.18,113.42,0.67,0.19,58.64,65.23,52.05,0.27,0.03,0.17,1.49
Tank Bigsby,PHI,10.0,83.26,383.0,2.68,10.25,6.12,44.24,0.13,0.33,61.98,65.04,58.92,0.36,0.04,0.49,0.19
Jordan James,SF,8.0,67.11,271.42,1.86,16.79,11.67,92.75,0.5,0.62,55.17,61.01,49.34,0.23,0.02,0.23,0.83
Ray Davis,BUF,7.0,60.26,254.15,1.62,15.07,11.04,94.11,0.8,0.23,54.41,59.93,48.89,0.2,0.02,0.25,1.03
James Conner,ARI,14.0,48.55,208.22,1.49,18.88,15.06,105.93,0.66,0.25,51.34,58.88,43.81,0.14,0.01,0.22,0.97
Kaelon Black,SF,8.0,65.75,257.13,1.82,15.71,10.71,93.25,0.49,0.65,52.95,58.31,47.6,0.2,0.02,0.19,0.94
Chris Brooks,GB,11.0,51.72,218.04,1.05,20.18,15.53,106.71,0.36,0.5,47.7,55.47,39.94,0.16,0.01,0.22,0.87
Sean Tucker,TB,10.0,57.55,241.63,3.26,6.98,6.02,46.25,0.25,0.21,52.44,55.45,49.43,0.11,0.01,0.24,0.54
Jaylen Wright,MIA,6.0,76.77,308.44,1.8,13.13,7.67,60.22,0.2,1.0,50.7,54.54,46.87,0.24,0.02,0.26,0.33
MarShawn Lloyd,GB,11.0,62.57,266.77,1.69,14.0,9.39,67.24,0.31,0.27,49.56,54.25,44.86,0.17,0.02,0.28,0.43
Emari Demercado,KC,5.0,50.36,245.34,1.14,18.04,12.89,91.43,0.42,0.95,47.58,54.03,41.14,0.18,0.02,0.35,0.68
Jonah Coleman,DEN,10.0,49.48,207.26,1.62,16.97,11.8,88.84,0.42,0.24,47.27,53.17,41.37,0.12,0.01,0.2,0.71
Kyle Juszczyk,SF,8.0,3.8,8.04,0.09,27.61,22.59,199.63,1.54,0.08,41.68,52.98,30.39,0.04,0.0,0.0,2.58
Emanuel Wilson,SEA,11.0,65.7,276.13,1.58,11.98,8.68,63.77,0.21,0.41,48.25,52.59,43.91,0.18,0.02,0.27,0.53
Malik Davis,DAL,14.0,59.83,271.23,1.94,10.9,7.01,49.09,0.16,0.24,47.66,51.16,44.15,0.15,0.01,0.33,0.25
Austin Ekeler,WAS,7.0,35.0,178.7,1.35,8.0,12.35,100.7,0.42,0.0,44.73,50.91,38.56,0.1,0.01,0.28,1.86
Miles Sanders,FA,,0.0,238.0,1.7,0.0,8.5,59.5,0.34,,46.24,50.49,41.99,0.12,0.01,0.0,0.0
Isaiah Davis,NYJ,13.0,32.85,168.17,0.91,17.04,14.27,116.16,0.39,0.14,43.09,50.22,35.95,0.1,0.01,0.27,1.41
Brashard Smith,KC,5.0,26.41,104.29,0.68,17.0,18.36,129.71,0.74,0.14,40.82,50.0,31.64,0.05,0.0,0.08,1.77
Najee Harris,LAC,7.0,14.0,160.43,1.97,9.05,9.57,70.93,0.34,0.0,41.78,46.57,37.0,0.05,0.0,0.5,0.99
Jaydon Blue,DAL,14.0,56.14,230.16,1.51,9.15,7.0,49.01,0.23,0.19,41.48,44.98,37.98,0.1,0.01,0.21,0.41
George Holani,SEA,11.0,40.03,175.2,1.48,11.92,9.4,78.32,0.31,0.37,40.05,44.75,35.35,0.07,0.0,0.2,0.91
Kaytron Allen,WAS,7.0,49.66,243.52,1.49,8.03,5.84,41.4,0.18,0.17,41.09,44.01,38.17,0.11,0.01,0.36,0.32
DJ Giddens,IND,13.0,47.96,189.25,1.48,10.32,9.09,58.97,0.17,0.27,38.73,43.27,34.18,0.07,0.0,0.15,0.56
AJ Dillon,CAR,5.0,56.8,232.7,1.35,8.12,7.33,61.75,0.45,2.62,38.67,42.34,35.01,0.12,0.01,0.21,0.84
Emmett Johnson,KC,5.0,42.95,177.9,1.22,11.49,9.0,66.48,0.26,0.1,37.62,42.12,33.12,0.06,0.0,0.17,0.65
Adam Randall,BAL,13.0,38.25,175.03,1.09,9.39,7.6,64.17,0.53,0.36,36.72,40.52,32.92,0.06,0.0,0.22,0.78
LeQuint Allen Jr.,JAC,7.0,17.84,87.26,0.31,18.13,15.77,103.68,0.57,0.12,32.02,39.9,24.13,0.03,0.0,0.13,0.99
Devin Singletary,NYG,8.0,50.5,190.12,1.6,7.31,6.14,45.92,0.13,0.21,36.63,39.7,33.56,0.06,0.0,0.11,0.5
Nicholas Singleton,TEN,9.0,36.17,165.0,1.08,14.53,9.04,62.25,0.3,0.18,35.16,39.69,30.65,0.05,0.0,0.21,0.25
Jeremy McNichols,WAS,7.0,22.6,123.08,0.72,14.17,11.94,87.75,0.13,0.15,31.85,37.82,25.88,0.04,0.0,0.22,0.94
Ollie Gordon II,MIA,6.0,48.95,183.9,1.27,8.55,6.0,34.72,0.24,0.36,33.2,36.2,30.2,0.04,0.0,0.11,0.1
Alexander Mattison,MIA,6.0,25.3,144.45,0.94,10.6,8.2,59.65,0.17,0.0,31.17,35.27,27.07,0.03,0.0,0.27,0.55
Kendre Miller,NO,8.0,41.69,169.28,1.07,4.58,4.57,34.28,0.07,0.13,29.22,31.51,26.94,0.03,0.0,0.15,0.46
Jawhar Jordan,HOU,8.0,39.4,154.64,0.61,8.8,6.86,47.64,0.17,0.35,27.64,31.07,24.21,0.03,0.0,0.12,0.41
Demond Claiborne,MIN,6.0,29.48,136.98,0.95,8.19,6.36,45.46,0.15,0.09,27.84,31.02,24.66,0.02,0.0,0.18,0.41
Ty Chandler,NO,8.0,37.2,109.8,0.73,9.2,8.18,47.75,0.11,0.0,24.88,28.98,20.8,0.01,0.0,0.0,0.37
Jerome Ford,WAS,7.0,28.76,119.84,0.6,8.65,6.93,40.41,0.17,0.14,23.83,27.3,20.37,0.01,0.0,0.12,0.24
Hunter Luepke,DAL,14.0,10.52,45.79,0.18,11.67,10.41,80.35,0.49,0.07,21.7,26.9,16.49,0.0,0.0,0.05,0.99
Will Shipley,PHI,10.0,19.36,79.25,0.41,10.13,9.02,59.64,0.17,0.12,21.64,26.15,17.13,0.01,0.0,0.07,0.6
Dare Ogunbowale,HOU,8.0,19.0,68.0,1.0,10.0,7.0,63.0,0.0,0.0,22.6,26.1,19.1,0.01,0.0,0.03,0.69
Devin Neal,NO,8.0,22.83,95.57,0.85,8.55,6.47,43.01,0.11,0.06,22.73,25.97,19.5,0.01,0.0,0.09,0.31
Raheim Sanders,CLE,11.0,36.7,127.02,0.54,7.33,5.57,40.16,0.14,0.35,22.88,25.67,20.1,0.02,0.0,0.04,0.35
Phil Mafah,DAL,14.0,28.28,111.16,0.78,3.32,4.93,37.15,0.19,0.16,22.8,25.26,20.33,0.01,0.0,0.08,0.65
Audric Estime,NO,8.0,21.73,103.7,0.78,6.13,4.9,33.4,0.12,0.0,21.56,24.01,19.11,0.01,0.0,0.14,0.29
Zavier Scott,MIN,6.0,25.35,90.43,0.57,5.44,5.77,40.78,0.33,0.33,20.75,23.63,17.86,0.01,0.0,0.04,0.55
Salvon Ahmed,CHI,10.0,35.0,152.0,1.0,1.1,1.0,12.0,0.0,0.0,22.9,23.4,22.4,0.01,0.0,0.17,0.21
Israel Abanikanda,DAL,14.0,32.0,147.0,1.0,1.1,1.0,14.0,0.0,0.0,22.6,23.1,22.1,0.01,0.0,0.19,0.26
Carlos Washington Jr.,MIA,6.0,31.0,130.0,1.0,2.6,2.0,19.0,0.0,0.0,21.9,22.9,20.9,0.01,0.0,0.13,0.25
Trey Benson,ARI,14.0,15.5,105.61,0.41,6.64,5.37,34.77,0.16,0.07,20.0,22.69,17.32,0.01,0.0,0.24,0.28
Elijah Mitchell,PHI,10.0,29.75,134.75,0.9,2.45,1.85,19.55,0.0,0.0,21.75,22.68,20.83,0.01,0.0,0.17,0.28
Raheem Mostert,LV,13.0,21.2,53.0,0.0,10.7,10.7,65.0,0.0,0.0,17.15,22.5,11.8,0.0,0.0,0.0,0.68
Isaac Guerendo,SF,8.0,21.28,93.3,0.58,5.02,4.27,40.83,0.12,0.07,19.61,21.74,17.47,0.01,0.0,0.11,0.59
Rasheen Ali,BAL,13.0,22.09,81.5,0.41,7.38,5.08,38.68,0.39,0.15,19.06,21.6,16.52,0.0,0.0,0.04,0.31
