WR,Team,Bye,Targets,Rec,Rec Yds,Rec TD,Rush Att,Rush Yds,Rush TD,Fum,Fantasy Points (Half),Fantasy Points (PPR),Fantasy Points (STD),Exp 100+ Scrim Yd Games,Exp 200+ Scrim Yd Games,Exp 40+ Rush Plays,Exp 20+ Yd Rec Plays
Brenen Thompson,LAC,7.0,25.39,16.14,195.31,1.0,0.78,8.4,0.04,0.15,34.38,42.45,26.31,0.1,0.01,0.03,2.68
Jalen Royals,KC,5.0,24.26,16.68,186.21,1.16,0.07,2.19,0.02,0.11,34.04,42.38,25.7,0.08,0.01,0.01,2.55
Demarcus Robinson,SF,8.0,21.99,14.53,206.26,1.12,0.24,1.83,0.0,0.02,34.75,42.02,27.49,0.1,0.01,0.0,3.28
Jaylin Lane,WAS,7.0,27.53,15.26,195.81,1.04,1.26,7.49,0.04,0.1,34.24,41.87,26.61,0.1,0.01,0.01,2.49
Skyler Bell,BUF,7.0,33.32,15.59,192.16,1.17,0.1,0.31,0.0,0.05,33.96,41.76,26.17,0.08,0.01,0.0,1.85
Tez Johnson,TB,10.0,20.35,14.01,162.79,1.43,3.17,12.73,0.07,0.08,33.4,40.4,26.39,0.07,0.01,0.01,2.31
Jahdae Walker,CHI,10.0,23.7,12.98,157.63,1.66,0.2,2.31,0.0,0.03,32.38,38.87,25.89,0.05,0.01,0.01,1.86
Zavion Thomas,CHI,10.0,29.91,15.02,174.69,0.84,0.4,7.11,0.06,0.11,30.87,38.38,23.36,0.07,0.01,0.03,1.72
Bryce Lance,NO,8.0,25.5,14.84,185.48,0.84,0.0,0.0,0.0,0.11,30.79,38.21,23.37,0.08,0.01,0.0,2.41
Zay Jones,ARI,14.0,25.7,15.8,223.0,0.0,0.0,0.0,0.0,0.0,30.2,38.1,22.3,0.13,0.02,0.0,3.37
Cedric Tillman,CLE,11.0,24.52,13.44,170.19,1.19,0.02,2.15,0.0,0.03,31.03,37.75,24.31,0.06,0.01,0.01,2.11
Dante Pettis,NO,8.0,31.7,14.5,181.0,1.1,0.0,0.0,0.0,1.1,29.75,37.0,22.5,0.07,0.01,0.0,1.72
Kyle Williams,NE,11.0,17.48,11.1,168.08,1.36,1.97,6.2,0.06,0.05,31.4,36.95,25.85,0.06,0.01,0.0,2.72
Greg Dortch,DET,6.0,16.27,15.48,137.62,0.76,4.8,16.08,0.24,0.15,28.81,36.55,21.07,0.05,0.0,0.0,2.04
Dont'e Thornton Jr.,LV,13.0,26.46,13.42,183.63,0.75,0.0,0.0,0.0,0.09,29.39,36.1,22.68,0.07,0.01,0.0,2.28
Isaiah Bond,CLE,11.0,23.89,12.44,176.37,0.64,2.31,15.21,0.05,0.05,29.42,35.64,23.2,0.08,0.01,0.03,2.33
Konata Mumpfield,LAR,11.0,23.39,12.71,145.82,0.92,0.0,0.0,0.0,0.06,26.34,32.69,19.98,0.04,0.0,0.0,1.58
Deion Burks,IND,13.0,16.23,13.3,140.63,0.81,0.03,0.08,0.0,0.14,25.3,31.95,18.65,0.03,0.0,0.0,2.12
Noah Thomas,CIN,6.0,22.2,10.1,124.8,1.3,0.0,0.0,0.0,0.0,25.33,30.38,20.28,0.02,0.0,0.0,1.15
Eric McAlister,FA,,0.0,11.9,132.6,0.85,0.0,0.0,0.0,,24.31,30.26,18.36,0.03,0.0,0.0,0.0
Mitchell Tinsley,CIN,6.0,14.37,10.06,126.2,0.9,0.0,0.0,0.0,0.07,22.91,27.94,17.88,0.03,0.0,0.0,1.92
Marquez Valdes-Scantling,DAL,14.0,12.4,8.96,134.27,0.8,0.3,1.0,0.0,0.08,22.65,27.13,18.17,0.03,0.0,0.0,2.32
Roman Wilson,PIT,9.0,13.25,10.16,118.58,0.77,0.0,0.0,0.0,0.15,21.26,26.34,16.18,0.02,0.0,0.0,1.83
Tim Patrick,NYJ,13.0,11.45,10.33,114.6,0.73,0.0,2.0,0.0,0.06,21.08,26.25,15.92,0.02,0.0,0.0,1.9
Gabriel Davis,BUF,7.0,16.0,10.8,121.0,0.2,0.0,0.0,0.0,0.0,18.7,24.1,13.3,0.02,0.0,0.0,1.63
Odell Beckham Jr.,NYG,8.0,11.78,8.89,108.26,0.62,0.23,0.95,0.01,0.08,18.99,23.43,14.54,0.02,0.0,0.0,1.7
Isaiah Williams,NYJ,13.0,16.25,10.54,88.3,0.39,1.99,14.99,0.02,0.11,17.84,23.11,12.57,0.01,0.0,0.04,0.76
Jimmy Horn Jr.,CAR,5.0,9.07,8.27,72.76,0.33,5.47,43.99,0.11,0.06,18.33,22.46,14.2,0.02,0.0,0.11,1.03
Cyrus Allen,KC,5.0,17.04,8.6,107.77,0.51,0.22,0.85,0.0,0.05,18.12,22.42,13.82,0.02,0.0,0.0,1.19
