QB,Team,Bye,Pass Att,Pass Comp,Pass Yds,Pass TD,Pass Int,Rush Att,Rush Yds,Rush TD,Fumbles,Fantasy Points,Exp 300+ Pass Yd Games,Exp 400+ Pass Yd Games,Exp 40+ Pass Plays,Exp 100+ Scrim Yd Games,Exp 200+ Scrim Yd Games,Exp 40+ Rush Plays,Exp 20+ Yd Rec Plays
Nick Mullens,JAC,7,23.73,16.83,183.69,1.19,0.68,5.57,6.37,0.02,0.12,11.26,0.0,0.0,0.45,0.0,0.0,0.0,0.0
Mitchell Trubisky,TEN,9,25.49,16.36,184.29,1.12,0.72,2.23,7.99,0.03,0.11,11.17,0.0,0.0,0.4,0.0,0.0,0.0,0.0
Carson Wentz,MIN,6,28.07,17.57,168.12,1.12,0.57,2.52,9.57,0.03,0.05,11.1,0.0,0.0,0.21,0.0,0.0,0.01,0.0
Kyle Allen,BUF,7,24.44,14.18,173.43,1.17,0.63,2.08,5.84,0.04,0.12,10.94,0.0,0.0,0.36,0.0,0.0,0.0,0.0
Drew Allar,PIT,9,26.83,16.37,173.8,1.0,0.6,1.2,7.17,0.02,0.1,10.39,0.0,0.0,0.29,0.0,0.0,0.01,0.0
Drew Lock,SEA,11,25.59,14.07,162.66,1.14,0.68,3.73,7.12,0.03,0.16,10.28,0.0,0.0,0.25,0.0,0.0,0.0,0.0
Jalen Milroe,SEA,11,16.18,10.0,113.28,0.8,0.36,5.32,23.16,0.12,0.03,9.99,0.0,0.0,0.23,0.0,0.0,0.03,0.0
Tanner McKee,PHI,10,17.01,10.84,150.66,0.88,0.35,2.15,6.06,0.02,0.07,9.43,0.0,0.0,0.45,0.0,0.0,0.0,0.0
Garrett Nussmeier,KC,5,24.97,16.23,144.35,0.8,0.53,3.12,8.95,0.0,0.05,8.71,0.0,0.0,0.15,0.0,0.0,0.0,0.0
Will Howard,PIT,9,16.93,10.5,135.14,0.86,0.52,1.42,5.84,0.02,0.07,8.37,0.0,0.0,0.35,0.0,0.0,0.01,0.0
Chris Oladokun,KC,5,23.0,14.0,98.67,0.67,0.0,2.67,12.0,0.0,0.5,6.83,0.0,0.0,0.0,0.0,0.0,0.01,0.0
Aidan O'Connell,LV,13,18.45,11.05,109.26,0.66,0.46,0.52,3.14,0.0,0.03,6.34,0.0,0.0,0.13,0.0,0.0,0.01,0.0
Adrian Martinez,SF,8,16.0,11.0,76.0,0.67,0.0,2.0,4.67,0.0,0.0,6.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shane Buechele,BUF,7,13.5,9.43,75.75,0.5,0.0,2.0,10.0,0.0,0.0,6.03,0.0,0.0,0.07,0.0,0.0,0.02,0.0
Brandon Allen,NYG,8,16.73,10.43,99.53,0.6,0.42,0.17,0.9,0.07,0.05,5.95,0.0,0.0,0.12,0.0,0.0,0.0,0.0
Zach Wilson,NO,8,14.9,9.33,83.33,0.5,0.33,2.08,6.28,0.07,0.0,5.72,0.0,0.0,0.07,0.0,0.0,0.0,0.0
Brady Cook,NYJ,13,13.02,8.34,79.5,0.5,0.43,1.72,7.25,0.02,0.0,5.16,0.0,0.0,0.11,0.0,0.0,0.01,0.0
Desmond Ridder,GB,0,12.0,7.75,70.2,0.38,0.16,1.64,6.84,0.04,0.0,4.93,0.0,0.0,0.08,0.0,0.0,0.01,0.0
Behren Morton,NE,11,7.5,5.0,61.57,0.5,0.1,0.83,3.87,0.0,0.0,4.65,0.0,0.0,0.17,0.0,0.0,0.01,0.0
Diego Pavia,BAL,13,12.7,7.9,76.55,0.4,0.3,0.45,2.2,0.0,0.1,4.08,0.0,0.0,0.1,0.0,0.0,0.0,0.0
Cole Payton,PHI,10,7.0,4.5,35.0,0.33,0.0,0.67,3.33,0.0,0.0,3.05,0.0,0.0,0.01,0.0,0.0,0.01,0.0
Josh Johnson,CIN,6,3.93,2.33,47.95,0.3,0.28,0.45,2.05,0.03,0.03,2.88,0.0,0.0,0.19,0.0,0.0,0.0,0.0
