player_id,player,team,pos,season,games,snaps,snaps_pct,routes,routes_pct,rush_att,rush_att_pct,targets,targets_pct,catchable_tgts,catchable_tgts_pct,ez_tgts,ez_tgts_pct,inside5_rush,inside5_rush_pct,sdd_snaps,sdd_snaps_pct,ldd_snaps,ldd_snaps_pct,two_min_snaps,two_min_snaps_pct,tprr,team_sdd_snaps,team_ldd_snaps,team_ez_tgts,team_third_fourth_pass,team_inside5_rush
5cc16827-4339-4092-97fe-c0f56e6e0ef9,Juwan Johnson,NO,TE,2025,2,132,97.8,84,94.4,0,0.0,20,26.7,17,85.0,2,28.6,0,0.0,12,100.0,21,95.5,29,100.0,23.8,12,22,7,19,1
b26dec5d-666e-4bdb-9dad-dbd5624e60f1,Cedric Tillman,CLE,WR,2025,2,132,92.3,94,94.9,0,0.0,15,18.3,8,53.3,2,66.7,0,0.0,9,64.3,32,100.0,10,100.0,16.0,14,32,3,23,4
4e042a70-f018-4e0a-b0f6-1f83d8274a15,CeeDee Lamb,DAL,WR,2025,2,128,92.1,86,93.5,0,0.0,24,29.3,21,87.5,0,0.0,0,0.0,7,100.0,21,100.0,34,97.1,27.9,7,21,8,22,3
71e0a1c0-a5be-4cb7-b9a1-79e4353d6ee9,George Pickens,DAL,WR,2025,2,125,89.9,88,95.7,0,0.0,12,14.6,8,66.7,5,62.5,0,0.0,6,85.7,21,100.0,34,97.1,13.6,7,21,8,22,3
915d6acf-2c38-4cd0-846c-9c54e9dd0e43,Jerry Jeudy,CLE,WR,2025,2,125,87.4,91,91.9,0,0.0,16,19.5,13,81.2,0,0.0,0,0.0,8,57.1,29,90.6,9,90.0,17.6,14,32,3,23,4
e74df9b4-afb4-4c92-bca5-93e816e2c077,Chris Olave,NO,WR,2025,2,125,92.6,83,93.3,0,0.0,23,30.7,13,56.5,2,28.6,0,0.0,8,66.7,21,95.5,26,89.7,27.7,12,22,7,19,1
8fb03685-5aa2-4a0a-bd0f-475b3af883f3,Darius Slayton,NYG,WR,2025,2,125,98.4,89,98.9,0,0.0,3,4.5,2,66.7,0,0.0,0,0.0,10,90.9,28,100.0,3,100.0,3.4,11,28,6,24,2
b9932d52-2ce9-4dcd-8e48-c34c5fb95681,Rome Odunze,CHI,WR,2025,2,123,96.9,82,96.5,0,0.0,18,28.6,15,83.3,2,100.0,0,0.0,8,100.0,24,100.0,6,100.0,22.0,8,24,2,19,1
f6c2cecd-fadd-4416-bd9e-2898bdcc0ede,Malik Nabers,NYG,WR,2025,2,123,96.9,88,97.8,0,0.0,22,33.3,15,68.2,4,66.7,0,0.0,9,81.8,27,96.4,3,100.0,25.0,11,28,6,24,2
74dad55c-78db-444f-8843-423894176da5,David Njoku,CLE,TE,2025,2,120,83.9,80,80.8,0,0.0,10,12.2,7,70.0,0,0.0,0,0.0,12,85.7,26,81.2,10,100.0,12.5,14,32,3,23,4
a28a9b00-33d8-4221-a3f1-310bcbc08f1b,Ricky Pearsall,SF,WR,2025,2,120,86.3,75,91.5,1,1.9,12,17.4,8,66.7,1,25.0,0,0.0,11,73.3,20,95.2,9,100.0,16.0,15,21,4,21,0
