player_id,player,team,pos,season,week,snaps,snaps_pct,routes,routes_pct,rush_att,rush_att_pct,targets,targets_pct,catchable_tgts,catchable_tgts_pct,ez_tgts,ez_tgts_pct,inside5_rush,inside5_rush_pct,sdd_snaps,sdd_snaps_pct,ldd_snaps,ldd_snaps_pct,two_min_snaps,two_min_snaps_pct,tprr,team_sdd_snaps,team_ldd_snaps,team_ez_tgts,team_third_fourth_pass,team_inside5_rush,team_snaps,team_routes,team_targets,team_rush_att,team_two_min_snaps
1c60c3f7-60f9-486b-8b97-f9737b9a0723,Keon Coleman,BUF,WR,2025,1,68,87.2,50,94.3,0,0.0,11,25.6,9,81.8,2,40.0,0,0.0,10,83.3,10,100.0,8,100.0,22.0,12,10,5,9,6,78,53,43,22,8
34ac644e-daf6-4699-b378-be585cf14045,Casey Washington,ATL,WR,2025,1,67,94.4,46,97.9,0,0.0,6,15.4,5,83.3,0,0.0,0,0.0,4,80.0,14,100.0,6,85.7,13.0,5,14,3,10,3,71,47,39,23,7
7bfd2708-9995-4488-a82a-b897002a1a60,Courtland Sutton,DEN,WR,2025,1,67,94.4,43,100.0,0,0.0,9,25.0,6,66.7,1,50.0,0,0.0,7,87.5,11,100.0,6,100.0,20.9,8,11,2,11,0,71,43,36,26,6
5cc16827-4339-4092-97fe-c0f56e6e0ef9,Juwan Johnson,NO,TE,2025,1,67,98.5,47,95.9,0,0.0,11,26.8,10,90.9,1,25.0,0,0.0,6,100.0,11,91.7,21,100.0,23.4,6,12,4,11,1,68,49,41,20,21
b26dec5d-666e-4bdb-9dad-dbd5624e60f1,Cedric Tillman,CLE,WR,2025,1,63,88.7,46,95.8,0,0.0,8,19.5,6,75.0,1,100.0,0,0.0,3,37.5,14,100.0,5,100.0,17.4,8,14,1,10,4,71,48,41,23,5
e6b3a8b4-9120-408a-9522-0a7e8efddcb3,Jameson Williams,DET,WR,2025,1,63,96.9,43,100.0,1,4.8,5,13.9,4,80.0,0,0.0,0,0.0,6,85.7,13,100.0,0,0.0,11.6,7,13,1,15,0,65,43,36,21,0
2359ae0a-46a7-4ccc-aca5-bc913bece14b,Hunter Henry,NE,TE,2025,1,63,92.6,39,73.6,0,0.0,8,18.6,5,62.5,0,0.0,0,0.0,8,88.9,9,100.0,9,81.8,20.5,9,9,3,10,1,68,53,43,15,11
abaf1508-e615-4287-aa70-3ab031795ae5,Drake London,ATL,WR,2025,1,62,87.3,39,83.0,0,0.0,14,35.9,8,57.1,2,66.7,0,0.0,5,100.0,13,92.9,0,0.0,35.9,5,14,3,10,3,71,47,39,23,7
915d6acf-2c38-4cd0-846c-9c54e9dd0e43,Jerry Jeudy,CLE,WR,2025,1,62,87.3,46,95.8,0,0.0,8,19.5,7,87.5,0,0.0,0,0.0,4,50.0,14,100.0,5,100.0,17.4,8,14,1,10,4,71,48,41,23,5
349676e8-d0c9-4e51-b671-f1d541641ecd,Garrett Wilson,NYJ,WR,2025,1,62,100.0,25,100.0,0,0.0,8,44.4,8,100.0,0,0.0,0,0.0,8,100.0,10,100.0,6,100.0,32.0,8,10,0,5,3,62,25,18,37,6
