player_id,player,team,pos,season,week,snaps,snaps_pct,rush_att,rush_att_pct,targets,targets_pct,rec,ez_tgts,ez_tgts_pct,inside5_rush,inside5_rush_pct,adot,air_yards_total,team_targets,team_rush_att,team_ez_tgts,team_inside5_rush
00-0038559,Michael Wilson,ARI,WR,2026,2,47,94.0,0,0.0,7,26.9,2,0,0.0,0,0.0,7.1,50.0,26,17,2,0
00-0038393,Dontayvion Wicks,PHI,WR,2026,2,47,62.0,0,0.0,6,17.6,5,0,0.0,0,0.0,11.5,69.0,34,32,4,1
00-0038994,Jordan Addison,MIN,WR,2026,2,46,88.0,0,0.0,5,26.3,2,0,0.0,0,0.0,8.6,43.0,19,28,1,0
00-0036894,Pat Freiermuth,PIT,TE,2026,2,46,66.0,1,4.3,5,13.5,4,0,0.0,0,0.0,9.4,47.0,37,23,0,0
00-0040584,Gunnar Helm,TEN,TE,2026,2,46,87.0,0,0.0,2,11.8,2,0,0.0,0,0.0,-0.5,-1.0,17,29,1,4
00-0032464,Kalif Raymond,CHI,WR,2026,2,46,62.0,0,0.0,5,16.7,5,0,0.0,0,0.0,1.4,7.0,30,31,2,1
00-0039040,De'Von Achane,MIA,RB,2026,2,45,76.0,20,69.0,6,26.1,3,0,0.0,1,100.0,4.0,24.0,23,29,0,1
00-0034348,Courtland Sutton,DEN,WR,2026,2,45,73.0,0,0.0,4,13.8,3,1,50.0,0,0.0,7.8,31.0,29,28,2,4
00-0036244,Colby Parkinson,LAR,TE,2026,2,44,71.0,0,0.0,2,6.7,2,0,0.0,0,0.0,-1.5,-3.0,30,28,2,0
00-0037744,Trey McBride,ARI,TE,2026,2,44,88.0,0,0.0,10,38.5,8,2,100.0,0,0.0,3.6,36.0,26,17,2,0
00-0036997,Javonte Williams,DAL,RB,2026,2,44,80.0,12,57.1,4,12.9,3,0,0.0,1,100.0,-3.0,-12.0,31,21,4,1
00-0040666,Omarion Hampton,LAC,RB,2026,2,43,63.0,23,71.9,2,7.7,2,0,0.0,1,50.0,-4.0,-8.0,26,32,1,2
00-0040590,Konata Mumpfield,LAR,WR,2026,2,43,69.0,0,0.0,2,6.7,1,0,0.0,0,0.0,11.5,23.0,30,28,2,0
00-0036410,Tee Higgins,CIN,WR,2026,2,43,72.0,0,0.0,10,32.3,5,0,0.0,0,0.0,9.3,93.0,31,23,2,0
00-0036555,Chuba Hubbard,CAR,RB,2026,2,43,65.0,12,54.5,2,6.2,2,0,0.0,0,0.0,-2.0,-4.0,32,22,6,0
00-0039880,Malik Washington,MIA,WR,2026,2,43,73.0,1,3.4,5,21.7,4,0,0.0,0,0.0,5.4,27.0,23,29,0,1
00-0037238,Drake London,ATL,WR,2026,2,43,62.0,1,3.1,5,16.1,4,0,0.0,0,0.0,4.6,23.0,31,32,0,0
00-0039337,Malik Nabers,NYG,WR,2026,2,43,74.0,0,0.0,4,12.5,1,1,100.0,0,0.0,19.2,77.0,32,21,1,1
