player_id,player,team,pos,season,week,snaps,snaps_pct,rush_att,rush_att_pct,inside5_rush,inside5_rush_pct,routes,routes_pct,targets,targets_pct,rec,ez_tgts,ez_tgts_pct,adot,air_yards_total,team_snaps,team_rush_att,team_inside5_rush,team_targets,team_ez_tgts,team_routes
00-0034827,DJ Moore,CHI,WR,2025,1,56,84.0,3,11.5,0,0.0,38,86.4,5,14.7,0,1,50.0,18.8,0.0,67,26,0,34,2,44
00-0036358,CeeDee Lamb,DAL,WR,2025,1,56,92.0,0,0.0,0,0.0,32,91.4,13,39.4,0,0,0.0,14.0,0.0,61,22,2,33,2,35
00-0037247,George Pickens,DAL,WR,2025,1,56,92.0,0,0.0,0,0.0,33,94.3,4,12.1,0,1,50.0,13.0,0.0,61,22,2,33,2,35
00-0040736,Mason Taylor,NYJ,TE,2025,1,56,88.0,0,0.0,0,0.0,21,84.0,1,4.5,0,0,0.0,18.0,0.0,64,40,4,22,0,25
00-0036912,DeVonta Smith,PHI,WR,2025,1,56,89.0,0,0.0,0,0.0,33,97.1,3,15.0,0,0,0.0,1.3,0.0,63,38,3,20,0,34
00-0040663,Harold Fannin Jr.,CLE,TE,2025,1,55,72.0,1,4.2,0,0.0,31,64.6,9,21.4,0,0,0.0,7.2,0.0,76,24,4,42,1,48
00-0035676,A.J. Brown,PHI,WR,2025,1,55,87.0,0,0.0,0,0.0,33,97.1,1,5.0,0,0,0.0,8.0,0.0,63,38,3,20,0,34
00-0035659,Terry McLaurin,WAS,WR,2025,1,55,79.0,0,0.0,0,0.0,33,89.2,4,13.8,0,0,0.0,19.2,0.0,70,32,0,29,1,37
00-0039915,Ladd McConkey,LAC,WR,2025,1,55,85.0,0,0.0,0,0.0,38,92.7,9,26.5,0,0,0.0,10.8,0.0,65,25,0,34,4,41
00-0036322,Justin Jefferson,MIN,WR,2025,1,55,98.0,1,3.8,0,0.0,25,100.0,7,31.8,0,1,100.0,9.9,0.0,56,26,0,22,1,25
00-0034407,Ray-Ray McCloud,ATL,WR,2025,1,55,72.0,0,0.0,0,0.0,38,80.9,5,11.9,0,0,0.0,7.2,0.0,76,28,5,42,3,47
00-0031381,Davante Adams,LA,WR,2025,1,54,90.0,0,0.0,0,0.0,29,90.6,8,28.6,0,0,0.0,8.8,0.0,60,25,3,28,1,32
00-0040129,Emeka Egbuka,TB,WR,2025,1,54,93.0,1,4.3,0,0.0,36,97.3,6,20.0,0,1,100.0,11.8,0.0,58,23,0,30,1,37
00-0035719,Deebo Samuel Sr.,WAS,WR,2025,1,54,77.0,1,3.1,0,0.0,31,83.8,10,34.5,0,0,0.0,8.0,0.0,70,32,0,29,1,37
00-0036275,D'Andre Swift,CHI,RB,2025,1,54,81.0,17,65.4,0,0.0,29,65.9,5,14.7,0,0,0.0,-0.6,0.0,67,26,0,34,2,44
00-0040122,Ashton Jeanty,LV,RB,2025,1,54,86.0,19,79.2,1,100.0,22,55.0,2,6.1,0,0,0.0,-2.0,0.0,63,24,1,33,1,40
00-0034837,Calvin Ridley,TEN,WR,2025,1,54,95.0,0,0.0,0,0.0,32,94.1,8,32.0,0,0,0.0,8.6,0.0,57,21,1,25,0,34
00-0040128,Tyler Warren,IND,TE,2025,1,53,73.0,1,2.5,0,0.0,24,72.7,9,31.0,0,1,50.0,5.2,0.0,73,40,5,29,2,33
00-0035640,DK Metcalf,PIT,WR,2025,1,53,95.0,0,0.0,0,0.0,33,97.1,7,24.1,0,0,0.0,4.0,0.0,56,20,1,29,1,34
00-0040124,Tetairoa McMillan,CAR,WR,2025,1,53,83.0,0,0.0,0,0.0,35,87.5,9,26.5,0,0,0.0,11.6,0.0,64,25,0,34,1,40
00-0039847,Theo Johnson,NYG,TE,2025,1,53,78.0,0,0.0,0,0.0,32,71.1,3,9.4,0,0,0.0,-0.7,0.0,68,23,1,32,2,45
00-0036554,Nico Collins,HOU,WR,2025,1,53,84.0,0,0.0,0,0.0,30,88.2,5,18.5,0,0,0.0,7.0,0.0,63,27,0,27,0,34
00-0038544,Quentin Johnston,LAC,WR,2025,1,53,82.0,0,0.0,0,0.0,36,87.8,7,20.6,0,2,50.0,12.4,0.0,65,25,0,34,4,41
00-0036988,Josh Palmer,BUF,WR,2025,1,53,62.0,0,0.0,0,0.0,40,75.5,9,18.8,0,1,25.0,12.8,0.0,85,31,7,48,4,53
00-0038935,Brenton Strange,JAC,TE,2025,1,52,79.0,0,0.0,0,0.0,23,69.7,4,13.8,0,0,0.0,9.0,0.0,66,32,0,29,1,33
00-0036223,Jonathan Taylor,IND,RB,2025,1,52,71.0,18,45.0,2,40.0,24,72.7,3,10.3,0,0,0.0,-0.7,0.0,73,40,5,29,2,33
00-0040666,Omarion Hampton,LAC,RB,2025,1,52,80.0,15,60.0,0,0.0,25,61.0,2,5.9,0,0,0.0,-2.0,0.0,65,25,0,34,4,41
00-0038117,Wan'Dale Robinson,NYG,WR,2025,1,52,76.0,0,0.0,0,0.0,37,82.2,8,25.0,0,1,50.0,3.1,0.0,68,23,1,32,2,45
00-0034351,Dallas Goedert,PHI,TE,2025,1,52,83.0,0,0.0,0,0.0,29,85.3,7,35.0,0,0,0.0,4.9,0.0,63,38,3,20,0,34
00-0035261,Tony Pollard,TEN,RB,2025,1,51,89.0,18,85.7,0,0.0,20,58.8,1,4.0,0,0,0.0,-1.0,0.0,57,21,1,25,0,34
00-0030506,Travis Kelce,KC,TE,2025,1,51,84.0,0,0.0,0,0.0,38,80.9,4,10.3,0,0,0.0,6.0,0.0,61,17,0,39,2,47
00-0039384,Tyrone Tracy Jr.,NYG,RB,2025,1,50,74.0,10,43.5,0,0.0,30,66.7,5,15.6,0,0,0.0,-0.2,0.0,68,23,1,32,2,45
00-0037809,Chig Okonkwo,TEN,TE,2025,1,50,88.0,0,0.0,0,0.0,28,82.4,4,16.0,0,0,0.0,3.8,0.0,57,21,1,25,0,34
00-0038129,Cade Otton,TB,TE,2025,1,50,86.0,0,0.0,0,0.0,31,83.8,3,10.0,0,0,0.0,12.3,0.0,58,23,0,30,1,37
00-0034844,Saquon Barkley,PHI,RB,2025,1,50,79.0,18,47.4,2,66.7,27,79.4,5,25.0,0,0,0.0,-1.0,0.0,63,38,3,20,0,34
00-0039342,Xavier Legette,CAR,WR,2025,1,50,78.0,0,0.0,0,0.0,31,77.5,7,20.6,0,1,100.0,8.7,0.0,64,25,0,34,1,40
00-0036259,Jauan Jennings,SF,WR,2025,1,50,66.0,0,0.0,0,0.0,26,66.7,5,14.7,0,1,25.0,8.4,0.0,76,36,0,34,4,39
00-0037291,Jalen Nailor,MIN,WR,2025,1,49,88.0,0,0.0,0,0.0,24,96.0,3,13.6,0,0,0.0,5.0,0.0,56,26,0,22,1,25
00-0033857,JuJu Smith-Schuster,KC,WR,2025,1,49,80.0,0,0.0,0,0.0,38,80.9,5,12.8,0,0,0.0,5.8,0.0,61,17,0,39,2,47
00-0037840,Kyren Williams,LA,RB,2025,1,49,82.0,18,72.0,2,66.7,17,53.1,2,7.1,0,0,0.0,-6.0,0.0,60,25,3,28,1,32
00-0035689,Dawson Knox,BUF,TE,2025,1,48,56.0,0,0.0,0,0.0,23,43.4,2,4.2,0,0,0.0,1.5,0.0,85,31,7,48,4,53
00-0031408,Mike Evans,TB,WR,2025,1,48,83.0,0,0.0,0,0.0,33,89.2,8,26.7,0,0,0.0,13.2,0.0,58,23,0,30,1,37
00-0037248,James Cook,BUF,RB,2025,1,48,56.0,13,41.9,2,28.6,27,50.9,5,10.4,0,0,0.0,-1.2,0.0,85,31,7,48,4,53
00-0036997,Javonte Williams,DAL,RB,2025,1,47,77.0,15,68.2,2,100.0,27,77.1,3,9.1,0,0,0.0,1.0,0.0,61,22,2,33,2,35
00-0038041,Jake Ferguson,DAL,TE,2025,1,47,77.0,0,0.0,0,0.0,29,82.9,6,18.2,0,0,0.0,5.8,0.0,61,22,2,33,2,35
00-0036626,Dyami Brown,JAC,WR,2025,1,47,71.0,2,6.2,0,0.0,28,84.8,4,13.8,0,0,0.0,13.5,0.0,66,32,0,29,1,33
00-0036875,Rhamondre Stevenson,NE,RB,2025,1,46,65.0,7,38.9,1,100.0,23,43.4,3,6.7,0,0,0.0,1.0,0.0,71,18,1,45,3,53
00-0033908,Cooper Kupp,SEA,WR,2025,1,46,88.0,0,0.0,0,0.0,25,96.2,3,13.6,0,0,0.0,6.7,0.0,52,26,2,22,0,26
00-0039064,Zay Flowers,BAL,WR,2025,1,46,90.0,2,6.9,0,0.0,22,100.0,9,47.4,0,1,100.0,10.1,0.0,51,29,0,19,1,22
00-0030061,Zach Ertz,WAS,TE,2025,1,45,64.0,0,0.0,0,0.0,30,81.1,5,17.2,0,0,0.0,8.4,0.0,70,32,0,29,1,37
00-0040170,Elic Ayomanor,TEN,WR,2025,1,45,79.0,0,0.0,0,0.0,28,82.4,7,28.0,0,0,0.0,19.0,0.0,57,21,1,25,0,34
00-0036900,Ja'Marr Chase,CIN,WR,2025,1,45,87.0,0,0.0,0,0.0,27,93.1,5,21.7,0,0,0.0,17.6,0.0,52,23,2,23,2,29
00-0038621,DeMario Douglas,NE,WR,2025,1,45,63.0,1,5.6,0,0.0,39,73.6,7,15.6,0,2,66.7,3.1,0.0,71,18,1,45,3,53
00-0037837,Calvin Austin III,PIT,WR,2025,1,45,80.0,0,0.0,0,0.0,29,85.3,6,20.7,0,1,100.0,14.0,0.0,56,20,1,29,1,34
00-0035229,T.J. Hockenson,MIN,TE,2025,1,45,80.0,0,0.0,0,0.0,21,84.0,4,18.2,0,0,0.0,3.2,0.0,56,26,0,22,1,25
00-0039868,Troy Franklin,DEN,WR,2025,1,45,59.0,0,0.0,0,0.0,28,65.1,6,16.2,0,0,0.0,7.5,0.0,76,30,0,37,2,43
00-0036422,Adam Trautman,DEN,TE,2025,1,44,58.0,0,0.0,0,0.0,16,37.2,1,2.7,0,0,0.0,5.0,0.0,76,30,0,37,2,43
00-0038559,Michael Wilson,ARI,WR,2025,1,44,67.0,0,0.0,0,0.0,27,71.1,4,13.8,0,0,0.0,15.5,0.0,66,27,1,29,1,38
00-0038996,Tucker Kraft,GB,TE,2025,1,44,92.0,1,4.0,0,0.0,18,78.3,4,18.2,0,1,33.3,12.8,0.0,48,25,1,22,3,23
00-0039361,Bucky Irving,TB,RB,2025,1,44,76.0,14,60.9,0,0.0,21,56.8,4,13.3,0,0,0.0,-1.2,0.0,58,23,0,30,1,37
00-0039793,AJ Barner,SEA,TE,2025,1,44,85.0,1,3.8,0,0.0,19,73.1,2,9.1,0,0,0.0,1.5,0.0,52,26,2,22,0,26
00-0032464,Kalif Raymond,DET,WR,2025,1,44,66.0,0,0.0,0,0.0,33,76.7,3,7.9,0,0,0.0,7.7,0.0,67,22,0,38,2,43
00-0036887,Luke Farrell,SF,TE,2025,1,44,58.0,0,0.0,0,0.0,14,35.9,1,2.9,0,0,0.0,4.0,0.0,76,36,0,34,4,39
00-0039139,Jahmyr Gibbs,DET,RB,2025,1,44,66.0,9,40.9,0,0.0,28,65.1,10,26.3,0,0,0.0,0.0,0.0,67,22,0,38,2,43
00-0038104,Tyquan Thornton,KC,WR,2025,1,44,72.0,0,0.0,0,0.0,38,80.9,4,10.3,0,1,50.0,28.8,0.0,61,17,0,39,2,47
00-0033553,James Conner,ARI,RB,2025,1,43,65.0,12,44.4,1,100.0,21,55.3,4,13.8,0,0,0.0,-3.8,0.0,66,27,1,29,1,38
00-0036555,Chuba Hubbard,CAR,RB,2025,1,43,67.0,16,64.0,0,0.0,19,47.5,5,14.7,0,0,0.0,-2.8,0.0,64,25,0,34,1,40
00-0038933,Dalton Kincaid,BUF,TE,2025,1,43,51.0,0,0.0,0,0.0,32,60.4,5,10.4,0,1,25.0,8.0,0.0,85,31,7,48,4,53
00-0038618,Xavier Hutchinson,HOU,WR,2025,1,43,68.0,1,3.7,0,0.0,23,67.6,2,7.4,0,0,0.0,14.5,0.0,63,27,0,27,0,34
00-0035700,Josh Jacobs,GB,RB,2025,1,42,88.0,19,76.0,1,100.0,15,65.2,1,4.5,0,0,0.0,1.0,0.0,48,25,1,22,3,23
00-0040718,Travis Hunter,JAC,WR,2025,1,42,64.0,0,0.0,0,0.0,27,81.8,8,27.6,0,0,0.0,7.4,0.0,66,32,0,29,1,33
00-0034983,Hunter Renfrow,CAR,WR,2025,1,42,66.0,0,0.0,0,0.0,33,82.5,6,17.6,0,0,0.0,11.0,0.0,64,25,0,34,1,40
