player_id,player,team,pos,season,week,snaps,snaps_pct,rush_att,rush_att_pct,inside5_rush,inside5_rush_pct,routes,routes_pct,targets,targets_pct,rec,ez_tgts,ez_tgts_pct,adot,air_yards_total,team_snaps,team_rush_att,team_inside5_rush,team_targets,team_ez_tgts,team_routes
00-0039424,Devaughn Vele,NO,WR,2026,1,82,91.0,0,0.0,0,0.0,58,92.1,9,17.0,7,1,25.0,7.0,63.0,90,25,0,53,4,63
00-0037239,Chris Olave,NO,WR,2026,1,77,86.0,0,0.0,0,0.0,55,87.3,13,24.5,10,0,0.0,18.0,234.0,90,25,0,53,4,63
00-0036040,Juwan Johnson,NO,TE,2026,1,76,84.0,0,0.0,0,0.0,51,81.0,7,13.2,3,2,50.0,11.0,77.0,90,25,0,53,4,63
00-0036963,Amon-Ra St. Brown,DET,WR,2026,1,69,90.0,0,0.0,0,0.0,39,95.1,14,35.9,10,0,0.0,5.0,70.0,77,33,5,39,1,41
00-0040126,Colston Loveland,CHI,TE,2026,1,65,87.0,0,0.0,0,0.0,34,89.5,2,7.7,0,1,33.3,15.0,30.0,75,39,4,26,3,38
00-0037240,Jameson Williams,DET,WR,2026,1,65,84.0,0,0.0,0,0.0,39,95.1,9,23.1,4,0,0.0,14.1,127.0,77,33,5,39,1,41
00-0035640,DK Metcalf,PIT,WR,2026,1,64,96.0,0,0.0,0,0.0,42,100.0,10,27.0,4,1,33.3,20.4,204.0,67,21,0,37,3,42
00-0038559,Michael Wilson,ARI,WR,2026,1,64,85.0,0,0.0,0,0.0,36,92.3,7,18.9,5,0,0.0,11.9,83.0,75,34,2,37,1,39
00-0041067,Bryce Lance,NO,WR,2026,1,62,69.0,0,0.0,0,0.0,45,71.4,5,9.4,3,0,0.0,8.0,40.0,90,25,0,53,4,63
00-0039065,Sam LaPorta,DET,TE,2026,1,62,81.0,0,0.0,0,0.0,34,82.9,8,20.5,5,1,100.0,0.9,7.0,77,33,5,39,1,41
