player_id,player,team,pos,season,week,snaps,snaps_pct,rush_att,rush_att_pct,targets,targets_pct,ez_tgts,ez_tgts_pct,inside5_rush,inside5_rush_pct,adot,team_targets,team_rush_att,team_ez_tgts,team_inside5_rush
00-0040194,Jackson Hawes,BUF,TE,2025,2,35,47.0,0,0.0,1,4.0,0,0.0,0,0.0,-2.0,25,43,1,2
00-0039880,Malik Washington,MIA,WR,2025,2,35,61.0,3,20.0,2,6.2,0,0.0,0,0.0,3.0,32,15,2,0
00-0037248,James Cook,BUF,RB,2025,2,35,47.0,21,48.8,1,4.0,0,0.0,1,50.0,-6.0,25,43,1,2
00-0033858,Jonnu Smith,PIT,TE,2025,2,35,56.0,0,0.0,4,12.5,0,0.0,0,0.0,0.5,32,21,2,2
00-0040715,Cam Skattebo,NYG,RB,2025,2,35,52.0,11,52.4,3,7.5,0,0.0,1,100.0,2.7,40,21,5,1
00-0037197,Isiah Pacheco,KC,RB,2025,2,35,58.0,10,38.5,2,6.9,0,0.0,0,0.0,-2.0,29,26,2,0
00-0037267,Jerome Ford,CLE,RB,2025,2,35,48.0,6,27.3,6,14.6,0,0.0,0,0.0,-1.3,41,22,2,0
00-0035229,T.J. Hockenson,MIN,TE,2025,2,34,72.0,0,0.0,3,14.3,0,0.0,0,0.0,6.3,21,19,1,0
00-0036876,Kylen Granson,PHI,TE,2025,2,34,57.0,0,0.0,1,4.8,0,0.0,0,0.0,3.0,21,34,0,4
00-0032764,Derrick Henry,BAL,RB,2025,2,34,61.0,11,52.4,0,0.0,0,0.0,1,50.0,0.0,28,21,7,2
00-0040736,Mason Taylor,NYJ,TE,2025,2,34,72.0,0,0.0,2,9.5,0,0.0,0,0.0,4.0,21,21,1,0
00-0039139,Jahmyr Gibbs,DET,RB,2025,2,33,56.0,12,40.0,3,10.7,0,0.0,0,0.0,-1.0,28,30,2,3
00-0036550,Rashod Bateman,BAL,WR,2025,2,33,59.0,0,0.0,4,14.3,0,0.0,0,0.0,7.8,28,21,7,2
00-0038046,Charlie Kolar,BAL,TE,2025,2,33,59.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,28,21,7,2
00-0030279,Keenan Allen,LAC,WR,2025,2,32,55.0,0,0.0,7,25.9,1,100.0,0,0.0,7.7,27,26,1,3
