Rank,Pos Rank,Player,Team,Position,Bye,Tier,Rank Min,Rank Max,Rank Std
1,RB1,Jahmyr Gibbs,DET,RB,6,1,1,1,0.00
2,RB2,Bijan Robinson,ATL,RB,11,1,2,2,0.00
3,WR1,Ja'Marr Chase,CIN,WR,6,1,3,3,0.00
4,WR2,Puka Nacua,LAR,WR,11,1,4,4,0.00
5,WR3,Amon-Ra St. Brown,DET,WR,6,2,5,5,0.00
6,RB3,Christian McCaffrey,SF,RB,8,2,6,6,0.00
7,RB4,Jonathan Taylor,IND,RB,13,2,7,7,0.00
8,WR4,Jaxon Smith-Njigba,SEA,WR,11,2,8,8,0.00
9,RB5,James Cook III,BUF,RB,7,2,9,9,0.00
10,WR5,CeeDee Lamb,DAL,WR,14,3,10,10,0.00
11,RB6,Derrick Henry,BAL,RB,13,3,11,11,0.00
12,RB7,Saquon Barkley,PHI,RB,10,3,12,12,0.00
13,RB8,Kenneth Walker III,KC,RB,5,3,13,13,0.00
14,WR6,Justin Jefferson,MIN,WR,6,3,14,14,0.00
15,RB9,Chase Brown,CIN,RB,6,3,15,15,0.00
16,RB10,Omarion Hampton,LAC,RB,7,3,16,16,0.00
17,RB11,De'Von Achane,MIA,RB,6,3,17,17,0.00
18,WR7,A.J. Brown,NE,WR,11,4,18,18,0.00
19,WR8,Drake London,ATL,WR,11,4,19,19,0.00
20,WR9,Nico Collins,HOU,WR,8,4,20,20,0.00
21,TE1,Trey McBride,ARI,TE,14,4,21,21,0.00
22,WR10,George Pickens,DAL,WR,14,4,22,22,0.00
23,WR11,Chris Olave,NO,WR,8,4,23,23,0.00
24,RB12,Javonte Williams,DAL,RB,14,4,24,24,0.00
25,RB13,Ashton Jeanty,LV,RB,13,4,25,25,0.00
26,RB14,Kyren Williams,LAR,RB,11,4,26,26,0.00
27,WR12,DeVonta Smith,PHI,WR,10,4,27,27,0.00
28,TE2,Brock Bowers,LV,TE,13,5,28,28,0.00
29,RB15,Travis Etienne Jr.,NO,RB,8,5,29,29,0.00
30,WR13,Malik Nabers,NYG,WR,8,5,30,30,0.00
31,WR14,Zay Flowers,BAL,WR,13,5,31,31,0.00
32,RB16,D'Andre Swift,CHI,RB,10,5,32,32,0.00
33,RB17,Jeremiyah Love,ARI,RB,14,5,33,33,0.00
34,WR15,Tee Higgins,CIN,WR,6,5,34,34,0.00
35,WR16,Rashee Rice,KC,WR,5,5,35,35,0.00
36,RB18,Breece Hall,NYJ,RB,13,5,36,36,0.00
