Rank,Pos Rank,Player,Team,Position,Bye,Tier,Rank Min,Rank Max,Rank Std
1,WR1,Ja'Marr Chase,CIN,WR,6,1,1,1,0.00
2,WR2,Jaxon Smith-Njigba,SEA,WR,11,1,2,2,0.00
3,WR3,Puka Nacua,LAR,WR,11,1,3,3,0.00
4,WR4,CeeDee Lamb,DAL,WR,14,1,4,4,0.00
5,WR5,Amon-Ra St. Brown,DET,WR,6,2,5,5,0.00
6,WR6,Justin Jefferson,MIN,WR,6,2,6,6,0.00
7,WR7,Drake London,ATL,WR,11,2,7,7,0.00
8,WR8,Rashee Rice,KC,WR,5,2,8,8,0.00
9,WR9,Nico Collins,HOU,WR,8,2,9,9,0.00
10,WR10,DeVonta Smith,PHI,WR,10,3,10,10,0.00
11,WR11,A.J. Brown,NE,WR,11,3,11,11,0.00
12,WR12,Chris Olave,NO,WR,8,3,12,12,0.00
13,WR13,George Pickens,DAL,WR,14,3,13,13,0.00
14,WR14,Zay Flowers,BAL,WR,13,3,14,14,0.00
15,WR15,Jaylen Waddle,DEN,WR,10,3,15,15,0.00
16,WR16,Tee Higgins,CIN,WR,6,3,16,16,0.00
17,WR17,Tetairoa McMillan,CAR,WR,5,4,17,17,0.00
18,WR18,Luther Burden III,CHI,WR,10,4,18,18,0.00
19,WR19,Terry McLaurin,WAS,WR,7,4,19,19,0.00
20,WR20,Garrett Wilson,NYJ,WR,13,4,20,20,0.00
21,WR21,Ladd McConkey,LAC,WR,7,4,21,21,0.00
22,WR22,Christian Watson,GB,WR,11,4,22,22,0.00
23,WR23,Malik Nabers,NYG,WR,8,4,23,23,0.00
24,WR24,Carnell Tate,TEN,WR,9,4,24,24,0.00
25,WR25,Emeka Egbuka,TB,WR,10,4,25,25,0.00
26,WR26,Davante Adams,LAR,WR,11,5,26,26,0.00
27,WR27,Jameson Williams,DET,WR,6,5,27,27,0.00
28,WR28,DJ Moore,BUF,WR,7,5,28,28,0.00
29,WR29,Makai Lemon,PHI,WR,10,5,29,29,0.00
30,WR30,Rome Odunze,CHI,WR,10,5,30,30,0.00
31,WR31,Jordyn Tyson,NO,WR,8,5,31,31,0.00
32,WR32,Parker Washington,JAC,WR,7,5,32,32,0.00
33,WR33,Mike Evans,SF,WR,8,5,33,33,0.00
34,WR34,Brian Thomas Jr.,JAC,WR,7,5,34,34,0.00
35,WR35,Marvin Harrison Jr.,ARI,WR,14,5,35,35,0.00
36,WR36,Alec Pierce,IND,WR,13,5,36,36,0.00
37,WR37,Chris Godwin Jr.,TB,WR,10,6,37,37,0.00
38,WR38,Courtland Sutton,DEN,WR,10,6,38,38,0.00
39,WR39,DK Metcalf,PIT,WR,9,6,39,39,0.00
40,WR40,Quentin Johnston,LAC,WR,7,6,40,40,0.00
41,WR41,Jayden Reed,GB,WR,11,6,41,41,0.00
42,WR42,Ricky Pearsall,SF,WR,8,6,42,42,0.00
43,WR43,Jordan Addison,MIN,WR,6,6,43,43,0.00
44,WR44,Jakobi Meyers,JAC,WR,7,6,44,44,0.00
45,WR45,Wan'Dale Robinson,TEN,WR,9,6,45,45,0.00
46,WR46,Josh Downs,IND,WR,13,6,46,46,0.00
47,WR47,Jalen Coker,CAR,WR,5,6,47,47,0.00
48,WR48,Michael Wilson,ARI,WR,14,6,48,48,0.00
49,WR49,KC Concepcion,CLE,WR,11,6,49,49,0.00
50,WR50,Xavier Worthy,KC,WR,5,6,50,50,0.00
51,WR51,Michael Pittman Jr.,PIT,WR,9,7,51,51,0.00
52,WR52,Stefon Diggs,FA,WR,,7,52,52,0.00
53,WR53,Jayden Higgins,HOU,WR,8,7,53,53,0.00
54,WR54,Rashid Shaheed,SEA,WR,11,7,54,54,0.00
55,WR55,Jalen McMillan,TB,WR,10,7,55,55,0.00
56,WR56,Matthew Golden,GB,WR,11,7,56,56,0.00
57,WR57,Adonai Mitchell,NYJ,WR,13,7,57,57,0.00
58,WR58,Omar Cooper Jr.,NYJ,WR,13,7,58,58,0.00
59,WR59,Romeo Doubs,NE,WR,11,7,59,59,0.00
60,WR60,Antonio Williams,WAS,WR,7,7,60,60,0.00
61,WR61,Denzel Boston,CLE,WR,11,7,61,61,0.00
62,WR62,Khalil Shakir,BUF,WR,7,7,62,62,0.00
63,WR63,Travis Hunter,JAC,WR,7,7,63,63,0.00
64,WR64,Jalen Nailor,LV,WR,13,7,64,64,0.00
65,WR65,Malik Washington,MIA,WR,6,7,65,65,0.00
66,WR66,Isaac TeSlaa,DET,WR,6,7,66,66,0.00
67,WR67,Ryan Flournoy,DAL,WR,14,7,67,67,0.00
68,WR68,Tre Tucker,LV,WR,13,8,68,68,0.00
69,WR69,Zachariah Branch,ATL,WR,11,8,69,69,0.00
70,WR70,Brandon Aiyuk,SF,WR,8,8,70,70,0.00
71,WR71,Jauan Jennings,MIN,WR,6,8,71,71,0.00
72,WR72,Tre' Harris,LAC,WR,7,8,72,72,0.00
73,WR73,Deebo Samuel Sr.,FA,WR,,8,73,73,0.00
74,WR74,Jerry Jeudy,CLE,WR,11,8,74,74,0.00
75,WR75,Malachi Fields,NYG,WR,8,8,75,75,0.00
76,WR76,Germie Bernard,PIT,WR,9,8,76,76,0.00
77,WR77,De'Zhaun Stribling,SF,WR,8,8,77,77,0.00
78,WR78,Dontayvion Wicks,PHI,WR,10,8,78,78,0.00
79,WR79,Pat Bryant,DEN,WR,10,8,79,79,0.00
80,WR80,Jaylin Noel,HOU,WR,8,8,80,80,0.00
81,WR81,Skyler Bell,BUF,WR,7,8,81,81,0.00
82,WR82,Darnell Mooney,NYG,WR,8,8,82,82,0.00
83,WR83,Ted Hurst III,TB,WR,10,8,83,83,0.00
