Rank,Player,Team,Position
1,Christian McCaffrey,SF,RB
2,Jahmyr Gibbs,DET,RB
3,Jonathan Taylor,IND,RB
4,Bijan Robinson,ATL,RB
5,Derrick Henry,BAL,RB
6,Rico Dowdle,PIT,RB
7,Saquon Barkley,PHI,RB
8,James Cook III,BUF,RB
9,Chase Brown,CIN,RB
10,Emanuel Wilson,SEA,RB
11,TreVeyon Henderson,NE,RB
12,Kyren Williams,LAR,RB
13,Ashton Jeanty,LV,RB
14,Jaylen Warren,PIT,RB
15,Javonte Williams,DAL,RB
16,D'Andre Swift,CHI,RB
17,Breece Hall,NYJ,RB
18,Quinshon Judkins,CLE,RB
19,Woody Marks,HOU,RB
20,Alvin Kamara,NO,RB
21,David Montgomery,HOU,RB
22,Aaron Jones Sr.,MIN,RB
23,Travis Etienne Jr.,NO,RB
24,Kareem Hunt,FA,RB
25,Kenneth Walker III,KC,RB
26,Tyrone Tracy Jr.,NYG,RB
27,Sean Tucker,TB,RB
28,Bam Knight,ARI,RB
29,Bhayshul Tuten,JAC,RB
30,Zach Charbonnet,SEA,RB
31,Rachaad White,WAS,RB
32,Rhamondre Stevenson,NE,RB
33,Tony Pollard,TEN,RB
34,Kenny Gainwell,TB,RB
35,Tyjae Spears,TEN,RB
36,Kyle Monangai,CHI,RB
37,Michael Carter,TEN,RB
38,Devin Singletary,NYG,RB
39,Tyler Allgeier,ARI,RB
40,Blake Corum,LAR,RB
41,Brian Robinson Jr.,ATL,RB
42,Devin Neal,FA,RB
43,Chuba Hubbard,CAR,RB
44,Jordan Mason,MIN,RB
45,Chris Brooks,GB,RB
46,Nick Chubb,FA,RB
47,Isaiah Davis,NYJ,RB
48,Keaton Mitchell,LAC,RB
49,Brashard Smith,KC,RB
50,Ty Johnson,BUF,RB
51,Justice Hill,BAL,RB
52,Kyle Juszczyk,SF,RB
53,Tank Bigsby,PHI,RB
54,Raheem Mostert,LV,RB
55,Dylan Sampson,CLE,RB
56,Malik Davis,DAL,RB
57,Kaleb Johnson,GB,RB
58,Jerome Ford,WAS,RB
59,Terrell Jennings,FA,RB
60,Will Shipley,PHI,RB
61,LeQuint Allen Jr.,JAC,RB
62,Ray Davis,BUF,RB
63,Tahj Brooks,CIN,RB
64,George Holani,SEA,RB
65,Ameer Abdullah,JAC,RB
66,Hunter Luepke,DAL,RB
67,Tyler Goodson,ATL,RB
68,Trevor Etienne,CAR,RB
69,Dare Ogunbowale,LV,RB
70,Clyde Edwards-Helaire,FA,RB
71,Jermar Jefferson,MIN,RB
72,Dylan Laube,LV,RB
73,Patrick Ricard,NYG,RB
74,Zavier Scott,CHI,RB
75,C.J. Ham,FA,RB
76,Pierre Strong Jr.,GB,RB
77,Kendall Milton,CIN,RB
78,Reggie Gilliam,NE,RB
79,Jakob Johnson,FA,RB
80,British Brooks,HOU,RB
81,Gary Brightwell,FA,RB
82,Brittain Brown,CHI,RB
83,Julius Chestnut,TEN,RB
84,Owen Wright,FA,RB
85,Isaac Guerendo,SF,RB
86,Kene Nwangwu,NYJ,RB
87,Sione Vaki,DET,RB
88,Eric Gray,FA,RB
89,Kalel Mullings,TEN,RB
90,Trey Sermon,ATL,RB
91,Dante Miller,FA,RB
92,Lew Nichols III,PIT,RB
