Rank,Player,Team,Position
1,Christian McCaffrey,SF,RB
2,Jahmyr Gibbs,DET,RB
3,Jonathan Taylor,IND,RB
4,Bijan Robinson,ATL,RB
5,Jaxon Smith-Njigba,SEA,WR
6,Amon-Ra St. Brown,DET,WR
7,Puka Nacua,LAR,WR
8,Derrick Henry,BAL,RB
9,Rico Dowdle,PIT,RB
10,Saquon Barkley,PHI,RB
11,James Cook III,BUF,RB
12,Trey McBride,ARI,TE
13,Rashee Rice,KC,WR
14,CeeDee Lamb,DAL,WR
15,Chase Brown,CIN,RB
16,Davante Adams,LAR,WR
17,Emanuel Wilson,SEA,RB
18,TreVeyon Henderson,NE,RB
19,Kyren Williams,LAR,RB
20,Nico Collins,HOU,WR
21,Tee Higgins,CIN,WR
22,Emeka Egbuka,TB,WR
23,Ashton Jeanty,LV,RB
24,Jaylen Warren,PIT,RB
25,Javonte Williams,DAL,RB
26,George Pickens,DAL,WR
27,D'Andre Swift,CHI,RB
28,Tetairoa McMillan,CAR,WR
29,George Kittle,SF,TE
30,Breece Hall,NYJ,RB
31,Stefon Diggs,WAS,WR
32,Jameson Williams,DET,WR
33,Chris Olave,NO,WR
34,Quinshon Judkins,CLE,RB
35,Woody Marks,HOU,RB
36,Alvin Kamara,NO,RB
37,Brock Bowers,LV,TE
38,Justin Jefferson,MIN,WR
39,Zay Flowers,BAL,WR
40,DeVonta Smith,PHI,WR
41,A.J. Brown,NE,WR
42,David Montgomery,HOU,RB
43,Aaron Jones Sr.,MIN,RB
44,Travis Etienne Jr.,NO,RB
45,Michael Wilson,ARI,WR
46,Wan'Dale Robinson,TEN,WR
47,Kareem Hunt,FA,RB
48,Rome Odunze,CHI,WR
49,Travis Kelce,KC,TE
50,Tyler Warren,IND,TE
51,Kenneth Walker III,KC,RB
52,DK Metcalf,PIT,WR
53,Michael Pittman Jr.,PIT,WR
54,Jauan Jennings,MIN,WR
55,Romeo Doubs,NE,WR
56,Tyrone Tracy Jr.,NYG,RB
57,Alec Pierce,IND,WR
58,Jakobi Meyers,JAC,WR
59,Kyle Pitts Sr.,ATL,TE
60,Sean Tucker,TB,RB
