14-team
Overall,Bye Week,VALUES,Tags,Expert Notes,,QB,Bye Week,VALUES,Tags,Expert Notes,,RB,Bye Week,VALUES,Tags,Expert Notes,,WR,Bye Week,VALUES,Tags,Expert Notes,,TE,Bye Week,VALUES,Tags,Expert Notes,,K,Bye Week,VALUES,Tags,Expert Notes,,DST,Bye Week,VALUES,Tags,Expert Notes,,DB,Bye Week,VALUES,Tags,Expert Notes,,
Javonte Williams (RB - DAL),14,$27,,,,Deshaun Watson - CLE,11,$0,,,,J.K. Dobbins - DEN,10,$15,,,,Christian Watson - GB,11,$17,,,,David Njoku - LAC,7,$0,,,,,,,,,,New York Jets,13,$0,,,,,,,,,,
Garrett Wilson (WR - NYJ),13,$27,,,,Shedeur Sanders - CLE,11,$0,,,,RJ Harvey - DEN,10,$14,,,,DK Metcalf - PIT,9,$17,,,,Mason Taylor - NYJ,13,$0,,,,,,,,,,,,,,,,,,,,,,
Travis Etienne Jr. (RB - NO),8,$26,,,,,,,,,,Aaron Jones Sr. - MIN,6,$13,,,,Jakobi Meyers - JAC,7,$14,,,,Colby Parkinson - LAR,11,$0,,,,,,,,,,,,,,,,,,,,,,
Brock Bowers (TE - LV),13,$26,,,,,,,,,,Rachaad White - WAS,7,$12,,,,Michael Pittman Jr. - PIT,9,$14,,,,Michael Mayer - LV,13,$0,,,,,,,,,,,,,,,,,,,,,,
Josh Allen (QB - BUF),7,$25,,,,,,,,,,Kyle Monangai - CHI,10,$12,,,,Parker Washington - JAC,7,$13,,,,Dawson Knox - BUF,7,$0,,,,,,,,,,,,,,,,,,,,,,
Bucky Irving (RB - TB),10,$25,,,,,,,,,,Kenny Gainwell - TB,10,$12,,,,Carnell Tate - TEN,9,$13,,,,Theo Johnson - NYG,8,$0,,,,,,,,,,,,,,,,,,,,,,
D'Andre Swift (RB - CHI),10,$25,,,,,,,,,,Jacory Croskey-Merritt - WAS,7,$11,,,,Brian Thomas Jr. - JAC,7,$13,,,,Darnell Washington - PIT,9,$0,,,,,,,,,,,,,,,,,,,,,,
DeVonta Smith (WR - PHI),10,$25,,,,,,,,,,Blake Corum - LAR,11,$10,,,,Wan'Dale Robinson - TEN,9,$13,,,,Tyler Higbee - LAR,11,$0,,,,,,,,,,,,,,,,,,,,,,
Emeka Egbuka (WR - TB),10,$25,,,,,,,,,,Jordan Mason - MIN,6,$10,,,,Jayden Reed - GB,11,$12,,,,Cole Kmet - CHI,10,$0,,,,,,,,,,,,,,,,,,,,,,
Tetairoa McMillan (WR - CAR),5,$24,,,,,,,,,,Jonathon Brooks - CAR,5,$9,,,,Quentin Johnston - LAC,7,$12,,,,Ja'Tavion Sanders - CAR,5,$0,,,,,,,,,,,,,,,,,,,,,,
Davante Adams (WR - LAR),11,$24,,,,,,,,,,Tyjae Spears - TEN,9,$8,,,,Chris Godwin Jr. - TB,10,$11,,,,Noah Fant - NO,8,$0,,,,,,,,,,,,,,,,,,,,,,
Malik Nabers (WR - NYG),8,$24,,,,,,,,,,Zach Charbonnet - SEA,11,$7,,,,Jordan Addison - MIN,6,$11,,,,Tommy Tremble - CAR,5,$0,,,,,,,,,,,,,,,,,,,,,,
Tee Higgins (WR - CIN),6,$24,,,,,,,,,,Woody Marks - HOU,8,$7,,,,Jordyn Tyson - NO,8,$11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinshon Judkins (RB - CLE),11,$23,,,,,,,,,,Alvin Kamara - NO,8,$7,,,,Michael Wilson - ARI,14,$11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jameson Williams (WR - DET),6,$23,,,,,,,,,,Isiah Pacheco - DET,6,$6,,,,Xavier Worthy - KC,5,$11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhayshul Tuten (RB - JAC),7,$22,,,,,,,,,,Tyrone Tracy Jr. - NYG,8,$6,,,,Khalil Shakir - BUF,7,$10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terry McLaurin (WR - WAS),7,$22,,,,,,,,,,Justice Hill - BAL,13,$5,,,,Romeo Doubs - NE,11,$10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rome Odunze (WR - CHI),10,$21,,,,,,,,,,Chris Rodriguez Jr. - JAC,7,$5,,,,Ricky Pearsall - SF,8,$10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alec Pierce (WR - IND),13,$21,,,,,,,,,,Dylan Sampson - CLE,11,$4,,,,Josh Downs - IND,13,$9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TreVeyon Henderson (RB - NE),11,$20,,,,,,,,,,Brian Robinson Jr. - ATL,11,$4,,,,Makai Lemon - PHI,10,$9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ladd McConkey (WR - LAC),7,$20,,,,,,,,,,Samaje Perine - CIN,6,$4,,,,Rashid Shaheed - SEA,11,$9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJ Moore (WR - BUF),7,$20,,,,,,,,,,Tyler Allgeier - ARI,14,$4,,,,John Metchie III - CAR,5,$9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Waddle (WR - DEN),10,$20,,,,,,,,,,AJ Dillon - CAR,5,$4,,,,Matthew Golden - GB,11,$8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Montgomery (RB - HOU),8,$19,,,,,,,,,,Jordan James - SF,8,$4,,,,Calvin Ridley - TEN,9,$8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luther Burden III (WR - CHI),10,$19,,,,,,,,,,Braelon Allen - NYJ,13,$4,,,,Jalen Coker - CAR,5,$8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Courtland Sutton (WR - DEN),10,$19,,,,,,,,,,Ty Johnson - BUF,7,$4,,,,Theo Wease Jr. - MIA,6,$7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Pollard (RB - TEN),9,$18,,,,,,,,,,Emari Demercado - KC,5,$3,,,,Jerry Jeudy - CLE,11,$6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jadarian Price (RB - SEA),11,$18,,,,,,,,,,Kaelon Black - SF,8,$3,,,,KC Concepcion - CLE,11,$6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colston Loveland (TE - CHI),10,$18,,,,,,,,,,Mike Washington Jr. - LV,13,$3,,,,Tre Tucker - LV,13,$6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Warren (RB - PIT),9,$17,,,,,,,,,,Tank Bigsby - PHI,10,$2,,,,Rashod Bateman - BAL,13,$6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chuba Hubbard (RB - CAR),5,$17,,,,,,,,,,Keaton Mitchell - LAC,7,$2,,,,Jayden Higgins - HOU,8,$6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rico Dowdle (RB - PIT),9,$17,,,,,,,,,,Malik Davis - DAL,14,$2,,,,Jalen McMillan - TB,10,$5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhamondre Stevenson (RB - NE),11,$17,,,,,,,,,,Adam Randall - BAL,13,$2,,,,Jauan Jennings - MIN,6,$5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Evans (WR - SF),8,$17,,,,,,,,,,Chris Brooks - GB,11,$2,,,,Jalen Nailor - LV,13,$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin Harrison Jr. (WR - ARI),14,$17,,,,,,,,,,Kimani Vidal - LAC,7,$2,,,,Antonio Williams - WAS,7,$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Watson (WR - GB),11,$17,,,,,,,,,,James Conner - ARI,14,$1,,,,Denzel Boston - CLE,11,$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DK Metcalf (WR - PIT),9,$17,,,,,,,,,,Emanuel Wilson - SEA,11,$1,,,,Tank Dell - HOU,8,$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.K. Dobbins (RB - DEN),10,$15,,,,,,,,,,Jaylen Wright - MIA,6,$0,,,,Cooper Kupp - SEA,11,$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Warren (TE - IND),13,$15,,,,,,,,,,Jawhar Jordan - HOU,8,$0,,,,Omar Cooper Jr. - NYJ,13,$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drake Maye (QB - NE),11,$14,,,,,,,,,,Kyle Juszczyk - SF,8,$0,,,,Adonai Mitchell - NYJ,13,$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ Harvey (RB - DEN),10,$14,,,,,,,,,,Jaydon Blue - DAL,14,$0,,,,Germie Bernard - PIT,9,$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jakobi Meyers (WR - JAC),7,$14,,,,,,,,,,MarShawn Lloyd - GB,11,$0,,,,Travis Hunter - JAC,7,$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Pittman Jr. (WR - PIT),9,$14,,,,,,,,,,Kendre Miller - NO,8,$0,,,,Darnell Mooney - NYG,8,$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Pitts Sr. (TE - ATL),11,$14,,,,,,,,,,George Holani - SEA,11,$0,,,,Bub Means - NO,8,$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamar Jackson (QB - BAL),13,$13,,,,,,,,,,LeQuint Allen Jr. - JAC,7,$0,,,,Kayshon Boutte - NE,11,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayden Daniels (QB - WAS),7,$13,,,,,,,,,,Jonah Coleman - DEN,10,$0,,,,Malik Washington - MIA,6,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Hurts (QB - PHI),10,$13,,,,,,,,,,Frank Gore Jr. - BUF,7,$0,,,,Christian Kirk - SF,8,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Jones Sr. (RB - MIN),6,$13,,,,,,,,,,Roschon Johnson - CHI,10,$0,,,,Darius Slayton - NYG,8,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parker Washington (WR - JAC),7,$13,,,,,,,,,,Ollie Gordon II - MIA,6,$0,,,,Jaylin Noel - HOU,8,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carnell Tate (WR - TEN),9,$13,,,,,,,,,,Isaiah Davis - NYJ,13,$0,,,,Ja'Kobi Lane - BAL,13,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Thomas Jr. (WR - JAC),7,$13,,,,,,,,,,Ty Chandler - NO,8,$0,,,,Tyquan Thornton - KC,5,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wan'Dale Robinson (WR - TEN),9,$13,,,,,,,,,,Ray Davis - BUF,7,$0,,,,Tory Horton - SEA,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harold Fannin Jr. (TE - CLE),11,$13,,,,,,,,,,Emmett Johnson - KC,5,$0,,,,Troy Franklin - DEN,10,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rachaad White (RB - WAS),7,$12,,,,,,,,,,DJ Giddens - IND,13,$0,,,,Nick Westbrook-Ikhine - IND,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Monangai (RB - CHI),10,$12,,,,,,,,,,Austin Ekeler - ,,$0,,,,Devaughn Vele - NO,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenny Gainwell (RB - TB),10,$12,,,,,,,,,,Sean Tucker - TB,10,$0,,,,De'Zhaun Stribling - SF,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayden Reed (WR - GB),11,$12,,,,,,,,,,Brashard Smith - KC,5,$0,,,,Hollywood Brown - PHI,10,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quentin Johnston (WR - LAC),7,$12,,,,,,,,,,Trevor Etienne - CAR,5,$0,,,,Andrei Iosivas - CIN,6,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam LaPorta (TE - DET),6,$12,,,,,,,,,,Phil Mafah - DAL,14,$0,,,,Ryan Flournoy - DAL,14,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacory Croskey-Merritt (RB - WAS),7,$11,,,,,,,,,,Devin Singletary - NYG,8,$0,,,,Isaac TeSlaa - DET,6,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Godwin Jr. (WR - TB),10,$11,,,,,,,,,,Jam Miller - NE,11,$0,,,,Jack Bech - LV,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Addison (WR - MIN),6,$11,,,,,,,,,,Elijah Mitchell - PHI,10,$0,,,,Tre' Harris - LAC,7,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordyn Tyson (WR - NO),8,$11,,,,,,,,,,,,,,,,Jalen Tolbert - MIA,6,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Wilson (WR - ARI),14,$11,,,,,,,,,,,,,,,,Chris Bell - MIA,6,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Worthy (WR - KC),5,$11,,,,,,,,,,,,,,,,Caleb Douglas - MIA,6,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas Goedert (TE - PHI),10,$11,,,,,,,,,,,,,,,,Dyami Brown - WAS,7,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Kelce (TE - KC),5,$11,,,,,,,,,,,,,,,,Ted Hurst III - TB,10,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaxson Dart (QB - NYG),8,$10,,,,,,,,,,,,,,,,Jahan Dotson - ATL,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Burrow (QB - CIN),6,$10,,,,,,,,,,,,,,,,Dontayvion Wicks - PHI,10,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blake Corum (RB - LAR),11,$10,,,,,,,,,,,,,,,,Zachariah Branch - ATL,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Mason (RB - MIN),6,$10,,,,,,,,,,,,,,,,Elic Ayomanor - TEN,9,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khalil Shakir (WR - BUF),7,$10,,,,,,,,,,,,,,,,Ashton Dulin - IND,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romeo Doubs (WR - NE),11,$10,,,,,,,,,,,,,,,,Chimere Dike - TEN,9,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricky Pearsall (WR - SF),8,$10,,,,,,,,,,,,,,,,Van Jefferson - WAS,7,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathon Brooks (RB - CAR),5,$9,,,,,,,,,,,,,,,,Pat Bryant - DEN,10,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Downs (WR - IND),13,$9,,,,,,,,,,,,,,,,Olamide Zaccheaus - ATL,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makai Lemon (WR - PHI),10,$9,,,,,,,,,,,,,,,,Xavier Legette - CAR,5,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rashid Shaheed (WR - SEA),11,$9,,,,,,,,,,,,,,,,Savion Williams - GB,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Metchie III (WR - CAR),5,$9,,,,,,,,,,,,,,,,Joshua Palmer - BUF,7,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tucker Kraft (TE - GB),11,$9,,,,,,,,,,,,,,,,Xavier Hutchinson - HOU,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brock Purdy (QB - SF),8,$8,,,,,,,,,,,,,,,,Marvin Mims Jr. - DEN,10,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dak Prescott (QB - DAL),14,$8,,,,,,,,,,,,,,,,KaVontae Turpin - DAL,14,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trevor Lawrence (QB - JAC),7,$8,,,,,,,,,,,,,,,,Cedric Tillman - CLE,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Mahomes II (QB - KC),5,$8,,,,,,,,,,,,,,,,Calvin Austin III - NYG,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyjae Spears (RB - TEN),9,$8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew Golden (WR - GB),11,$8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calvin Ridley (WR - TEN),9,$8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Coker (WR - CAR),5,$8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Kittle (TE - SF),8,$8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Andrews (TE - BAL),13,$8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Herbert (QB - LAC),7,$7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caleb Williams (QB - CHI),10,$7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zach Charbonnet (RB - SEA),11,$7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woody Marks (RB - HOU),8,$7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alvin Kamara (RB - NO),8,$7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theo Wease Jr. (WR - MIA),6,$7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Likely (TE - NYG),8,$7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalton Kincaid (TE - BUF),7,$7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
