Salary Cap Values #7
Overall,Bye Week,VALUES,Tags,Expert Notes,,QB,Bye Week,VALUES,Tags,Expert Notes,,RB,Bye Week,VALUES,Tags,Expert Notes,,WR,Bye Week,VALUES,Tags,Expert Notes,,TE,Bye Week,VALUES,Tags,Expert Notes,,K,Bye Week,VALUES,Tags,Expert Notes,,DST,Bye Week,VALUES,Tags,Expert Notes,,DB,Bye Week,VALUES,Tags,Expert Notes,,
Breece Hall (RB - NYJ),13,$21,,,,Fernando Mendoza - LV,13,$0,,,,Rhamondre Stevenson - NE,11,$6,,,,Marvin Harrison Jr. - ARI,14,$6,,,,Terrance Ferguson - LAR,11,$0,,,,,,,,,,San Francisco 49ers,8,$0,,,,,,,,,,
Zay Flowers (WR - BAL),13,$21,,,,Tua Tagovailoa - ATL,11,$0,,,,Rico Dowdle - PIT,9,$6,,,,Mike Evans - SF,8,$6,,,,Gunnar Helm - TEN,9,$0,,,,,,,,,,Carolina Panthers,5,$0,,,,,,,,,,
Kenneth Walker III (RB - KC),5,$20,,,,Deshaun Watson - CLE,11,$0,,,,RJ Harvey - DEN,10,$5,,,,DK Metcalf - PIT,9,$6,,,,Mason Taylor - NYJ,13,$0,,,,,,,,,,New York Jets,13,$0,,,,,,,,,,
DeVonta Smith (WR - PHI),10,$19,,,,Shedeur Sanders - CLE,11,$0,,,,Aaron Jones Sr. - MIN,6,$5,,,,Christian Watson - GB,11,$5,,,,David Njoku - LAC,7,$0,,,,,,,,,,,,,,,,,,,,,,
Cam Skattebo (RB - NYG),8,$18,,,,,,,,,,J.K. Dobbins - DEN,10,$4,,,,Michael Pittman Jr. - PIT,9,$5,,,,Colby Parkinson - LAR,11,$0,,,,,,,,,,,,,,,,,,,,,,
Kyren Williams (RB - LAR),11,$17,,,,,,,,,,Rachaad White - WAS,7,$4,,,,Wan'Dale Robinson - TEN,9,$5,,,,Michael Mayer - LV,13,$0,,,,,,,,,,,,,,,,,,,,,,
Travis Etienne Jr. (RB - NO),8,$16,,,,,,,,,,Kenny Gainwell - TB,10,$4,,,,Jakobi Meyers - JAC,7,$4,,,,Dawson Knox - BUF,7,$0,,,,,,,,,,,,,,,,,,,,,,
Emeka Egbuka (WR - TB),10,$16,,,,,,,,,,Kyle Monangai - CHI,10,$3,,,,Carnell Tate - TEN,9,$3,,,,Theo Johnson - NYG,8,$0,,,,,,,,,,,,,,,,,,,,,,
Tetairoa McMillan (WR - CAR),5,$16,,,,,,,,,,Jacory Croskey-Merritt - WAS,7,$2,,,,Parker Washington - JAC,7,$2,,,,Darnell Washington - PIT,9,$0,,,,,,,,,,,,,,,,,,,,,,
Malik Nabers (WR - NYG),8,$15,,,,,,,,,,Blake Corum - LAR,11,$1,,,,Jayden Reed - GB,11,$2,,,,Tyler Higbee - LAR,11,$0,,,,,,,,,,,,,,,,,,,,,,
Javonte Williams (RB - DAL),14,$14,,,,,,,,,,Tyjae Spears - TEN,9,$1,,,,Chris Godwin Jr. - TB,10,$1,,,,Ja'Tavion Sanders - CAR,5,$0,,,,,,,,,,,,,,,,,,,,,,
Bucky Irving (RB - TB),10,$14,,,,,,,,,,Jordan Mason - MIN,6,$1,,,,Brian Thomas Jr. - JAC,7,$1,,,,Cole Kmet - CHI,10,$0,,,,,,,,,,,,,,,,,,,,,,
Davante Adams (WR - LAR),11,$14,,,,,,,,,,Jonathon Brooks - CAR,5,$0,,,,Michael Wilson - ARI,14,$1,,,,Noah Fant - NO,8,$0,,,,,,,,,,,,,,,,,,,,,,
Tee Higgins (WR - CIN),6,$14,,,,,,,,,,Woody Marks - HOU,8,$0,,,,Jordyn Tyson - NO,8,$1,,,,Tommy Tremble - CAR,5,$0,,,,,,,,,,,,,,,,,,,,,,
Colston Loveland (TE - CHI),10,$14,,,,,,,,,,Alvin Kamara - NO,8,$0,,,,Khalil Shakir - BUF,7,$1,,,,Will Kacmarek - MIA,6,$0,,,,,,,,,,,,,,,,,,,,,,
D'Andre Swift (RB - CHI),10,$13,,,,,,,,,,Zach Charbonnet - SEA,11,$0,,,,Josh Downs - IND,13,$0,,,,Erick All Jr. - CIN,6,$0,,,,,,,,,,,,,,,,,,,,,,
Jameson Williams (WR - DET),6,$12,,,,,,,,,,Tyrone Tracy Jr. - NYG,8,$0,,,,Quentin Johnston - LAC,7,$0,,,,Jake Tonges - SF,8,$0,,,,,,,,,,,,,,,,,,,,,,
Quinshon Judkins (RB - CLE),11,$11,,,,,,,,,,Justice Hill - BAL,13,$0,,,,Jordan Addison - MIN,6,$0,,,,Austin Hooper - ATL,11,$0,,,,,,,,,,,,,,,,,,,,,,
Terry McLaurin (WR - WAS),7,$11,,,,,,,,,,Isiah Pacheco - DET,6,$0,,,,Xavier Worthy - KC,5,$0,,,,Eli Stowers - PHI,10,$0,,,,,,,,,,,,,,,,,,,,,,
Ladd McConkey (WR - LAC),7,$11,,,,,,,,,,Dylan Sampson - CLE,11,$0,,,,Ricky Pearsall - SF,8,$0,,,,Luke Musgrave - GB,11,$0,,,,,,,,,,,,,,,,,,,,,,
Tyler Warren (TE - IND),13,$11,,,,,,,,,,Ty Johnson - BUF,7,$0,,,,Romeo Doubs - NE,11,$0,,,,Josh Oliver - MIN,6,$0,,,,,,,,,,,,,,,,,,,,,,
Drake Maye (QB - NE),11,$10,,,,,,,,,,Samaje Perine - CIN,6,$0,,,,John Metchie III - CAR,5,$0,,,,Daniel Bellinger - TEN,9,$0,,,,,,,,,,,,,,,,,,,,,,
Bhayshul Tuten (RB - JAC),7,$10,,,,,,,,,,Tyler Allgeier - ARI,14,$0,,,,Makai Lemon - PHI,10,$0,,,,Noah Gray - KC,5,$0,,,,,,,,,,,,,,,,,,,,,,
Rome Odunze (WR - CHI),10,$10,,,,,,,,,,Chris Rodriguez Jr. - JAC,7,$0,,,,Rashid Shaheed - SEA,11,$0,,,,Brock Wright - DET,6,$0,,,,,,,,,,,,,,,,,,,,,,
Jaylen Waddle (WR - DEN),10,$10,,,,,,,,,,AJ Dillon - CAR,5,$0,,,,Matthew Golden - GB,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamar Jackson (QB - BAL),13,$9,,,,,,,,,,Jordan James - SF,8,$0,,,,Jalen Coker - CAR,5,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayden Daniels (QB - WAS),7,$9,,,,,,,,,,Brian Robinson Jr. - ATL,11,$0,,,,Calvin Ridley - TEN,9,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Hurts (QB - PHI),10,$9,,,,,,,,,,Braelon Allen - NYJ,13,$0,,,,KC Concepcion - CLE,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TreVeyon Henderson (RB - NE),11,$9,,,,,,,,,,Emari Demercado - KC,5,$0,,,,Theo Wease Jr. - MIA,6,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJ Moore (WR - BUF),7,$9,,,,,,,,,,Mike Washington Jr. - LV,13,$0,,,,Jerry Jeudy - CLE,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alec Pierce (WR - IND),13,$9,,,,,,,,,,Kaelon Black - SF,8,$0,,,,Tre Tucker - LV,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luther Burden III (WR - CHI),10,$9,,,,,,,,,,Keaton Mitchell - LAC,7,$0,,,,Jayden Higgins - HOU,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Pitts Sr. (TE - ATL),11,$9,,,,,,,,,,Tank Bigsby - PHI,10,$0,,,,Jauan Jennings - MIN,6,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Courtland Sutton (WR - DEN),10,$8,,,,,,,,,,Chris Brooks - GB,11,$0,,,,Jalen McMillan - TB,10,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harold Fannin Jr. (TE - CLE),11,$8,,,,,,,,,,Adam Randall - BAL,13,$0,,,,Rashod Bateman - BAL,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Warren (RB - PIT),9,$7,,,,,,,,,,Malik Davis - DAL,14,$0,,,,Denzel Boston - CLE,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Montgomery (RB - HOU),8,$7,,,,,,,,,,James Conner - ARI,14,$0,,,,Antonio Williams - WAS,7,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Pollard (RB - TEN),9,$7,,,,,,,,,,Kimani Vidal - LAC,7,$0,,,,Jalen Nailor - LV,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jadarian Price (RB - SEA),11,$6,,,,,,,,,,Kyle Juszczyk - SF,8,$0,,,,Cooper Kupp - SEA,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chuba Hubbard (RB - CAR),5,$6,,,,,,,,,,Emanuel Wilson - SEA,11,$0,,,,Tank Dell - HOU,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhamondre Stevenson (RB - NE),11,$6,,,,,,,,,,Jaylen Wright - MIA,6,$0,,,,Omar Cooper Jr. - NYJ,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rico Dowdle (RB - PIT),9,$6,,,,,,,,,,Jawhar Jordan - HOU,8,$0,,,,Germie Bernard - PIT,9,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin Harrison Jr. (WR - ARI),14,$6,,,,,,,,,,Jaydon Blue - DAL,14,$0,,,,Adonai Mitchell - NYJ,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Evans (WR - SF),8,$6,,,,,,,,,,LeQuint Allen Jr. - JAC,7,$0,,,,Travis Hunter - JAC,7,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DK Metcalf (WR - PIT),9,$6,,,,,,,,,,MarShawn Lloyd - GB,11,$0,,,,Darnell Mooney - NYG,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ Harvey (RB - DEN),10,$5,,,,,,,,,,George Holani - SEA,11,$0,,,,Malik Washington - MIA,6,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Jones Sr. (RB - MIN),6,$5,,,,,,,,,,Kendre Miller - NO,8,$0,,,,Bub Means - NO,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Watson (WR - GB),11,$5,,,,,,,,,,Ty Chandler - NO,8,$0,,,,Christian Kirk - SF,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Pittman Jr. (WR - PIT),9,$5,,,,,,,,,,Isaiah Davis - NYJ,13,$0,,,,Darius Slayton - NYG,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wan'Dale Robinson (WR - TEN),9,$5,,,,,,,,,,DJ Giddens - IND,13,$0,,,,Jaylin Noel - HOU,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Kelce (TE - KC),5,$5,,,,,,,,,,Ray Davis - BUF,7,$0,,,,Kayshon Boutte - NE,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam LaPorta (TE - DET),6,$5,,,,,,,,,,Frank Gore Jr. - BUF,7,$0,,,,Troy Franklin - DEN,10,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaxson Dart (QB - NYG),8,$4,,,,,,,,,,Ollie Gordon II - MIA,6,$0,,,,Ja'Kobi Lane - BAL,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Burrow (QB - CIN),6,$4,,,,,,,,,,Emmett Johnson - KC,5,$0,,,,Nick Westbrook-Ikhine - IND,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.K. Dobbins (RB - DEN),10,$4,,,,,,,,,,Roschon Johnson - CHI,10,$0,,,,Tory Horton - SEA,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rachaad White (RB - WAS),7,$4,,,,,,,,,,Austin Ekeler - ,,$0,,,,Devaughn Vele - NO,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenny Gainwell (RB - TB),10,$4,,,,,,,,,,Jonah Coleman - DEN,10,$0,,,,Tyquan Thornton - KC,5,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jakobi Meyers (WR - JAC),7,$4,,,,,,,,,,Brashard Smith - KC,5,$0,,,,Jack Bech - LV,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas Goedert (TE - PHI),10,$4,,,,,,,,,,Sean Tucker - TB,10,$0,,,,De'Zhaun Stribling - SF,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Monangai (RB - CHI),10,$3,,,,,,,,,,Trevor Etienne - CAR,5,$0,,,,Hollywood Brown - PHI,10,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carnell Tate (WR - TEN),9,$3,,,,,,,,,,Phil Mafah - DAL,14,$0,,,,Ryan Flournoy - DAL,14,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brock Purdy (QB - SF),8,$2,,,,,,,,,,Will Shipley - PHI,10,$0,,,,Jalen Tolbert - MIA,6,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dak Prescott (QB - DAL),14,$2,,,,,,,,,,Devin Singletary - NYG,8,$0,,,,Tre' Harris - LAC,7,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trevor Lawrence (QB - JAC),7,$2,,,,,,,,,,Jeremy McNichols - WAS,7,$0,,,,Andrei Iosivas - CIN,6,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Mahomes II (QB - KC),5,$2,,,,,,,,,,Jam Miller - NE,11,$0,,,,Chris Bell - MIA,6,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacory Croskey-Merritt (RB - WAS),7,$2,,,,,,,,,,Elijah Mitchell - PHI,10,$0,,,,Caleb Douglas - MIA,6,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parker Washington (WR - JAC),7,$2,,,,,,,,,,,,,,,,Isaac TeSlaa - DET,6,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayden Reed (WR - GB),11,$2,,,,,,,,,,,,,,,,Dyami Brown - WAS,7,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tucker Kraft (TE - GB),11,$2,,,,,,,,,,,,,,,,Jahan Dotson - ATL,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Ferguson (TE - DAL),14,$2,,,,,,,,,,,,,,,,Ted Hurst III - TB,10,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houston Texans (DST - HOU),8,$2,,,,,,,,,,,,,,,,Dontayvion Wicks - PHI,10,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Broncos (DST - DEN),10,$2,,,,,,,,,,,,,,,,Zachariah Branch - ATL,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Herbert (QB - LAC),7,$1,,,,,,,,,,,,,,,,Elic Ayomanor - TEN,9,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blake Corum (RB - LAR),11,$1,,,,,,,,,,,,,,,,Van Jefferson - WAS,7,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyjae Spears (RB - TEN),9,$1,,,,,,,,,,,,,,,,Chimere Dike - TEN,9,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Mason (RB - MIN),6,$1,,,,,,,,,,,,,,,,Ashton Dulin - IND,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Godwin Jr. (WR - TB),10,$1,,,,,,,,,,,,,,,,Olamide Zaccheaus - ATL,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Thomas Jr. (WR - JAC),7,$1,,,,,,,,,,,,,,,,Pat Bryant - DEN,10,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Wilson (WR - ARI),14,$1,,,,,,,,,,,,,,,,Xavier Legette - CAR,5,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordyn Tyson (WR - NO),8,$1,,,,,,,,,,,,,,,,Joshua Palmer - BUF,7,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khalil Shakir (WR - BUF),7,$1,,,,,,,,,,,,,,,,Savion Williams - GB,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Kittle (TE - SF),8,$1,,,,,,,,,,,,,,,,Xavier Hutchinson - HOU,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Likely (TE - NYG),8,$1,,,,,,,,,,,,,,,,Marvin Mims Jr. - DEN,10,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pittsburgh Steelers (DST - PIT),9,$1,,,,,,,,,,,,,,,,KaVontae Turpin - DAL,14,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota Vikings (DST - MIN),6,$1,,,,,,,,,,,,,,,,Cedric Tillman - CLE,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seattle Seahawks (DST - SEA),11,$1,,,,,,,,,,,,,,,,DeMario Douglas - NE,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Lions (DST - DET),6,$1,,,,,,,,,,,,,,,,Calvin Austin III - NYG,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buffalo Bills (DST - BUF),7,$1,,,,,,,,,,,,,,,,Jaylin Lane - WAS,7,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Rams (DST - LAR),11,$1,,,,,,,,,,,,,,,,Chris Brazzell II - CAR,5,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Aubrey (K - DAL),14,$1,,,,,,,,,,,,,,,,Elijah Sarratt - BAL,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Myers (K - SEA),11,$1,,,,,,,,,,,,,,,,Keon Coleman - BUF,7,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ka'imi Fairbairn (K - HOU),8,$1,,,,,,,,,,,,,,,,Jahdae Walker - CHI,10,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameron Dicker (K - LAC),7,$1,,,,,,,,,,,,,,,,Tutu Atwell - MIA,6,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrison Mevis (K - LAR),11,$1,,,,,,,,,,,,,,,,Demarcus Robinson - SF,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Bates (K - DET),6,$1,,,,,,,,,,,,,,,,Kevin Coleman Jr. - MIA,6,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
