Salary Cap Values #7
Overall,Bye Week,VALUES,Tags,Expert Notes,,QB,Bye Week,VALUES,Tags,Expert Notes,,RB,Bye Week,VALUES,Tags,Expert Notes,,WR,Bye Week,VALUES,Tags,Expert Notes,,TE,Bye Week,VALUES,Tags,Expert Notes,,K,Bye Week,VALUES,Tags,Expert Notes,,DST,Bye Week,VALUES,Tags,Expert Notes,,DB,Bye Week,VALUES,Tags,Expert Notes,,
Jahmyr Gibbs (RB - DET),6,$55,,,,Josh Allen - BUF,7,$27,,,,Jahmyr Gibbs - DET,6,$55,,,,Puka Nacua - LAR,11,$54,,,,Trey McBride - ARI,14,$31,,,,Brandon Aubrey - DAL,14,$1,,,,Houston Texans,8,$2,,,,Travis Hunter - JAC,7,$0,,,,
Bijan Robinson (RB - ATL),11,$54,,,,Drake Maye - NE,11,$10,,,,Bijan Robinson - ATL,11,$54,,,,Ja'Marr Chase - CIN,6,$53,,,,Brock Bowers - LV,13,$26,,,,Jason Myers - SEA,11,$1,,,,Denver Broncos,10,$2,,,,,,,,,,
Puka Nacua (WR - LAR),11,$54,,,,Lamar Jackson - BAL,13,$9,,,,Christian McCaffrey - SF,8,$47,,,,Jaxon Smith-Njigba - SEA,11,$49,,,,Colston Loveland - CHI,10,$14,,,,Ka'imi Fairbairn - HOU,8,$1,,,,Pittsburgh Steelers,9,$1,,,,,,,,,,
Ja'Marr Chase (WR - CIN),6,$53,,,,Jayden Daniels - WAS,7,$9,,,,Jonathan Taylor - IND,13,$37,,,,Amon-Ra St. Brown - DET,6,$47,,,,Tyler Warren - IND,13,$11,,,,Cameron Dicker - LAC,7,$1,,,,Minnesota Vikings,6,$1,,,,,,,,,,
Jaxon Smith-Njigba (WR - SEA),11,$49,,,,Jalen Hurts - PHI,10,$9,,,,De'Von Achane - MIA,6,$37,,,,Drake London - ATL,11,$37,,,,Kyle Pitts Sr. - ATL,11,$9,,,,Harrison Mevis - LAR,11,$1,,,,Seattle Seahawks,11,$1,,,,,,,,,,
Christian McCaffrey (RB - SF),8,$47,,,,Jaxson Dart - NYG,8,$4,,,,Chase Brown - CIN,6,$28,,,,CeeDee Lamb - DAL,14,$32,,,,Harold Fannin Jr. - CLE,11,$8,,,,Jake Bates - DET,6,$1,,,,Detroit Lions,6,$1,,,,,,,,,,
Amon-Ra St. Brown (WR - DET),6,$47,,,,Joe Burrow - CIN,6,$4,,,,Ashton Jeanty - LV,13,$28,,,,Rashee Rice - KC,5,$31,,,,Travis Kelce - KC,5,$5,,,,Chase McLaughlin - TB,10,$1,,,,Buffalo Bills,7,$1,,,,,,,,,,
Jonathan Taylor (RB - IND),13,$37,,,,Brock Purdy - SF,8,$2,,,,Derrick Henry - BAL,13,$27,,,,Justin Jefferson - MIN,6,$30,,,,Sam LaPorta - DET,6,$5,,,,Cairo Santos - CHI,10,$1,,,,Los Angeles Rams,11,$1,,,,,,,,,,
De'Von Achane (RB - MIA),6,$37,,,,Dak Prescott - DAL,14,$2,,,,James Cook III - BUF,7,$26,,,,A.J. Brown - NE,11,$26,,,,Dallas Goedert - PHI,10,$4,,,,Eddy Pineiro - SF,8,$0,,,,Los Angeles Chargers,7,$0,,,,,,,,,,
Drake London (WR - ATL),11,$37,,,,Trevor Lawrence - JAC,7,$2,,,,Saquon Barkley - PHI,10,$25,,,,Chris Olave - NO,8,$26,,,,Tucker Kraft - GB,11,$2,,,,Tyler Loop - BAL,13,$0,,,,Atlanta Falcons,11,$0,,,,,,,,,,
CeeDee Lamb (WR - DAL),14,$32,,,,Patrick Mahomes II - KC,5,$2,,,,Omarion Hampton - LAC,7,$24,,,,George Pickens - DAL,14,$24,,,,Jake Ferguson - DAL,14,$2,,,,Harrison Butker - KC,5,$0,,,,Philadelphia Eagles,10,$0,,,,,,,,,,
Rashee Rice (WR - KC),5,$31,,,,Justin Herbert - LAC,7,$1,,,,Josh Jacobs - GB,11,$22,,,,Nico Collins - HOU,8,$23,,,,George Kittle - SF,8,$1,,,,Will Reichard - MIN,6,$0,,,,Chicago Bears,10,$0,,,,,,,,,,
Trey McBride (TE - ARI),14,$31,,,,Caleb Williams - CHI,10,$0,,,,Jeremiyah Love - ARI,14,$22,,,,Garrett Wilson - NYJ,13,$22,,,,Isaiah Likely - NYG,8,$1,,,,Cam Little - JAC,7,$0,,,,Baltimore Ravens,13,$0,,,,,,,,,,
Justin Jefferson (WR - MIN),6,$30,,,,Bo Nix - DEN,10,$0,,,,Breece Hall - NYJ,13,$21,,,,Zay Flowers - BAL,13,$21,,,,Mark Andrews - BAL,13,$0,,,,Evan McPherson - CIN,6,$0,,,,Cleveland Browns,11,$0,,,,,,,,,,
Chase Brown (RB - CIN),6,$28,,,,Matthew Stafford - LAR,11,$0,,,,Kenneth Walker III - KC,5,$20,,,,DeVonta Smith - PHI,10,$19,,,,Dalton Kincaid - BUF,7,$0,,,,Nick Folk - ATL,11,$0,,,,New Orleans Saints,8,$0,,,,,,,,,,
Ashton Jeanty (RB - LV),13,$28,,,,Jared Goff - DET,6,$0,,,,Cam Skattebo - NYG,8,$18,,,,Emeka Egbuka - TB,10,$16,,,,Juwan Johnson - NO,8,$0,,,,Wil Lutz - DEN,10,$0,,,,Cincinnati Bengals,6,$0,,,,,,,,,,
Josh Allen (QB - BUF),7,$27,,,,Tyler Shough - NO,8,$0,,,,Kyren Williams - LAR,11,$17,,,,Tetairoa McMillan - CAR,5,$16,,,,Hunter Henry - NE,11,$0,,,,Trey Smack - GB,11,$0,,,,Jacksonville Jaguars,7,$0,,,,,,,,,,
Derrick Henry (RB - BAL),13,$27,,,,Baker Mayfield - TB,10,$0,,,,Travis Etienne Jr. - NO,8,$16,,,,Malik Nabers - NYG,8,$15,,,,Brenton Strange - JAC,7,$0,,,,Tyler Bass - BUF,7,$0,,,,New England Patriots,11,$0,,,,,,,,,,
James Cook III (RB - BUF),7,$26,,,,Kyler Murray - MIN,6,$0,,,,Javonte Williams - DAL,14,$14,,,,Davante Adams - LAR,11,$14,,,,Dalton Schultz - HOU,8,$0,,,,Charlie Smyth - NO,8,$0,,,,Tampa Bay Buccaneers,10,$0,,,,,,,,,,
A.J. Brown (WR - NE),11,$26,,,,Malik Willis - MIA,6,$0,,,,Bucky Irving - TB,10,$14,,,,Tee Higgins - CIN,6,$14,,,,T.J. Hockenson - MIN,6,$0,,,,Jake Moody - WAS,7,$0,,,,Tennessee Titans,9,$0,,,,,,,,,,
Chris Olave (WR - NO),8,$26,,,,Jordan Love - GB,11,$0,,,,D'Andre Swift - CHI,10,$13,,,,Jameson Williams - DET,6,$12,,,,Pat Freiermuth - PIT,9,$0,,,,Andy Borregales - NE,11,$0,,,,Green Bay Packers,11,$0,,,,,,,,,,
Brock Bowers (TE - LV),13,$26,,,,Sam Darnold - SEA,11,$0,,,,Quinshon Judkins - CLE,11,$11,,,,Terry McLaurin - WAS,7,$11,,,,Greg Dulcich - MIA,6,$0,,,,Jake Elliott - PHI,10,$0,,,,Washington Commanders,7,$0,,,,,,,,,,
Saquon Barkley (RB - PHI),10,$25,,,,C.J. Stroud - HOU,8,$0,,,,Bhayshul Tuten - JAC,7,$10,,,,Ladd McConkey - LAC,7,$11,,,,Kenyon Sadiq - NYJ,13,$0,,,,Chris Boswell - PIT,9,$0,,,,Indianapolis Colts,13,$0,,,,,,,,,,
Omarion Hampton (RB - LAC),7,$24,,,,Daniel Jones - IND,13,$0,,,,TreVeyon Henderson - NE,11,$9,,,,Rome Odunze - CHI,10,$10,,,,Cade Otton - TB,10,$0,,,,Jason Sanders - NYJ,13,$0,,,,Kansas City Chiefs,5,$0,,,,,,,,,,
George Pickens (WR - DAL),14,$24,,,,Bryce Young - CAR,5,$0,,,,Jaylen Warren - PIT,9,$7,,,,Jaylen Waddle - DEN,10,$10,,,,Chig Okonkwo - WAS,7,$0,,,,Zane Gonzalez - MIA,6,$0,,,,New York Giants,8,$0,,,,,,,,,,
Nico Collins (WR - HOU),8,$23,,,,Geno Smith - NYJ,13,$0,,,,David Montgomery - HOU,8,$7,,,,DJ Moore - BUF,7,$9,,,,AJ Barner - SEA,11,$0,,,,Joey Slye - TEN,9,$0,,,,Dallas Cowboys,14,$0,,,,,,,,,,
Josh Jacobs (RB - GB),11,$22,,,,Jacoby Brissett - ARI,14,$0,,,,Tony Pollard - TEN,9,$7,,,,Alec Pierce - IND,13,$9,,,,Oronde Gadsden II - LAC,7,$0,,,,Chad Ryland - ARI,14,$0,,,,Las Vegas Raiders,13,$0,,,,,,,,,,
Jeremiyah Love (RB - ARI),14,$22,,,,Cam Ward - TEN,9,$0,,,,Jadarian Price - SEA,11,$6,,,,Luther Burden III - CHI,10,$9,,,,Evan Engram - DEN,10,$0,,,,,,,,,,Arizona Cardinals,14,$0,,,,,,,,,,
Garrett Wilson (WR - NYJ),13,$22,,,,Aaron Rodgers - PIT,9,$0,,,,Chuba Hubbard - CAR,5,$6,,,,Courtland Sutton - DEN,10,$8,,,,Mike Gesicki - CIN,6,$0,,,,,,,,,,Miami Dolphins,6,$0,,,,,,,,,,
