QB,,,,,RB,,,,,WR,,,,,TE,,,,
#,Player,TM,$,BYE,#,Player,TM,$,BYE,#,Player,TM,$,BYE,#,Player,TM,$,BYE
1,Josh Allen,BUF,$25,7,1,Jonathan Taylor,IND,$61,13,1,Ja'Marr Chase,CIN,$48,6,1,Trey McBride,ARI,$18,14
2,Lamar Jackson,BAL,$18,13,2,Jahmyr Gibbs,DET,$59,6,2,Jaxon Smith-Njigba,SEA,$48,11,2,Tucker Kraft,GB,$17,11
3,Drake Maye,NE,$11,11,3,Bijan Robinson,ATL,$57,11,3,Puka Nacua,LAR,$46,11,3,Brock Bowers,LV,$17,13
4,Jayden Daniels,WAS,$10,7,4,De'Von Achane,MIA,$55,6,4,Amon-Ra St. Brown,DET,$39,6,4,Colston Loveland,CHI,$16,10
5,Jalen Hurts,PHI,$10,10,5,Christian McCaffrey,SF,$53,8,5,Drake London,ATL,$37,11,5,Harold Fannin,CLE,$13,11
6,Joe Burrow,CIN,$10,6,6,Ashton Jeanty,LV,$44,13,6,A.J. Brown,NE,$32,11,6,Tyler Warren,IND,$11,13
7,Justin Herbert,LAC,$8,7,7,James Cook,BUF,$43,7,7,Justin Jefferson,MIN,$31,6,7,George Kittle,SF,$11,8
8,Trevor Lawrence,JAX,$7,7,8,Derrick Henry,BAL,$43,13,8,Nico Collins,HOU,$30,8,8,Sam LaPorta,DET,$10,6
9,Dak Prescott,DAL,$7,14,9,Kyren Williams,LAR,$42,11,9,CeeDee Lamb,DAL,$29,14,9,Mark Andrews,BAL,$9,13
10,Caleb Williams,CHI,$6,10,10,Saquon Barkley,PHI,$42,10,10,George Pickens,DAL,$28,14,10,Dalton Kincaid,BUF,$9,7
11,Brock Purdy,SF,$6,8,11,Kenneth Walker,KC,$39,5,11,Tee Higgins,CIN,$28,6,11,Kyle Pitts,ATL,$7,11
12,Jaxson Dart,NYG,$6,8,12,Quinshon Judkins,CLE,$38,11,12,Tetairoa McMillan,CAR,$27,5,12,Travis Kelce,KC,$7,5
13,Patrick Mahomes,KC,$5,5,13,Omarion Hampton,LAC,$37,7,13,Christian Watson,GB,$27,11,13,Dallas Goedert,PHI,$7,10
14,Bo Nix,DEN,$4,10,14,Josh Jacobs,GB,$36,11,14,Chris Olave,NO,$27,8,14,Jake Ferguson,DAL,$5,14
15,Jared Goff,DET,$2,6,15,Chase Brown,CIN,$36,6,15,Zay Flowers,BAL,$27,13,15,Hunter Henry,NE,$5,11
16,Kyler Murray,MIN,$1,6,16,Cam Skattebo,NYG,$36,8,16,DeVonta Smith,PHI,$27,10,16,Oronde Gadsden,LAC,$5,7
17,Matthew Stafford,LAR,$1,11,17,Jeremiyah Love,ARI,$34,14,17,Ladd McConkey,LAC,$26,7,17,Isaiah Likely,NYG,$3,8
18,Baker Mayfield,TB,$1,10,18,Travis Etienne,NO,$33,8,18,Davante Adams,LAR,$26,11,18,Juwan Johnson,NO,$2,8
19,Malik Willis,MIA,$1,6,19,Javonte Williams,DAL,$33,14,19,Terry McLaurin,WAS,$26,7,19,Brenton Strange,JAX,$2,7
20,Jordan Love,GB,$1,11,20,D'Andre Swift,CHI,$32,10,20,Jaylen Waddle,DEN,$26,10,20,AJ Barner,SEA,$2,11
 , , , , ,21,Breece Hall,NYJ,$31,13,21,Rashee Rice,KC,$25,5,21,Chigoziem Okonkwo,WAS,$2,7
 , , , , ,22,David Montgomery,HOU,$31,8,22,Jameson Williams,DET,$24,6,22,Kenyon Sadiq,NYJ,$1,13
 , , , , ,23,TreVeyon Henderson,NE,$30,11,23,Garrett Wilson,NYJ,$24,13,23,Pat Freiermuth,PIT,$1,9
 , , , , ,24,Jadarian Price,SEA,$30,11,24,Luther Burden,CHI,$23,10,24,Dalton Schultz,HOU,$1,8
 , , , , ,25,Bhayshul Tuten,JAX,$29,7,25,Emeka Egbuka,TB,$21,10,25,David Njoku,LAC,$1,7
 , , , , ,26,Jaylen Warren,PIT,$29,9,26,DK Metcalf,PIT,$20,9,26,T.J. Hockenson,MIN,$1,6
 , , , , ,27,Bucky Irving,TB,$29,10,27,Mike Evans,SF,$19,8,27,Greg Dulcich,MIA,$1,6
 , , , , ,28,Rhamondre Stevenson,NE,$29,11,28,Brian Thomas Jr.,JAX,$19,7,28,Gunnar Helm,TEN,$1,9
 , , , , ,29,Rico Dowdle,PIT,$29,9,29,Rome Odunze,CHI,$19,10,29,Cade Otton,TB,$1,10
 , , , , ,30,Tony Pollard,TEN,$28,9,30,Quentin Johnston,LAC,$18,7, , , , , 
 , , , , ,31,J.K. Dobbins,DEN,$21,10,31,D.J. Moore,BUF,$17,7, , , , , 
 , , , , ,32,Kenneth Gainwell,TB,$21,10,32,Jayden Reed,GB,$17,11, , , , , 
 , , , , ,33,Blake Corum,LAR,$19,11,33,Carnell Tate,TEN,$16,9, , , , , 
 , , , , ,34,Chuba Hubbard,CAR,$19,5,34,Michael Wilson,ARI,$16,14, , , , , 
 , , , , ,35,Chris Rodriguez,JAX,$19,7,35,Alec Pierce,IND,$16,13, , , , , 
 , , , , ,36,Jonathon Brooks,CAR,$18,5,36,Courtland Sutton,DEN,$15,10, , , , , 
