QB,,,,,RB,,,,,WR,,,,,TE,,,,
#,Player,TM,$,BYE,#,Player,TM,$,BYE,#,Player,TM,$,BYE,#,Player,TM,$,BYE
1,Josh Allen,BUF,$19,7,1,Jahmyr Gibbs,DET,$56,6,1,Ja'Marr Chase,CIN,$57,6,1,Trey McBride,ARI,$23,14
2,Lamar Jackson,BAL,$12,13,2,Bijan Robinson,ATL,$54,11,2,Puka Nacua,LAR,$56,11,2,Brock Bowers,LV,$18,13
3,Drake Maye,NE,$6,11,3,Christian McCaffrey,SF,$52,8,3,Jaxon Smith-Njigba,SEA,$53,11,3,Colston Loveland,CHI,$16,10
4,Jayden Daniels,WAS,$5,7,4,De'Von Achane,MIA,$50,6,4,Amon-Ra St. Brown,DET,$47,6,4,Tyler Warren,IND,$15,13
5,Jalen Hurts,PHI,$5,10,5,Jonathan Taylor,IND,$49,13,5,Drake London,ATL,$40,11,5,Tucker Kraft,GB,$13,11
6,Joe Burrow,CIN,$5,6,6,Ashton Jeanty,LV,$36,13,6,Justin Jefferson,MIN,$34,6,6,Harold Fannin,CLE,$11,11
7,Justin Herbert,LAC,$3,7,7,Chase Brown,CIN,$35,6,7,A.J. Brown,NE,$34,11,7,Sam LaPorta,DET,$10,6
8,Trevor Lawrence,JAX,$3,7,8,Omarion Hampton,LAC,$33,7,8,CeeDee Lamb,DAL,$30,14,8,Kyle Pitts,ATL,$7,11
9,Dak Prescott,DAL,$3,14,9,Jeremiyah Love,ARI,$32,14,9,Garrett Wilson,NYJ,$29,13,9,George Kittle,SF,$7,8
10,Caleb Williams,CHI,$2,10,10,James Cook,BUF,$31,7,10,George Pickens,DAL,$28,14,10,Travis Kelce,KC,$6,5
11,Brock Purdy,SF,$2,8,11,Saquon Barkley,PHI,$31,10,11,Chris Olave,NO,$28,8,11,Jake Ferguson,DAL,$6,14
