8-team
Overall,Bye Week,VALUES,Tags,Expert Notes,,QB,Bye Week,VALUES,Tags,Expert Notes,,RB,Bye Week,VALUES,Tags,Expert Notes,,WR,Bye Week,VALUES,Tags,Expert Notes,,TE,Bye Week,VALUES,Tags,Expert Notes,,K,Bye Week,VALUES,Tags,Expert Notes,,DST,Bye Week,VALUES,Tags,Expert Notes,,DB,Bye Week,VALUES,Tags,Expert Notes,,
Jahmyr Gibbs (RB - DET),6,$54,,,,Josh Allen - BUF,7,$27,,,,Jahmyr Gibbs - DET,6,$54,,,,Puka Nacua - LAR,11,$52,,,,Trey McBride - ARI,14,$28,,,,Brandon Aubrey - DAL,14,$1,,,,Houston Texans,8,$2,,,,Travis Hunter - JAC,7,$0,,,,
Bijan Robinson (RB - ATL),11,$52,,,,Drake Maye - NE,11,$10,,,,Bijan Robinson - ATL,11,$52,,,,Ja'Marr Chase - CIN,6,$50,,,,Brock Bowers - LV,13,$26,,,,Jason Myers - SEA,11,$1,,,,Denver Broncos,10,$2,,,,,,,,,,
Puka Nacua (WR - LAR),11,$52,,,,Lamar Jackson - BAL,13,$9,,,,Christian McCaffrey - SF,8,$44,,,,Jaxon Smith-Njigba - SEA,11,$47,,,,Colston Loveland - CHI,10,$14,,,,Ka'imi Fairbairn - HOU,8,$1,,,,Pittsburgh Steelers,9,$1,,,,,,,,,,
Ja'Marr Chase (WR - CIN),6,$50,,,,Jayden Daniels - WAS,7,$9,,,,Jonathan Taylor - IND,13,$39,,,,Amon-Ra St. Brown - DET,6,$44,,,,Tyler Warren - IND,13,$10,,,,Cameron Dicker - LAC,7,$1,,,,Minnesota Vikings,6,$1,,,,,,,,,,
Jaxon Smith-Njigba (WR - SEA),11,$47,,,,Jalen Hurts - PHI,10,$8,,,,De'Von Achane - MIA,6,$35,,,,Drake London - ATL,11,$35,,,,Kyle Pitts Sr. - ATL,11,$9,,,,Harrison Mevis - LAR,11,$1,,,,Seattle Seahawks,11,$1,,,,,,,,,,
Christian McCaffrey (RB - SF),8,$44,,,,Jaxson Dart - NYG,8,$4,,,,Derrick Henry - BAL,13,$32,,,,CeeDee Lamb - DAL,14,$30,,,,Harold Fannin Jr. - CLE,11,$7,,,,Jake Bates - DET,6,$1,,,,Detroit Lions,6,$1,,,,,,,,,,
Amon-Ra St. Brown (WR - DET),6,$44,,,,Joe Burrow - CIN,6,$4,,,,James Cook III - BUF,7,$29,,,,Rashee Rice - KC,5,$29,,,,Sam LaPorta - DET,6,$5,,,,Chase McLaughlin - TB,10,$1,,,,Buffalo Bills,7,$1,,,,,,,,,,
Jonathan Taylor (RB - IND),13,$39,,,,Brock Purdy - SF,8,$2,,,,Ashton Jeanty - LV,13,$27,,,,Justin Jefferson - MIN,6,$28,,,,Dallas Goedert - PHI,10,$5,,,,Cairo Santos - CHI,10,$1,,,,Los Angeles Rams,11,$1,,,,,,,,,,
De'Von Achane (RB - MIA),6,$35,,,,Dak Prescott - DAL,14,$2,,,,Chase Brown - CIN,6,$26,,,,A.J. Brown - NE,11,$25,,,,Travis Kelce - KC,5,$5,,,,Eddy Pineiro - SF,8,$0,,,,Los Angeles Chargers,7,$0,,,,,,,,,,
Drake London (WR - ATL),11,$35,,,,Trevor Lawrence - JAC,7,$2,,,,Saquon Barkley - PHI,10,$26,,,,George Pickens - DAL,14,$24,,,,Tucker Kraft - GB,11,$3,,,,Tyler Loop - BAL,13,$0,,,,Atlanta Falcons,11,$0,,,,,,,,,,
Derrick Henry (RB - BAL),13,$32,,,,Patrick Mahomes II - KC,5,$2,,,,Josh Jacobs - GB,11,$24,,,,Chris Olave - NO,8,$24,,,,George Kittle - SF,8,$2,,,,Harrison Butker - KC,5,$0,,,,Philadelphia Eagles,10,$0,,,,,,,,,,
CeeDee Lamb (WR - DAL),14,$30,,,,Justin Herbert - LAC,7,$1,,,,Omarion Hampton - LAC,7,$24,,,,Nico Collins - HOU,8,$23,,,,Mark Andrews - BAL,13,$1,,,,Will Reichard - MIN,6,$0,,,,Chicago Bears,10,$0,,,,,,,,,,
James Cook III (RB - BUF),7,$29,,,,Caleb Williams - CHI,10,$0,,,,Breece Hall - NYJ,13,$21,,,,Zay Flowers - BAL,13,$21,,,,Isaiah Likely - NYG,8,$1,,,,Cam Little - JAC,7,$0,,,,Baltimore Ravens,13,$0,,,,,,,,,,
