"","Rank","Player","Overall Tier","Pos. Tier","Pos","Team","Bye","ADP","Floor","Consensus","DS Proj","Ceiling","3D Proj","3d Value","Market $","Auction $"
"","1","Jahmyr Gibbs","1.0","1.0","RB","DET","6","1.01","266.8","312.0","321.4","376.0","326.4","100.0","$63","$59"
"","2","Puka Nacua","1.0","1.0","WR","LAR","11","1.03","244.9","259.0","298.6","328.5","297.0","99.8","$58","$59"
"","3","Bijan Robinson","1.0","1.0","RB","ATL","11","1.02","268.7","315.0","316.1","369.8","322.1","97.2","$64","$57"
"","4","Ja'Marr Chase","1.0","1.0","WR","CIN","6","1.04","248.2","266.0","282.0","332.8","289.7","94.8","$56","$56"
"","5","Christian McCaffrey","1.0","1.0","RB","SF","8","1.05","247.3","286.0","297.9","372.4","309.0","88.8","$51","$52"
"","6","Jaxon Smith-Njigba","1.0","1.0","WR","SEA","11","1.06","243.4","248.0","267.5","318.3","277.0","85.9","$51","$51"
"","7","Amon-Ra St. Brown","2.0","2.0","WR","DET","6","1.07","239.2","243.0","265.8","295.0","268.9","80.3","$44","$47"
"","8","Jonathan Taylor","2.0","2.0","RB","IND","13","1.08","247.2","286.0","287.4","339.1","294.2","79.3","$62","$47"
"","9","CeeDee Lamb","2.0","2.0","WR","DAL","14","1.09","223.4","219.0","253.9","304.7","262.2","75.6","$45","$45"
"","10","James Cook","2.0","2.0","RB","BUF","7","1.12","239.3","253.0","275.0","335.5","285.0","73.4","$55","$43"
"","11","Justin Jefferson","2.0","2.0","WR","MIN","6","1.11","210.5","220.0","244.8","318.2","258.6","73.1","$38","$43"
"","12","Ashton Jeanty","2.0","2.0","RB","LVR","13","2.01","237.8","243.0","267.2","342.0","282.3","71.6","$43","$42"
"","13","Saquon Barkley","2.0","2.0","RB","PHI","10","2.02","230.2","238.0","253.0","349.1","275.1","67.0","$47","$40"
"","14","Derrick Henry","3.0","3.0","RB","BAL","13","2.04","219.4","252.0","258.1","327.8","270.1","63.8","$58","$38"
"","15","Nico Collins","3.0","3.0","WR","HOU","8","2.09","211.5","201.0","235.0","284.4","244.2","63.0","$35","$37"
"","16","A.J. Brown","3.0","3.0","WR","NE","11","3.02","199.1","215.0","234.2","290.4","243.2","62.3","$35","$37"
"","17","Drake London","3.0","3.0","WR","ATL","11","2.05","214.3","224.0","232.9","279.5","242.2","61.6","$36","$36"
"Injured","18","De'Von Achane","3.0","3.0","RB","MIA","6","1.10","227.3","257.0","249.8","319.7","264.8","60.4","$41","$36"
"","19","Rashee Rice","3.0","3.0","WR","KC","5","2.11","173.7","191.0","241.3","277.5","238.9","59.3","$28","$35"
"","20","Kenneth Walker III","3.0","3.0","RB","KC","5","3.04","216.0","225.0","242.7","332.5","262.3","58.7","$35","$35"
"","21","Josh Allen","3.0","1.0","QB","BUF","7","2.10","306.7","362.0","378.7","439.3","382.1","58.5","$43","$35"
"","22","Omarion Hampton","3.0","3.0","RB","LAC","7","2.06","209.8","234.0","241.1","337.5","261.7","58.4","$38","$34"
"","23","George Pickens","3.0","3.0","WR","DAL","14","3.03","202.1","207.0","224.5","280.6","235.7","57.1","$35","$34"
"","24","Chase Brown","3.0","3.0","RB","CIN","6","3.01","203.3","236.0","242.0","317.0","255.4","54.3","$35","$32"
