QB,,,,,RB,,,,,WR,,,,,TE,,,,
#,Player,TM,$,BYE,#,Player,TM,$,BYE,#,Player,TM,$,BYE,#,Player,TM,$,BYE
1,Josh Allen,BUF,$29,7,1,Jahmyr Gibbs,DET,$58,6,1,Ja'Marr Chase,CIN,$65,6,1,Trey McBride,ARI,$25,14
2,Lamar Jackson,BAL,$17,13,2,Bijan Robinson,ATL,$55,11,2,Puka Nacua,LAR,$63,11,2,Brock Bowers,LV,$20,13
3,Drake Maye,NE,$7,11,3,Jonathan Taylor,IND,$54,13,3,Jaxon Smith-Njigba,SEA,$61,11,3,Colston Loveland,CHI,$18,10
4,Jayden Daniels,WAS,$6,7,4,Christian McCaffrey,SF,$50,8,4,Amon-Ra St. Brown,DET,$49,6,4,Tucker Kraft,GB,$16,11
5,Jalen Hurts,PHI,$5,10,5,De'Von Achane,MIA,$49,6,5,Drake London,ATL,$42,11,5,Tyler Warren,IND,$12,13
6,Joe Burrow,CIN,$5,6,6,Ashton Jeanty,LV,$28,13,6,A.J. Brown,NE,$32,11,6,Harold Fannin,CLE,$11,11
7,Justin Herbert,LAC,$2,7,7,James Cook,BUF,$24,7,7,Justin Jefferson,MIN,$32,6,7,Sam LaPorta,DET,$7,6
8,Trevor Lawrence,JAX,$1,7,8,Kyren Williams,LAR,$22,11,8,CeeDee Lamb,DAL,$27,14,8,George Kittle,SF,$6,8
9,Dak Prescott,DAL,$1,14,9,Saquon Barkley,PHI,$22,10,9,Nico Collins,HOU,$25,8,9,Kyle Pitts,ATL,$3,11
10,Caleb Williams,CHI,$1,10,10,Chase Brown,CIN,$21,6,10,George Pickens,DAL,$25,14,10,Travis Kelce,KC,$1,5
11,Brock Purdy,SF,$1,8,11,Omarion Hampton,LAC,$21,7,11,Chris Olave,NO,$23,8,11,Mark Andrews,BAL,$1,13
12,Jaxson Dart,NYG,$1,8,12,Derrick Henry,BAL,$19,13,12,DeVonta Smith,PHI,$23,10,12,Dallas Goedert,PHI,$1,10
13,Patrick Mahomes,KC,$1,5,13,Kenneth Walker,KC,$19,5,13,Tee Higgins,CIN,$22,6,13,Jake Ferguson,DAL,$1,14
14,Bo Nix,DEN,$1,10,14,Jeremiyah Love,ARI,$17,14,14,Tetairoa McMillan,CAR,$22,5,14,Dalton Kincaid,BUF,$1,7
15,Jared Goff,DET,$1,6,15,Cam Skattebo,NYG,$14,8,15,Garrett Wilson,NYJ,$22,13,15,Hunter Henry,NE,$1,11
16,Matthew Stafford,LAR,$1,11,16,Josh Jacobs,GB,$14,11,16,Jaylen Waddle,DEN,$21,10,16,Oronde Gadsden,LAC,$1,7
17,Kyler Murray,MIN,$1,6,17,Quinshon Judkins,CLE,$13,11,17,Ladd McConkey,LAC,$21,7,17,Isaiah Likely,NYG,$1,8
18,Jordan Love,GB,$1,11,18,Travis Etienne,NO,$9,8,18,Zay Flowers,BAL,$21,13,18,Juwan Johnson,NO,$1,8
19,Malik Willis,MIA,$1,6,19,Breece Hall,NYJ,$9,13,19,Rashee Rice,KC,$21,5,19,Chigoziem Okonkwo,WAS,$1,7
20,Baker Mayfield,TB,$1,10,20,Javonte Williams,DAL,$8,14,20,Davante Adams,LAR,$18,11,20,Brenton Strange,JAX,$1,7
21,Tyler Shough,NO,$1,8,21,D'Andre Swift,CHI,$7,10,21,Christian Watson,GB,$17,11,21,Kenyon Sadiq,NYJ,$1,13
22,C.J. Stroud,HOU,$1,8,22,David Montgomery,HOU,$5,8,22,Terry McLaurin,WAS,$17,7,22,Dalton Schultz,HOU,$1,8
23,Sam Darnold,SEA,$1,11,23,TreVeyon Henderson,NE,$4,11,23,Jameson Williams,DET,$13,6,23,AJ Barner,SEA,$1,11
24,Bryce Young,CAR,$1,5,24,Bucky Irving,TB,$4,10,24,Luther Burden,CHI,$13,10,24,T.J. Hockenson,MIN,$1,6
25,Aaron Rodgers,PIT,$1,9,25,Bhayshul Tuten,JAX,$4,7,25,Emeka Egbuka,TB,$9,10,25,Cade Otton,TB,$1,10
26,Jacoby Brissett,ARI,$1,14,26,Jaylen Warren,PIT,$4,9,26,Mike Evans,SF,$6,8,26,Greg Dulcich,MIA,$1,6
27,Daniel Jones,IND,$1,13,27,Rhamondre Stevenson,NE,$3,11,27,DK Metcalf,PIT,$5,9,27,Pat Freiermuth,PIT,$1,9
28,Cam Ward,TEN,$1,9,28,Rico Dowdle,PIT,$3,9,28,Brian Thomas Jr.,JAX,$5,7,28,David Njoku,LAC,$1,7
29,Geno Smith,NYJ,$1,13,29,Jadarian Price,SEA,$3,11,29,Rome Odunze,CHI,$5,10,29,Gunnar Helm,TEN,$1,9
 , , , , ,30,Tony Pollard,TEN,$1,9,30,D.J. Moore,BUF,$4,7,30,Darnell Washington,PIT,$1,9
 , , , , ,31,Kenneth Gainwell,TB,$1,10,31,Chris Godwin,TB,$3,10,31,Mason Taylor,NYJ,$1,13
 , , , , ,32,J.K. Dobbins,DEN,$1,10,32,Carnell Tate,TEN,$2,9,32,Colby Parkinson,LAR,$1,11
 , , , , ,33,Chuba Hubbard,CAR,$1,5,33,Parker Washington,JAX,$2,7,33,Mike Gesicki,CIN,$1,6
 , , , , ,34,Jonathon Brooks,CAR,$1,5,34,Michael Wilson,ARI,$2,14,34,Jake Tonges,SF,$1,8
 , , , , ,35,Kyle Monangai,CHI,$1,10,35,Jayden Reed,GB,$2,11,35,Terrance Ferguson,LAR,$1,11
