QB,,,,,RB,,,,,WR,,,,,TE,,,,
#,Player,TM,$,BYE,#,Player,TM,$,BYE,#,Player,TM,$,BYE,#,Player,TM,$,BYE
1,Josh Allen,BUF,$25,7,1,Jonathan Taylor,IND,$60,13,1,Ja'Marr Chase,CIN,$48,6,1,Trey McBride,ARI,$17,14
2,Lamar Jackson,BAL,$17,13,2,Jahmyr Gibbs,DET,$57,6,2,Jaxon Smith-Njigba,SEA,$48,11,2,Tucker Kraft,GB,$16,11
3,Drake Maye,NE,$10,11,3,Bijan Robinson,ATL,$55,11,3,Puka Nacua,LAR,$46,11,3,Brock Bowers,LV,$15,13
4,Jayden Daniels,WAS,$9,7,4,De'Von Achane,MIA,$52,6,4,Amon-Ra St. Brown,DET,$38,6,4,Colston Loveland,CHI,$15,10
5,Jalen Hurts,PHI,$9,10,5,Christian McCaffrey,SF,$51,8,5,Drake London,ATL,$37,11,5,Harold Fannin,CLE,$12,11
6,Joe Burrow,CIN,$9,6,6,Ashton Jeanty,LV,$42,13,6,A.J. Brown,NE,$31,11,6,Tyler Warren,IND,$9,13
7,Justin Herbert,LAC,$7,7,7,James Cook,BUF,$41,7,7,Justin Jefferson,MIN,$30,6,7,George Kittle,SF,$9,8
8,Trevor Lawrence,JAX,$6,7,8,Derrick Henry,BAL,$40,13,8,Nico Collins,HOU,$29,8,8,Sam LaPorta,DET,$8,6
9,Dak Prescott,DAL,$6,14,9,Kyren Williams,LAR,$39,11,9,CeeDee Lamb,DAL,$28,14,9,Mark Andrews,BAL,$7,13
10,Caleb Williams,CHI,$5,10,10,Saquon Barkley,PHI,$39,10,10,George Pickens,DAL,$27,14,10,Dalton Kincaid,BUF,$7,7
11,Brock Purdy,SF,$5,8,11,Kenneth Walker,KC,$36,5,11,Tee Higgins,CIN,$27,6,11,Kyle Pitts,ATL,$5,11
12,Jaxson Dart,NYG,$5,8,12,Quinshon Judkins,CLE,$35,11,12,Tetairoa McMillan,CAR,$26,5,12,Travis Kelce,KC,$5,5
13,Patrick Mahomes,KC,$4,5,13,Omarion Hampton,LAC,$34,7,13,Christian Watson,GB,$26,11,13,Dallas Goedert,PHI,$5,10
14,Bo Nix,DEN,$3,10,14,Josh Jacobs,GB,$33,11,14,Chris Olave,NO,$26,8,14,Jake Ferguson,DAL,$3,14
15,Jared Goff,DET,$1,6,15,Chase Brown,CIN,$33,6,15,Zay Flowers,BAL,$26,13,15,Hunter Henry,NE,$3,11
16,Kyler Murray,MIN,$1,6,16,Cam Skattebo,NYG,$32,8,16,DeVonta Smith,PHI,$25,10,16,Oronde Gadsden,LAC,$3,7
17,Matthew Stafford,LAR,$1,11,17,Jeremiyah Love,ARI,$31,14,17,Ladd McConkey,LAC,$25,7,17,Isaiah Likely,NYG,$1,8
18,Baker Mayfield,TB,$1,10,18,Travis Etienne,NO,$30,8,18,Davante Adams,LAR,$25,11,18,Juwan Johnson,NO,$1,8
19,Malik Willis,MIA,$1,6,19,Javonte Williams,DAL,$30,14,19,Terry McLaurin,WAS,$25,7,19,Brenton Strange,JAX,$1,7
