"","Rank","Player","Overall Tier","Pos. Tier","Pos","Team","Bye","ADP","Floor","Consensus","DS Proj","Ceiling","3D Proj","3d Value","Market $","Auction $"
"","1","Jahmyr Gibbs","1.0","1.0","RB","DET","6","1.01","266.8","312.0","321.4","376.0","326.4","100.0","$68","$63"
"","2","Bijan Robinson","1.0","1.0","RB","ATL","11","1.02","268.7","315.0","316.1","369.8","322.1","97.6","$70","$61"
"","3","Puka Nacua","1.0","1.0","WR","LAR","11","1.03","244.9","259.0","298.6","328.5","297.0","96.6","$61","$61"
"","4","Ja'Marr Chase","1.0","1.0","WR","CIN","6","1.04","248.2","266.0","282.0","332.8","289.7","92.2","$59","$58"
"","5","Christian McCaffrey","1.0","1.0","RB","SF","8","1.05","247.3","286.0","297.9","372.4","309.0","90.5","$57","$57"
"","6","Jaxon Smith-Njigba","1.0","1.0","WR","SEA","11","1.06","243.4","248.0","267.5","318.3","277.0","84.7","$54","$53"
"","7","Jonathan Taylor","2.0","2.0","RB","IND","13","1.08","247.2","286.0","287.4","339.1","294.2","82.3","$69","$52"
"","8","Amon-Ra St. Brown","2.0","2.0","WR","DET","6","1.07","239.2","243.0","265.8","295.0","268.9","79.9","$48","$50"
"","9","James Cook","2.0","2.0","RB","BUF","7","1.12","239.3","253.0","275.0","335.5","285.0","77.3","$63","$49"
"","10","CeeDee Lamb","2.0","2.0","WR","DAL","14","1.09","223.4","219.0","253.9","304.7","262.2","75.9","$49","$48"
"","11","Ashton Jeanty","2.0","2.0","RB","LVR","13","1.13","237.8","243.0","267.2","342.0","282.3","75.8","$50","$48"
"","12","Justin Jefferson","2.0","2.0","WR","MIN","6","1.11","210.5","220.0","244.8","318.2","258.6","73.7","$42","$46"
"","13","Saquon Barkley","2.0","2.0","RB","PHI","10","1.14","230.2","238.0","253.0","349.1","275.1","71.9","$54","$45"
"","14","Derrick Henry","3.0","3.0","RB","BAL","13","1.16","219.4","252.0","258.1","327.8","270.1","69.1","$67","$44"
"Injured","15","De'Von Achane","3.0","3.0","RB","MIA","6","1.10","227.3","257.0","249.8","319.7","264.8","66.2","$48","$42"
"","16","Nico Collins","3.0","3.0","WR","HOU","8","2.05","211.5","201.0","235.0","284.4","244.2","65.2","$40","$41"
"","17","Kenneth Walker III","3.0","3.0","RB","KC","5","2.12","216.0","225.0","242.7","332.5","262.3","64.8","$41","$41"
"","18","A.J. Brown","3.0","3.0","WR","NE","11","2.10","199.1","215.0","234.2","290.4","243.2","64.6","$39","$41"
"","19","Omarion Hampton","3.0","3.0","RB","LAC","7","2.02","209.8","234.0","241.1","337.5","261.7","64.5","$46","$41"
"","20","Drake London","3.0","3.0","WR","ATL","11","2.01","214.3","224.0","232.9","279.5","242.2","64.0","$41","$40"
"","21","Rashee Rice","3.0","3.0","WR","KC","5","2.07","173.7","191.0","241.3","277.5","238.9","62.0","$32","$39"
"","22","Chase Brown","3.0","3.0","RB","CIN","6","2.09","203.3","236.0","242.0","317.0","255.4","61.0","$43","$38"
"","23","George Pickens","3.0","3.0","WR","DAL","14","2.11","202.1","207.0","224.5","280.6","235.7","60.1","$39","$38"
"","24","Jeremiyah Love","3.0","3.0","RB","ARI","14","1.15","204.7","222.0","230.0","326.6","251.8","59.1","$47","$37"
"","25","Josh Allen","3.0","1.0","QB","BUF","7","2.06","306.7","362.0","378.7","439.3","382.1","55.3","$43","$35"
"Value","26","Josh Jacobs","4.0","4.0","RB","GB","11","2.08","173.2","232.0","240.6","291.1","242.1","53.7","$40","$34"
"","27","Breece Hall","4.0","4.0","RB","NYJ","13","2.15","197.1","220.0","226.5","292.2","239.1","52.1","$37","$33"
"","28","Javonte Williams","4.0","4.0","RB","DAL","14","3.02","197.1","213.0","229.2","286.5","239.0","52.0","$36","$33"
