QB,,,,,RB,,,,,WR,,,,,TE,,,,
#,Player,TM,$,BYE,#,Player,TM,$,BYE,#,Player,TM,$,BYE,#,Player,TM,$,BYE
 , , , , ,48,Brashard Smith,KC,$7,5,48,Alec Pierce,IND,$11,13, , , , , 
 , , , , ,49,Jacory Croskey-Merritt,WAS,$6,7,49,Xavier Worthy,KC,$11,5, , , , , 
 , , , , ,50,Samaje Perine,CIN,$6,6,50,Ricky Pearsall,SF,$11,8, , , , , 
 , , , , ,51,Braelon Allen,NYJ,$6,13,51,Jayden Higgins,HOU,$10,8, , , , , 
 , , , , ,52,Tyrone Tracy,NYG,$6,8,52,Matthew Golden,GB,$10,11, , , , , 
 , , , , ,53,Tyler Allgeier,ARI,$4,14,53,Rashid Shaheed,SEA,$10,11, , , , , 
 , , , , ,54,Alvin Kamara,NO,$4,8,54,KC Concepcion,CLE,$8,11, , , , , 
 , , , , ,55,Emanuel Wilson,SEA,$4,11,55,Adonai Mitchell,NYJ,$7,13, , , , , 
 , , , , ,56,Sean Tucker,TB,$3,10,56,Jalen Coker,CAR,$6,5, , , , , 
 , , , , ,57,Dylan Sampson,CLE,$2,11,57,Ryan Flournoy,DAL,$6,14, , , , , 
 , , , , ,58,Ray Davis,BUF,$2,7,58,Tre Tucker,LV,$6,13, , , , , 
 , , , , ,59,Kimani Vidal,LAC,$2,7,59,Jauan Jennings,MIN,$5,6, , , , , 
 , , , , ,60,Kaelon Black,SF,$1,8,60,Antonio Williams,WAS,$5,7, , , , , 
 , , , , ,61,Jonah Coleman,DEN,$1,10,61,Tyquan Thornton,KC,$5,5, , , , , 
 , , , , ,62,DJ Giddens,IND,$1,13,62,Jaylin Noel,HOU,$5,8, , , , , 
 , , , , ,63,Isaiah Davis,NYJ,$1,13,63,Isaac TeSlaa,DET,$4,6, , , , , 
 , , , , ,64,Zach Charbonnet,SEA,$1,11,64,Troy Franklin,DEN,$3,10, , , , , 
 , , , , ,65,Tank Bigsby,PHI,$1,10,65,Germie Bernard,PIT,$3,9, , , , , 
 , , , , ,66,Rasheen Ali,BAL,$1,13,66,Omar Cooper Jr.,NYJ,$2,13, , , , , 
 , , , , ,67,Mike Washington Jr.,LV,$1,13,67,Rashod Bateman,BAL,$2,13, , , , , 
 , , , , ,68,Jaylen Wright,MIA,$1,6,68,Denzel Boston,CLE,$2,11, , , , , 
 , , , , , , , , , ,69,Andrei Iosivas,CIN,$2,6, , , , , 
 , , , , , , , , , ,70,Jalen McMillan,TB,$2,10, , , , , 
 , , , , , , , , , ,71,Darius Slayton,NYG,$1,8, , , , , 
 , , , , , , , , , ,72,Chris Bell,MIA,$1,6, , , , , 
 , , , , , , , , , ,73,Travis Hunter,JAX,$1,7, , , , , 
 , , , , , , , , , ,74,Jalen Nailor,LV,$1,13, , , , , 
 , , , , , , , , , ,75,Jack Bech,LV,$1,13, , , , , 
 , , , , , , , , , ,76,Malik Washington,MIA,$1,6, , , , , 
 , , , , , , , , , ,77,Caleb Douglas,MIA,$1,6, , , , , 
 , , , , , , , , , ,78,Xavier Legette,CAR,$1,5, , , , , 
 , , , , , , , , , ,79,Makai Lemon,PHI,$1,10, , , , , 
 , , , , , , , , , ,80,Cooper Kupp,SEA,$1,11, , , , , 
 , , , , , , , , , ,81,Ashton Dulin,IND,$1,13, , , , , 
 , , , , , , , , , ,82,KaVontae Turpin,DAL,$1,14, , , , , 
