QB,,,,,RB,,,,,WR,,,,,TE,,,,
#,Player,TM,$,BYE,#,Player,TM,$,BYE,#,Player,TM,$,BYE,#,Player,TM,$,BYE
 , , , , ,45,Jacory Croskey-Merritt,WAS,$1,7,45,Romeo Doubs,NE,$2,11, , , , , 
 , , , , ,46,Woody Marks,HOU,$1,8,46,Wan'Dale Robinson,TEN,$1,9, , , , , 
 , , , , ,47,Braelon Allen,NYJ,$1,13,47,Ricky Pearsall,SF,$1,8, , , , , 
 , , , , ,48,Justice Hill,BAL,$1,13,48,Jordan Addison,MIN,$1,6, , , , , 
 , , , , ,49,Ty Johnson,BUF,$1,7,49,Xavier Worthy,KC,$1,5, , , , , 
 , , , , ,50,Tyrone Tracy,NYG,$1,8,50,Rashid Shaheed,SEA,$1,11, , , , , 
 , , , , ,51,Samaje Perine,CIN,$1,6,51,Khalil Shakir,BUF,$1,7, , , , , 
 , , , , ,52,Tyler Allgeier,ARI,$1,14,52,Jayden Higgins,HOU,$1,8, , , , , 
 , , , , ,53,Emanuel Wilson,SEA,$1,11,53,Matthew Golden,GB,$1,11, , , , , 
 , , , , ,54,Brashard Smith,KC,$1,5,54,KC Concepcion,CLE,$1,11, , , , , 
 , , , , ,55,Sean Tucker,TB,$1,10,55,Adonai Mitchell,NYJ,$1,13, , , , , 
 , , , , ,56,Alvin Kamara,NO,$1,8,56,Tre Tucker,LV,$1,13, , , , , 
 , , , , ,57,Ray Davis,BUF,$1,7,57,Ryan Flournoy,DAL,$1,14, , , , , 
 , , , , , , , , , ,58,Tyquan Thornton,KC,$1,5, , , , , 
 , , , , , , , , , ,59,Jalen Coker,CAR,$1,5, , , , , 
 , , , , , , , , , ,60,Isaac TeSlaa,DET,$1,6, , , , , 
 , , , , , , , , , ,61,Antonio Williams,WAS,$1,7, , , , , 
 , , , , , , , , , ,62,Jauan Jennings,MIN,$1,6, , , , , 
 , , , , , , , , , ,63,Jaylin Noel,HOU,$1,8, , , , , 
 , , , , , , , , , ,64,Troy Franklin,DEN,$1,10, , , , , 
 , , , , , , , , , ,65,Rashod Bateman,BAL,$1,13, , , , , 
 , , , , , , , , , ,66,Jalen McMillan,TB,$1,10, , , , , 
 , , , , , , , , , ,67,Chris Bell,MIA,$1,6, , , , , 
 , , , , , , , , , ,68,Denzel Boston,CLE,$1,11, , , , , 
