Salary Cap Values #13
Overall,Bye Week,VALUES,Tags,Expert Notes,,QB,Bye Week,VALUES,Tags,Expert Notes,,RB,Bye Week,VALUES,Tags,Expert Notes,,WR,Bye Week,VALUES,Tags,Expert Notes,,TE,Bye Week,VALUES,Tags,Expert Notes,,DB,Bye Week,VALUES,Tags,Expert Notes,,
Isaiah Likely (TE - NYG),8,$6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Andrews (TE - BAL),13,$6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Herbert (QB - LAC),7,$5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caleb Williams (QB - CHI),10,$5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bo Nix (QB - DEN),10,$5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emari Demercado (RB - KC),5,$5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tank Dell (WR - HOU),8,$5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omar Cooper Jr. (WR - NYJ),13,$5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germie Bernard (WR - PIT),9,$5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalton Kincaid (TE - BUF),7,$5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew Stafford (QB - LAR),11,$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Washington Jr. (RB - LV),13,$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaelon Black (RB - SF),8,$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keaton Mitchell (RB - LAC),7,$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adonai Mitchell (WR - NYJ),13,$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Hunter (WR - JAC),7,$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juwan Johnson (TE - NO),8,$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter Henry (TE - NE),11,$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brenton Strange (TE - JAC),7,$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jared Goff (QB - DET),6,$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Shough (QB - NO),8,$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tank Bigsby (RB - PHI),10,$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Brooks (RB - GB),11,$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Randall (RB - BAL),13,$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Davis (RB - DAL),14,$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Conner (RB - ARI),14,$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kimani Vidal (RB - LAC),7,$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darnell Mooney (WR - NYG),8,$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Washington (WR - MIA),6,$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bub Means (WR - NO),8,$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Kirk (WR - SF),8,$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darius Slayton (WR - NYG),8,$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylin Noel (WR - HOU),8,$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kayshon Boutte (WR - NE),11,$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalton Schultz (TE - HOU),8,$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baker Mayfield (QB - TB),10,$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyler Murray (QB - MIN),6,$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Juszczyk (RB - SF),8,$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emanuel Wilson (RB - SEA),11,$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Wright (RB - MIA),6,$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawhar Jordan (RB - HOU),8,$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaydon Blue (RB - DAL),14,$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troy Franklin (WR - DEN),10,$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ja'Kobi Lane (WR - BAL),13,$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Westbrook-Ikhine (WR - IND),13,$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tory Horton (WR - SEA),11,$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devaughn Vele (WR - NO),8,$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyquan Thornton (WR - KC),5,$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Bech (WR - LV),13,$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.J. Hockenson (TE - MIN),6,$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pat Freiermuth (TE - PIT),9,$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greg Dulcich (TE - MIA),6,$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Willis (QB - MIA),6,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeQuint Allen Jr. (RB - JAC),7,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MarShawn Lloyd (RB - GB),11,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Holani (RB - SEA),11,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kendre Miller (RB - NO),8,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ty Chandler (RB - NO),8,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Davis (RB - NYJ),13,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connor Heyward (TE - LV),13,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJ Giddens (RB - IND),13,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De'Zhaun Stribling (WR - SF),8,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hollywood Brown (WR - PHI),10,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Flournoy (WR - DAL),14,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Tolbert (WR - MIA),6,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tre' Harris (WR - LAC),7,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrei Iosivas (WR - CIN),6,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Bell (WR - MIA),6,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caleb Douglas (WR - MIA),6,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaac TeSlaa (WR - DET),6,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dyami Brown (WR - WAS),7,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jahan Dotson (WR - ATL),11,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenyon Sadiq (TE - NYJ),13,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cade Otton (TE - TB),10,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
