"","Rank","Player","Overall Tier","Pos. Tier","Pos","Team","Bye","ADP","Floor","Consensus","DS Proj","Ceiling","3D Proj","3d Value","Market $","Auction $"
"","1","Jahmyr Gibbs","1.0","1.0","RB","DET","6","1.01","236.6","277.0","285.0","333.5","289.4","100.0","$55","$51"
"","2","Puka Nacua","1.0","1.0","WR","LAR","11","1.03","191.0","201.0","232.9","256.2","231.6","99.3","$50","$51"
"","3","Bijan Robinson","1.0","1.0","RB","ATL","11","1.02","238.4","278.0","280.5","328.2","285.9","96.6","$55","$49"
"","4","Ja'Marr Chase","1.0","1.0","WR","CIN","6","1.04","192.5","208.0","218.8","258.2","224.8","92.2","$47","$47"
"","5","Jaxon Smith-Njigba","1.0","1.0","WR","SEA","11","1.06","194.5","195.0","213.7","254.3","221.3","88.5","$45","$45"
"","6","Jonathan Taylor","1.0","1.0","RB","IND","13","1.08","227.6","265.0","264.6","312.2","270.9","82.1","$55","$42"
"","7","Christian McCaffrey","2.0","2.0","RB","SF","8","1.05","214.9","248.0","258.9","323.6","268.6","79.9","$40","$41"
"","8","James Cook","2.0","2.0","RB","BUF","7","2.04","222.4","236.0","255.6","311.8","264.9","76.3","$50","$39"
"","9","Amon-Ra St. Brown","2.0","2.0","WR","DET","6","1.07","186.2","186.0","206.9","229.7","209.4","76.1","$37","$39"
"","10","CeeDee Lamb","2.0","2.0","WR","DAL","14","2.01","176.1","170.0","200.1","240.1","206.7","73.2","$37","$37"
"","11","Derrick Henry","2.0","2.0","RB","BAL","13","2.08","210.9","243.0","248.1","315.1","259.6","71.2","$55","$36"
"","12","Justin Jefferson","2.0","2.0","WR","MIN","6","2.03","165.9","170.0","192.9","250.8","203.8","70.2","$32","$36"
"","13","Josh Allen","2.0","1.0","QB","BUF","7","3.06","306.7","362.0","378.7","439.3","382.1","67.1","$42","$34"
"","14","Saquon Barkley","2.0","2.0","RB","PHI","10","2.06","211.8","218.0","232.8","321.3","253.1","64.9","$39","$33"
"","15","Nico Collins","2.0","2.0","WR","HOU","8","3.05","170.0","160.0","188.9","228.6","196.3","62.3","$30","$32"
"","16","Ashton Jeanty","3.0","3.0","RB","LVR","13","2.05","209.8","214.0","235.7","301.7","249.0","61.0","$32","$31"
"","17","A.J. Brown","3.0","3.0","WR","NE","11","4.02","157.7","172.0","185.5","230.0","192.6","58.5","$29","$30"
"","18","George Pickens","3.0","3.0","WR","DAL","14","4.03","162.8","166.0","180.9","226.1","189.9","55.6","$29","$28"
"","19","Drake London","3.0","3.0","WR","ATL","11","3.01","167.9","178.0","182.5","219.0","189.8","55.5","$28","$28"
"","20","Brock Bowers","3.0","1.0","TE","LVR","13","3.04","148.6","144.0","159.8","193.4","166.9","52.7","$24","$27"
"","21","Rashee Rice","3.0","3.0","WR","KC","5","3.07","134.1","145.0","186.2","214.1","184.3","49.8","$20","$25"
"","22","Kenneth Walker III","3.0","3.0","RB","KC","5","4.04","194.6","202.0","218.6","299.5","236.3","48.7","$25","$25"
"","23","Omarion Hampton","3.0","3.0","RB","LAC","7","3.02","189.2","208.0","217.5","304.5","236.1","48.5","$28","$25"
"","24","Colston Loveland","3.0","1.0","TE","CHI","10","5.07","129.2","143.0","157.5","185.9","160.1","48.0","$21","$24"
"","25","Trey McBride","3.0","1.0","TE","ARI","14","3.03","140.9","149.0","151.5","181.8","157.8","46.5","$21","$24"
"Injured","26","De'Von Achane","3.0","3.0","RB","MIA","6","2.02","199.7","224.0","219.4","280.8","232.6","45.1","$26","$23"
"","27","Tee Higgins","4.0","4.0","WR","CIN","6","6.06","151.0","159.0","169.7","210.4","177.4","42.5","$19","$22"
"","28","Tyler Warren","4.0","2.0","TE","IND","13","6.03","120.9","121.0","145.7","169.0","147.6","39.5","$17","$20"
"Value","29","Christian Watson","4.0","4.0","WR","GB","11","11.04","141.1","130.0","166.0","210.8","173.7","38.7","$16","$20"
"","30","Jeremiyah Love","4.0","4.0","RB","ARI","14","2.07","182.1","193.0","204.6","290.5","223.9","37.6","$24","$19"
"","31","Chase Brown","4.0","4.0","RB","CIN","6","4.01","177.7","203.0","211.5","277.1","223.3","37.4","$21","$19"
"","32","Lamar Jackson","4.0","1.0","QB","BAL","13","4.08","298.7","329.0","339.4","437.8","358.8","36.8","$19","$19"
"Injured","33","Tucker Kraft","4.0","2.0","TE","GB","11","13.04","114.9","123.0","138.4","175.8","144.3","36.7","$17","$19"
"Value","34","Josh Jacobs","4.0","4.0","RB","GB","11","3.08","158.5","213.0","220.1","266.3","221.5","36.7","$22","$19"
"Value","35","Zay Flowers","4.0","4.0","WR","BAL","13","6.01","147.0","153.0","167.0","193.7","170.7","36.1","$17","$18"
"","36","Kyren Williams","4.0","4.0","RB","LAR","11","5.03","190.3","199.0","206.9","264.8","219.7","35.9","$21","$18"
"Injured","37","Chris Olave","4.0","4.0","WR","NO","8","4.06","142.6","156.0","165.8","197.3","170.2","35.7","$19","$18"
"","38","Javonte Williams","4.0","4.0","RB","DAL","14","5.02","180.4","195.0","209.8","262.3","218.8","35.6","$20","$18"
"","39","Drake Maye","4.0","1.0","QB","NE","11","6.04","296.0","317.0","340.2","428.7","356.3","35.2","$20","$18"
"","40","Joe Burrow","4.0","2.0","QB","CIN","6","7.02","293.8","315.0","341.6","423.6","355.3","34.5","$14","$18"
"Value","41","DeVonta Smith","4.0","4.0","WR","PHI","10","5.01","146.7","149.0","159.5","201.0","168.5","34.3","$14","$17"
"Value","42","Davante Adams","4.0","4.0","WR","LAR","11","6.02","138.9","146.0","159.7","201.2","167.2","33.2","$13","$17"
"","43","Travis Etienne","4.0","4.0","RB","NO","8","5.08","178.5","184.0","196.1","266.7","212.2","32.9","$18","$17"
"","44","Jalen Hurts","4.0","2.0","QB","PHI","10","7.05","292.8","320.0","332.7","432.5","352.7","32.9","$14","$17"
"Injured","45","Malik Nabers","4.0","4.0","WR","NYG","8","4.05","124.9","144.0","154.2","219.0","166.6","32.7","$14","$17"
"","46","Breece Hall","4.0","4.0","RB","NYJ","13","4.07","173.6","197.0","199.5","257.4","210.6","32.3","$18","$16"
"","47","Jayden Daniels","4.0","2.0","QB","WAS","7","6.07","285.9","314.0","332.4","432.1","351.1","31.8","$15","$16"
"","48","D'Andre Swift","5.0","5.0","RB","CHI","10","8.06","168.6","177.0","191.6","251.0","203.6","29.4","$14","$15"
"","49","Jameson Williams","5.0","5.0","WR","DET","6","8.05","136.8","138.0","152.0","200.6","162.5","29.3","$20","$15"
"Value","50","Terry McLaurin","5.0","5.0","WR","WAS","7","6.08","135.7","147.0","152.5","196.7","161.5","28.5","$15","$15"
"","51","Garrett Wilson","5.0","5.0","WR","NYJ","13","5.04","139.0","140.0","154.4","189.9","161.3","28.3","$14","$14"
"","52","Sam LaPorta","5.0","3.0","TE","DET","6","9.03","115.0","122.0","127.8","164.9","135.6","27.9","$13","$14"
"Injured","53","Cameron 'Cam' Skattebo","5.0","5.0","RB","NYG","8","5.06","158.3","185.0","188.4","248.7","199.4","27.8","$14","$14"
"Injured","54","Tetairoa McMillan","5.0","5.0","WR","CAR","5","5.05","135.7","150.0","150.8","196.0","160.4","27.6","$16","$14"
"Value","55","Jaylen Waddle","5.0","5.0","WR","DEN","10","7.08","131.8","135.0","151.5","195.4","159.9","27.2","$11","$14"
