"","Rank","Player","Overall Tier","Pos. Tier","Pos","Team","Bye","ADP","Floor","Consensus","DS Proj","Ceiling","3D Proj","3d Value","Market $","Auction $"
"","1","Puka Nacua","1.0","1.0","WR","LAR","11","1.03","298.7","316.0","364.3","400.7","362.3","100.0","$61","$62"
"","2","Ja'Marr Chase","1.0","1.0","WR","CIN","6","1.04","303.7","324.0","345.1","407.2","354.5","95.1","$59","$59"
"","3","Jahmyr Gibbs","1.0","1.0","RB","DET","6","1.01","296.9","346.0","357.7","418.5","363.2","92.4","$61","$57"
"","4","Bijan Robinson","1.0","1.0","RB","ATL","11","1.02","298.8","352.0","351.5","411.3","358.2","89.5","$62","$55"
"","5","Christian McCaffrey","1.0","1.0","RB","SF","8","1.05","279.6","325.0","336.9","421.1","349.5","84.5","$51","$52"
"","6","Jaxon Smith-Njigba","2.0","2.0","WR","SEA","11","1.06","292.4","300.0","321.3","382.3","332.7","81.4","$50","$50"
"","7","Amon-Ra St. Brown","2.0","2.0","WR","DET","6","1.07","292.2","300.0","324.7","360.4","328.5","78.7","$46","$49"
"","8","CeeDee Lamb","2.0","2.0","WR","DAL","14","1.09","270.7","267.0","307.6","369.1","317.7","71.9","$45","$45"
"","9","Justin Jefferson","2.0","2.0","WR","MIN","6","2.01","255.2","270.0","296.7","385.7","313.4","69.2","$38","$43"
"","10","Jonathan Taylor","2.0","2.0","RB","IND","13","1.08","266.7","308.0","310.1","365.9","317.4","65.8","$54","$41"
"","11","Ashton Jeanty","2.0","2.0","RB","LVR","13","2.03","265.8","272.0","298.6","382.2","315.4","64.6","$41","$40"
"","12","James Cook","2.0","2.0","RB","BUF","7","2.02","256.0","269.0","294.3","359.0","305.0","58.6","$46","$36"
"","13","Drake London","3.0","3.0","WR","ATL","11","2.07","260.6","271.0","283.3","340.0","294.6","57.3","$36","$36"
"","14","A.J. Brown","3.0","3.0","WR","NE","11","3.06","240.5","258.0","282.9","350.8","293.7","56.8","$33","$35"
"","15","Rashee Rice","3.0","3.0","WR","KC","5","3.03","213.3","237.0","296.3","340.7","293.3","56.5","$28","$35"
"","16","Nico Collins","3.0","3.0","WR","HOU","8","3.01","253.1","241.0","281.2","340.3","292.2","55.8","$33","$35"
"Injured","17","De'Von Achane","3.0","2.0","RB","MIA","6","1.10","255.0","289.0","280.2","358.7","297.0","53.9","$38","$33"
