"","Rank","Player","Overall Tier","Pos. Tier","Pos","Team","Bye","ADP","Floor","Consensus","DS Proj","Ceiling","3D Proj","3d Value","Market $","Auction $"
"","1","Jahmyr Gibbs","1.0","1.0","RB","DET","6","1.01","266.8","312.0","321.4","376.0","326.4","100.0","$66","$62"
"","2","Puka Nacua","1.0","1.0","WR","LAR","11","1.03","244.9","259.0","298.6","328.5","297.0","97.6","$60","$61"
"","3","Bijan Robinson","1.0","1.0","RB","ATL","11","1.02","268.7","315.0","316.1","369.8","322.1","97.5","$68","$60"
"","4","Ja'Marr Chase","1.0","1.0","WR","CIN","6","1.04","248.2","266.0","282.0","332.8","289.7","93.0","$58","$58"
"","5","Christian McCaffrey","1.0","1.0","RB","SF","8","1.05","247.3","286.0","297.9","372.4","309.0","89.7","$55","$56"
"","6","Jaxon Smith-Njigba","1.0","1.0","WR","SEA","11","1.06","243.4","248.0","267.5","318.3","277.0","84.8","$53","$53"
"","7","Jonathan Taylor","2.0","2.0","RB","IND","13","1.08","247.2","286.0","287.4","339.1","294.2","81.0","$66","$50"
"","8","Amon-Ra St. Brown","2.0","2.0","WR","DET","6","1.07","239.2","243.0","265.8","295.0","268.9","79.7","$46","$49"
"","9","James Cook","2.0","2.0","RB","BUF","7","1.12","239.3","253.0","275.0","335.5","285.0","75.6","$61","$47"
"","10","CeeDee Lamb","2.0","2.0","WR","DAL","14","1.09","223.4","219.0","253.9","304.7","262.2","75.4","$47","$47"
"","11","Ashton Jeanty","2.0","2.0","RB","LVR","13","1.13","237.8","243.0","267.2","342.0","282.3","74.0","$47","$46"
"","12","Justin Jefferson","2.0","2.0","WR","MIN","6","1.11","210.5","220.0","244.8","318.2","258.6","73.1","$40","$45"
"","13","Saquon Barkley","2.0","2.0","RB","PHI","10","1.14","230.2","238.0","253.0","349.1","275.1","69.7","$50","$43"
"","14","Derrick Henry","3.0","3.0","RB","BAL","13","2.02","219.4","252.0","258.1","327.8","270.1","66.8","$63","$41"
"","15","Nico Collins","3.0","3.0","WR","HOU","8","2.07","211.5","201.0","235.0","284.4","244.2","63.9","$38","$40"
"Injured","16","De'Von Achane","3.0","3.0","RB","MIA","6","1.10","227.3","257.0","249.8","319.7","264.8","63.6","$44","$39"
"","17","A.J. Brown","3.0","3.0","WR","NE","11","2.12","199.1","215.0","234.2","290.4","243.2","63.2","$37","$39"
"","18","Drake London","3.0","3.0","WR","ATL","11","2.03","214.3","224.0","232.9","279.5","242.2","62.6","$39","$39"
"","19","Kenneth Walker III","3.0","3.0","RB","KC","5","2.14","216.0","225.0","242.7","332.5","262.3","62.2","$39","$39"
"","20","Omarion Hampton","3.0","3.0","RB","LAC","7","2.04","209.8","234.0","241.1","337.5","261.7","61.8","$43","$38"
"","21","Rashee Rice","3.0","3.0","WR","KC","5","2.09","173.7","191.0","241.3","277.5","238.9","60.5","$31","$38"
"","22","George Pickens","3.0","3.0","WR","DAL","14","2.13","202.1","207.0","224.5","280.6","235.7","58.4","$37","$36"
"","23","Chase Brown","3.0","3.0","RB","CIN","6","2.11","203.3","236.0","242.0","317.0","255.4","58.1","$39","$36"
"","24","Josh Allen","3.0","1.0","QB","BUF","7","2.08","306.7","362.0","378.7","439.3","382.1","56.3","$43","$35"
"","25","Jeremiyah Love","3.0","3.0","RB","ARI","14","2.01","204.7","222.0","230.0","326.6","251.8","56.0","$43","$35"
"","26","Brock Bowers","3.0","1.0","TE","LVR","13","2.06","195.7","192.0","210.4","254.6","219.8","52.0","$29","$32"
"Value","27","Josh Jacobs","4.0","4.0","RB","GB","11","2.10","173.2","232.0","240.6","291.1","242.1","50.2","$36","$31"
"","28","Trey McBride","4.0","1.0","TE","ARI","14","2.05","190.9","201.0","205.3","246.4","213.9","49.6","$27","$31"
"","29","Breece Hall","4.0","4.0","RB","NYJ","13","3.03","197.1","220.0","226.5","292.2","239.1","48.5","$34","$30"
"","30","Javonte Williams","4.0","4.0","RB","DAL","14","3.06","197.1","213.0","229.2","286.5","239.0","48.4","$33","$30"
"","31","Tee Higgins","4.0","4.0","WR","CIN","6","4.04","186.8","198.0","209.9","260.3","219.5","48.1","$26","$30"
"","32","Kyren Williams","4.0","4.0","RB","LAR","11","3.07","205.9","215.0","223.8","286.5","237.7","47.6","$36","$30"
"Value","33","Zay Flowers","4.0","4.0","WR","BAL","13","3.13","188.3","194.0","214.0","248.2","218.7","47.5","$28","$29"
"Injured","34","Chris Olave","4.0","4.0","WR","NO","8","3.02","182.2","200.0","211.9","252.2","217.5","46.8","$30","$29"
"","35","Travis Etienne","4.0","4.0","RB","NO","8","3.12","197.7","205.0","217.2","295.4","235.0","46.0","$30","$29"
"","36","Colston Loveland","4.0","1.0","TE","CHI","10","3.11","165.6","184.0","202.0","238.4","205.3","46.0","$26","$29"
"Value","37","DeVonta Smith","4.0","4.0","WR","PHI","10","3.05","187.6","191.0","203.9","256.9","215.4","45.4","$24","$28"
"Injured","38","Malik Nabers","4.0","4.0","WR","NYG","8","3.01","159.7","184.0","197.1","279.9","212.9","43.8","$23","$27"
"","39","Garrett Wilson","4.0","4.0","WR","NYJ","13","3.08","181.9","186.0","202.1","248.6","211.1","42.7","$26","$26"
"Value","40","Christian Watson","4.0","4.0","WR","GB","11","6.14","169.6","160.0","199.5","253.4","208.8","41.2","$21","$26"
"","41","Tyler Warren","4.0","2.0","TE","IND","13","4.01","157.9","164.0","190.2","220.6","192.6","40.7","$22","$25"
"Value","42","Davante Adams","4.0","4.0","WR","LAR","11","3.14","172.4","180.0","198.2","249.7","207.6","40.4","$19","$25"
"Injured","43","Cameron 'Cam' Skattebo","5.0","5.0","RB","NYG","8","3.10","178.2","207.0","212.1","280.0","224.5","39.8","$25","$25"
"","44","D'Andre Swift","5.0","5.0","RB","CHI","10","5.06","184.1","194.0","209.2","274.1","222.3","38.5","$23","$24"
"Value","45","Jaylen Waddle","5.0","5.0","WR","DEN","10","4.14","168.3","174.0","193.4","249.5","204.1","38.2","$18","$24"
"Value","46","Terry McLaurin","5.0","5.0","WR","WAS","7","4.06","170.8","185.0","191.9","247.6","203.3","37.7","$23","$23"
"Injured","47","Tetairoa McMillan","5.0","5.0","WR","CAR","5","3.09","171.2","188.0","190.2","247.3","202.3","37.1","$26","$23"
"","48","Lamar Jackson","5.0","1.0","QB","BAL","13","3.04","298.7","329.0","339.4","437.8","358.8","36.9","$23","$23"
"Injured","49","Tucker Kraft","5.0","2.0","TE","GB","11","8.02","146.1","157.0","176.0","223.5","183.5","36.9","$20","$23"
"","50","Emeka Egbuka","5.0","5.0","WR","TB","10","4.03","164.4","171.0","189.0","251.4","201.6","36.6","$25","$23"
"","51","Luther Burden III","5.0","5.0","WR","CHI","10","5.10","161.7","171.0","188.0","251.9","200.7","36.0","$18","$22"
"","52","Ladd McConkey","5.0","5.0","WR","LAC","7","4.10","164.5","179.0","186.9","250.4","200.2","35.7","$20","$22"
"","53","Drake Maye","5.0","1.0","QB","NE","11","4.02","296.0","317.0","340.2","428.7","356.3","34.8","$24","$22"
"","54","Joe Burrow","5.0","2.0","QB","CIN","6","4.08","293.8","315.0","341.6","423.6","355.3","33.9","$16","$21"
"","55","Jameson Williams","5.0","5.0","WR","DET","6","5.04","166.1","170.0","184.6","243.7","197.4","33.9","$28","$21"
