QB,,,,,RB,,,,,WR,,,,,TE,,,,
#,Player,TM,$,BYE,#,Player,TM,$,BYE,#,Player,TM,$,BYE,#,Player,TM,$,BYE
1,Josh Allen,BUF,$26,7,1,Jahmyr Gibbs,DET,$59,6,1,Ja'Marr Chase,CIN,$71,6,1,Trey McBride,ARI,$29,14
2,Lamar Jackson,BAL,$15,13,2,Bijan Robinson,ATL,$56,11,2,Puka Nacua,LAR,$69,11,2,Brock Bowers,LV,$21,13
3,Drake Maye,NE,$6,11,3,Christian McCaffrey,SF,$52,8,3,Jaxon Smith-Njigba,SEA,$63,11,3,Colston Loveland,CHI,$18,10
4,Jayden Daniels,WAS,$5,7,4,De'Von Achane,MIA,$50,6,4,Amon-Ra St. Brown,DET,$55,6,4,Tyler Warren,IND,$16,13
5,Jalen Hurts,PHI,$5,10,5,Jonathan Taylor,IND,$49,13,5,Drake London,ATL,$44,11,5,Tucker Kraft,GB,$13,11
6,Joe Burrow,CIN,$4,6,6,Ashton Jeanty,LV,$27,13,6,Justin Jefferson,MIN,$34,6,6,Harold Fannin,CLE,$10,11
7,Justin Herbert,LAC,$2,7,7,Chase Brown,CIN,$26,6,7,A.J. Brown,NE,$34,11,7,Sam LaPorta,DET,$8,6
8,Trevor Lawrence,JAX,$1,7,8,Omarion Hampton,LAC,$22,7,8,CeeDee Lamb,DAL,$28,14,8,Kyle Pitts,ATL,$4,11
9,Dak Prescott,DAL,$1,14,9,Jeremiyah Love,ARI,$21,14,9,Garrett Wilson,NYJ,$26,13,9,George Kittle,SF,$4,8
10,Caleb Williams,CHI,$1,10,10,James Cook,BUF,$19,7,10,George Pickens,DAL,$25,14,10,Travis Kelce,KC,$2,5
11,Brock Purdy,SF,$1,8,11,Saquon Barkley,PHI,$19,10,11,Chris Olave,NO,$24,8,11,Jake Ferguson,DAL,$1,14
12,Jaxson Dart,NYG,$1,8,12,Kyren Williams,LAR,$18,11,12,DeVonta Smith,PHI,$24,10,12,Dallas Goedert,PHI,$1,10
13,Patrick Mahomes,KC,$1,5,13,Kenneth Walker,KC,$18,5,13,Nico Collins,HOU,$24,8,13,Mark Andrews,BAL,$1,13
14,Bo Nix,DEN,$1,10,14,Cam Skattebo,NYG,$14,8,14,Rashee Rice,KC,$23,5,14,Dalton Kincaid,BUF,$1,7
15,Jared Goff,DET,$1,6,15,Derrick Henry,BAL,$12,13,15,Jaylen Waddle,DEN,$23,10,15,Hunter Henry,NE,$1,11
16,Kyler Murray,MIN,$1,6,16,Josh Jacobs,GB,$12,11,16,Ladd McConkey,LAC,$22,7,16,Oronde Gadsden,LAC,$1,7
17,Matthew Stafford,LAR,$1,11,17,Breece Hall,NYJ,$9,13,17,Tee Higgins,CIN,$22,6,17,Isaiah Likely,NYG,$1,8
18,Baker Mayfield,TB,$1,10,18,Quinshon Judkins,CLE,$9,11,18,Tetairoa McMillan,CAR,$21,5,18,Kenyon Sadiq,NYJ,$1,13
19,Malik Willis,MIA,$1,6,19,Travis Etienne,NO,$7,8,19,Zay Flowers,BAL,$21,13,19,Dalton Schultz,HOU,$1,8
20,Jordan Love,GB,$1,11,20,Javonte Williams,DAL,$6,14,20,Davante Adams,LAR,$16,11,20,Juwan Johnson,NO,$1,8
21,Tyler Shough,NO,$1,8,21,D'Andre Swift,CHI,$5,10,21,Terry McLaurin,WAS,$16,7,21,Chigoziem Okonkwo,WAS,$1,7
22,C.J. Stroud,HOU,$1,8,22,Bucky Irving,TB,$5,10,22,Christian Watson,GB,$14,11,22,Brenton Strange,JAX,$1,7
23,Sam Darnold,SEA,$1,11,23,David Montgomery,HOU,$4,8,23,Luther Burden,CHI,$12,10,23,T.J. Hockenson,MIN,$1,6
24,Bryce Young,CAR,$1,5,24,Jaylen Warren,PIT,$4,9,24,Jameson Williams,DET,$11,6,24,AJ Barner,SEA,$1,11
25,Aaron Rodgers,PIT,$1,9,25,Bhayshul Tuten,JAX,$3,7,25,Emeka Egbuka,TB,$7,10,25,Cade Otton,TB,$1,10
26,Jacoby Brissett,ARI,$1,14,26,Rico Dowdle,PIT,$3,9,26,Chris Godwin,TB,$5,10,26,Greg Dulcich,MIA,$1,6
27,Daniel Jones,IND,$1,13,27,TreVeyon Henderson,NE,$3,11,27,D.J. Moore,BUF,$4,7,27,Gunnar Helm,TEN,$1,9
28,Cam Ward,TEN,$1,9,28,Rhamondre Stevenson,NE,$3,11,28,Mike Evans,SF,$4,8,28,David Njoku,LAC,$1,7
29,Geno Smith,NYJ,$1,13,29,Jadarian Price,SEA,$1,11,29,Parker Washington,JAX,$3,7,29,Pat Freiermuth,PIT,$1,9
 , , , , ,30,Kenneth Gainwell,TB,$1,10,30,DK Metcalf,PIT,$3,9,30,Mason Taylor,NYJ,$1,13
 , , , , ,31,Tony Pollard,TEN,$1,9,31,Brian Thomas Jr.,JAX,$3,7,31,Darnell Washington,PIT,$1,9
