Salary Cap Values #3
Overall,Bye Week,VALUES,Tags,Expert Notes,,QB,Bye Week,VALUES,Tags,Expert Notes,,RB,Bye Week,VALUES,Tags,Expert Notes,,WR,Bye Week,VALUES,Tags,Expert Notes,,TE,Bye Week,VALUES,Tags,Expert Notes,,K,Bye Week,VALUES,Tags,Expert Notes,,DST,Bye Week,VALUES,Tags,Expert Notes,,DB,Bye Week,VALUES,Tags,Expert Notes,,
Jahmyr Gibbs (RB - DET),6,$58,,,,Josh Allen - BUF,7,$27,,,,Jahmyr Gibbs - DET,6,$58,,,,Puka Nacua - LAR,11,$47,,,,Brock Bowers - LV,13,$26,,,,Brandon Aubrey - DAL,14,$1,,,,Houston Texans,8,$2,,,,Travis Hunter - JAC,7,$0,,,,
Bijan Robinson (RB - ATL),11,$55,,,,Drake Maye - NE,11,$12,,,,Bijan Robinson - ATL,11,$55,,,,Ja'Marr Chase - CIN,6,$44,,,,Trey McBride - ARI,14,$26,,,,Jason Myers - SEA,11,$1,,,,Denver Broncos,10,$2,,,,,,,,,,
Jonathan Taylor (RB - IND),13,$47,,,,Lamar Jackson - BAL,13,$11,,,,Jonathan Taylor - IND,13,$47,,,,Jaxon Smith-Njigba - SEA,11,$43,,,,Colston Loveland - CHI,10,$18,,,,Ka'imi Fairbairn - HOU,8,$1,,,,Pittsburgh Steelers,9,$1,,,,,,,,,,
Puka Nacua (WR - LAR),11,$47,,,,Jayden Daniels - WAS,7,$11,,,,Christian McCaffrey - SF,8,$46,,,,Amon-Ra St. Brown - DET,6,$39,,,,Tyler Warren - IND,13,$12,,,,Cameron Dicker - LAC,7,$1,,,,Minnesota Vikings,6,$1,,,,,,,,,,
Christian McCaffrey (RB - SF),8,$46,,,,Jalen Hurts - PHI,10,$10,,,,Derrick Henry - BAL,13,$44,,,,Drake London - ATL,11,$32,,,,Kyle Pitts Sr. - ATL,11,$11,,,,Harrison Mevis - LAR,11,$1,,,,Seattle Seahawks,11,$1,,,,,,,,,,
Derrick Henry (RB - BAL),13,$44,,,,Jaxson Dart - NYG,8,$7,,,,De'Von Achane - MIA,6,$39,,,,CeeDee Lamb - DAL,14,$27,,,,Dallas Goedert - PHI,10,$9,,,,Jake Bates - DET,6,$1,,,,Detroit Lions,6,$1,,,,,,,,,,
Ja'Marr Chase (WR - CIN),6,$44,,,,Joe Burrow - CIN,6,$6,,,,James Cook III - BUF,7,$38,,,,Rashee Rice - KC,5,$27,,,,Sam LaPorta - DET,6,$9,,,,Chase McLaughlin - TB,10,$1,,,,Buffalo Bills,7,$1,,,,,,,,,,
Jaxon Smith-Njigba (WR - SEA),11,$43,,,,Brock Purdy - SF,8,$5,,,,Saquon Barkley - PHI,10,$34,,,,Justin Jefferson - MIN,6,$25,,,,Harold Fannin Jr. - CLE,11,$9,,,,Cairo Santos - CHI,10,$1,,,,Los Angeles Rams,11,$1,,,,,,,,,,
De'Von Achane (RB - MIA),6,$39,,,,Dak Prescott - DAL,14,$5,,,,Josh Jacobs - GB,11,$33,,,,George Pickens - DAL,14,$25,,,,Tucker Kraft - GB,11,$8,,,,Eddy Pineiro - SF,8,$1,,,,Los Angeles Chargers,7,$1,,,,,,,,,,
Amon-Ra St. Brown (WR - DET),6,$39,,,,Trevor Lawrence - JAC,7,$4,,,,Ashton Jeanty - LV,13,$32,,,,A.J. Brown - NE,11,$24,,,,Travis Kelce - KC,5,$7,,,,Tyler Loop - BAL,13,$1,,,,Atlanta Falcons,11,$1,,,,,,,,,,
