Salary Cap Values #12
Overall,Bye Week,VALUES,Tags,Expert Notes,,QB,Bye Week,VALUES,Tags,Expert Notes,,RB,Bye Week,VALUES,Tags,Expert Notes,,WR,Bye Week,VALUES,Tags,Expert Notes,,TE,Bye Week,VALUES,Tags,Expert Notes,,K,Bye Week,VALUES,Tags,Expert Notes,,DST,Bye Week,VALUES,Tags,Expert Notes,,DB,Bye Week,VALUES,Tags,Expert Notes,,
Bo Nix (QB - DEN),10,$33,,,,Malik Willis - MIA,6,$25,,,,Bucky Irving - TB,10,$14,,,,Tee Higgins - CIN,6,$15,,,,T.J. Hockenson - MIN,6,$0,,,,Jake Moody - WAS,7,$0,,,,Tennessee Titans,9,$0,,,,,,,,,,
Christian McCaffrey (RB - SF),8,$33,,,,Jordan Love - GB,11,$24,,,,D'Andre Swift - CHI,10,$14,,,,Jameson Williams - DET,6,$14,,,,Pat Freiermuth - PIT,9,$0,,,,Andy Borregales - NE,11,$0,,,,Green Bay Packers,11,$0,,,,,,,,,,
Matthew Stafford (QB - LAR),11,$31,,,,Sam Darnold - SEA,11,$23,,,,Quinshon Judkins - CLE,11,$13,,,,Terry McLaurin - WAS,7,$13,,,,Greg Dulcich - MIA,6,$0,,,,Jake Elliott - PHI,10,$0,,,,Washington Commanders,7,$0,,,,,,,,,,
Jared Goff (QB - DET),6,$30,,,,C.J. Stroud - HOU,8,$22,,,,Bhayshul Tuten - JAC,7,$12,,,,Rome Odunze - CHI,10,$13,,,,Kenyon Sadiq - NYJ,13,$0,,,,Chris Boswell - PIT,9,$0,,,,Indianapolis Colts,13,$0,,,,,,,,,,
Jonathan Taylor (RB - IND),13,$30,,,,Daniel Jones - IND,13,$20,,,,TreVeyon Henderson - NE,11,$10,,,,Alec Pierce - IND,13,$12,,,,Cade Otton - TB,10,$0,,,,Jason Sanders - NYJ,13,$0,,,,Kansas City Chiefs,5,$0,,,,,,,,,,
Tyler Shough (QB - NO),8,$29,,,,Bryce Young - CAR,5,$20,,,,David Montgomery - HOU,8,$9,,,,Ladd McConkey - LAC,7,$12,,,,AJ Barner - SEA,11,$0,,,,Zane Gonzalez - MIA,6,$0,,,,New York Giants,8,$0,,,,,,,,,,
Baker Mayfield (QB - TB),10,$28,,,,Geno Smith - NYJ,13,$17,,,,Tony Pollard - TEN,9,$9,,,,DJ Moore - BUF,7,$11,,,,Chig Okonkwo - WAS,7,$0,,,,Joey Slye - TEN,9,$0,,,,Dallas Cowboys,14,$0,,,,,,,,,,
Drake London (WR - ATL),11,$28,,,,Jacoby Brissett - ARI,14,$17,,,,Jadarian Price - SEA,11,$9,,,,Jaylen Waddle - DEN,10,$11,,,,Oronde Gadsden II - LAC,7,$0,,,,Chad Ryland - ARI,14,$0,,,,Las Vegas Raiders,13,$0,,,,,,,,,,
De'Von Achane (RB - MIA),6,$27,,,,Cam Ward - TEN,9,$17,,,,Jaylen Warren - PIT,9,$8,,,,Luther Burden III - CHI,10,$11,,,,Terrance Ferguson - LAR,11,$0,,,,,,,,,,Arizona Cardinals,14,$0,,,,,,,,,,
Kyler Murray (QB - MIN),6,$26,,,,Aaron Rodgers - PIT,9,$15,,,,Chuba Hubbard - CAR,5,$8,,,,Courtland Sutton - DEN,10,$11,,,,Mike Gesicki - CIN,6,$0,,,,,,,,,,Miami Dolphins,6,$0,,,,,,,,,,
Malik Willis (QB - MIA),6,$25,,,,Fernando Mendoza - LV,13,$9,,,,Rico Dowdle - PIT,9,$8,,,,Mike Evans - SF,8,$9,,,,Evan Engram - DEN,10,$0,,,,,,,,,,San Francisco 49ers,8,$0,,,,,,,,,,
Derrick Henry (RB - BAL),13,$25,,,,Tua Tagovailoa - ATL,11,$4,,,,Rhamondre Stevenson - NE,11,$8,,,,Marvin Harrison Jr. - ARI,14,$9,,,,Gunnar Helm - TEN,9,$0,,,,,,,,,,Carolina Panthers,5,$0,,,,,,,,,,
Trey McBride (TE - ARI),14,$25,,,,Deshaun Watson - CLE,11,$1,,,,J.K. Dobbins - DEN,10,$7,,,,Christian Watson - GB,11,$9,,,,David Njoku - LAC,7,$0,,,,,,,,,,New York Jets,13,$0,,,,,,,,,,
Jordan Love (QB - GB),11,$24,,,,Shedeur Sanders - CLE,11,$1,,,,RJ Harvey - DEN,10,$6,,,,DK Metcalf - PIT,9,$9,,,,Mason Taylor - NYJ,13,$0,,,,,,,,,,,,,,,,,,,,,,
CeeDee Lamb (WR - DAL),14,$24,,,,Michael Penix Jr. - ATL,11,$1,,,,Aaron Jones Sr. - MIN,6,$6,,,,Jakobi Meyers - JAC,7,$6,,,,Colby Parkinson - LAR,11,$0,,,,,,,,,,,,,,,,,,,,,,
Rashee Rice (WR - KC),5,$24,,,,Riley Leonard - IND,13,$1,,,,Rachaad White - WAS,7,$5,,,,Michael Pittman Jr. - PIT,9,$6,,,,Michael Mayer - LV,13,$0,,,,,,,,,,,,,,,,,,,,,,
Sam Darnold (QB - SEA),11,$23,,,,,,,,,,Kyle Monangai - CHI,10,$5,,,,Parker Washington - JAC,7,$5,,,,Dawson Knox - BUF,7,$0,,,,,,,,,,,,,,,,,,,,,,
James Cook III (RB - BUF),7,$23,,,,,,,,,,Kenny Gainwell - TB,10,$5,,,,Carnell Tate - TEN,9,$5,,,,Theo Johnson - NYG,8,$0,,,,,,,,,,,,,,,,,,,,,,
Justin Jefferson (WR - MIN),6,$23,,,,,,,,,,Jacory Croskey-Merritt - WAS,7,$4,,,,Brian Thomas Jr. - JAC,7,$5,,,,Darnell Washington - PIT,9,$0,,,,,,,,,,,,,,,,,,,,,,
Brock Bowers (TE - LV),13,$23,,,,,,,,,,Blake Corum - LAR,11,$4,,,,Wan'Dale Robinson - TEN,9,$5,,,,Tyler Higbee - LAR,11,$0,,,,,,,,,,,,,,,,,,,,,,
C.J. Stroud (QB - HOU),8,$22,,,,,,,,,,Jordan Mason - MIN,6,$4,,,,Jayden Reed - GB,11,$5,,,,Cole Kmet - CHI,10,$0,,,,,,,,,,,,,,,,,,,,,,
Ashton Jeanty (RB - LV),13,$22,,,,,,,,,,Jonathon Brooks - CAR,5,$3,,,,Quentin Johnston - LAC,7,$4,,,,Ja'Tavion Sanders - CAR,5,$0,,,,,,,,,,,,,,,,,,,,,,
