Salary Cap Values #2
Overall,Bye Week,VALUES,Tags,Expert Notes,,QB,Bye Week,VALUES,Tags,Expert Notes,,RB,Bye Week,VALUES,Tags,Expert Notes,,WR,Bye Week,VALUES,Tags,Expert Notes,,TE,Bye Week,VALUES,Tags,Expert Notes,,K,Bye Week,VALUES,Tags,Expert Notes,,DST,Bye Week,VALUES,Tags,Expert Notes,,DB,Bye Week,VALUES,Tags,Expert Notes,,
James Cook III (RB - BUF),7,$33,,,,Patrick Mahomes II - KC,5,$2,,,,Chase Brown - CIN,6,$25,,,,Nico Collins - HOU,8,$22,,,,Mark Andrews - BAL,13,$2,,,,Harrison Butker - KC,5,$0,,,,Philadelphia Eagles,10,$0,,,,,,,,,,
Drake London (WR - ATL),11,$32,,,,Justin Herbert - LAC,7,$1,,,,Omarion Hampton - LAC,7,$24,,,,Chris Olave - NO,8,$21,,,,George Kittle - SF,8,$2,,,,Will Reichard - MIN,6,$0,,,,Chicago Bears,10,$0,,,,,,,,,,
Josh Allen (QB - BUF),7,$28,,,,Caleb Williams - CHI,10,$0,,,,Kyren Williams - LAR,11,$22,,,,Zay Flowers - BAL,13,$20,,,,Dalton Kincaid - BUF,7,$1,,,,Cam Little - JAC,7,$0,,,,Baltimore Ravens,13,$0,,,,,,,,,,
Saquon Barkley (RB - PHI),10,$28,,,,Bo Nix - DEN,10,$0,,,,Breece Hall - NYJ,13,$22,,,,Emeka Egbuka - TB,10,$17,,,,Isaiah Likely - NYG,8,$0,,,,Evan McPherson - CIN,6,$0,,,,Cleveland Browns,11,$0,,,,,,,,,,
Josh Jacobs (RB - GB),11,$28,,,,Matthew Stafford - LAR,11,$0,,,,Kenneth Walker III - KC,5,$22,,,,Davante Adams - LAR,11,$16,,,,Hunter Henry - NE,11,$0,,,,Nick Folk - ATL,11,$0,,,,New Orleans Saints,8,$0,,,,,,,,,,
CeeDee Lamb (WR - DAL),14,$27,,,,Jared Goff - DET,6,$0,,,,Jeremiyah Love - ARI,14,$21,,,,Jameson Williams - DET,6,$16,,,,Jake Ferguson - DAL,14,$0,,,,Wil Lutz - DEN,10,$0,,,,Cincinnati Bengals,6,$0,,,,,,,,,,
Ashton Jeanty (RB - LV),13,$26,,,,Tyler Shough - NO,8,$0,,,,Javonte Williams - DAL,14,$20,,,,Tee Higgins - CIN,6,$15,,,,Brenton Strange - JAC,7,$0,,,,Trey Smack - GB,11,$0,,,,Jacksonville Jaguars,7,$0,,,,,,,,,,
Rashee Rice (WR - KC),5,$26,,,,Baker Mayfield - TB,10,$0,,,,Cam Skattebo - NYG,8,$20,,,,Tetairoa McMillan - CAR,5,$14,,,,Juwan Johnson - NO,8,$0,,,,Tyler Bass - BUF,7,$0,,,,New England Patriots,11,$0,,,,,,,,,,
Chase Brown (RB - CIN),6,$25,,,,Kyler Murray - MIN,6,$0,,,,Travis Etienne Jr. - NO,8,$17,,,,DeVonta Smith - PHI,10,$14,,,,Dalton Schultz - HOU,8,$0,,,,Charlie Smyth - NO,8,$0,,,,Tampa Bay Buccaneers,10,$0,,,,,,,,,,
Omarion Hampton (RB - LAC),7,$24,,,,Malik Willis - MIA,6,$0,,,,D'Andre Swift - CHI,10,$16,,,,Malik Nabers - NYG,8,$14,,,,Pat Freiermuth - PIT,9,$0,,,,Jake Moody - WAS,7,$0,,,,Tennessee Titans,9,$0,,,,,,,,,,
Justin Jefferson (WR - MIN),6,$24,,,,Jordan Love - GB,11,$0,,,,Bucky Irving - TB,10,$16,,,,Garrett Wilson - NYJ,13,$14,,,,Kenyon Sadiq - NYJ,13,$0,,,,Andy Borregales - NE,11,$0,,,,Green Bay Packers,11,$0,,,,,,,,,,
George Pickens (WR - DAL),14,$24,,,,Sam Darnold - SEA,11,$0,,,,Quinshon Judkins - CLE,11,$15,,,,Rome Odunze - CHI,10,$13,,,,Greg Dulcich - MIA,6,$0,,,,Jake Elliott - PHI,10,$0,,,,Washington Commanders,7,$0,,,,,,,,,,
Brock Bowers (TE - LV),13,$24,,,,C.J. Stroud - HOU,8,$0,,,,Bhayshul Tuten - JAC,7,$14,,,,Alec Pierce - IND,13,$11,,,,T.J. Hockenson - MIN,6,$0,,,,Chris Boswell - PIT,9,$0,,,,Indianapolis Colts,13,$0,,,,,,,,,,
Trey McBride (TE - ARI),14,$24,,,,Daniel Jones - IND,13,$0,,,,TreVeyon Henderson - NE,11,$10,,,,Terry McLaurin - WAS,7,$11,,,,Oronde Gadsden II - LAC,7,$0,,,,Jason Sanders - NYJ,13,$0,,,,Kansas City Chiefs,5,$0,,,,,,,,,,
A.J. Brown (WR - NE),11,$23,,,,Bryce Young - CAR,5,$0,,,,David Montgomery - HOU,8,$10,,,,DJ Moore - BUF,7,$9,,,,Terrance Ferguson - LAR,11,$0,,,,Zane Gonzalez - MIA,6,$0,,,,New York Giants,8,$0,,,,,,,,,,
Kyren Williams (RB - LAR),11,$22,,,,Geno Smith - NYJ,13,$0,,,,Jadarian Price - SEA,11,$10,,,,Ladd McConkey - LAC,7,$8,,,,AJ Barner - SEA,11,$0,,,,Joey Slye - TEN,9,$0,,,,Dallas Cowboys,14,$0,,,,,,,,,,
Breece Hall (RB - NYJ),13,$22,,,,Jacoby Brissett - ARI,14,$0,,,,Tony Pollard - TEN,9,$9,,,,Jaylen Waddle - DEN,10,$8,,,,Cade Otton - TB,10,$0,,,,Chad Ryland - ARI,14,$0,,,,Las Vegas Raiders,13,$0,,,,,,,,,,
Kenneth Walker III (RB - KC),5,$22,,,,Cam Ward - TEN,9,$0,,,,Rico Dowdle - PIT,9,$8,,,,Courtland Sutton - DEN,10,$8,,,,Chig Okonkwo - WAS,7,$0,,,,,,,,,,Arizona Cardinals,14,$0,,,,,,,,,,
Nico Collins (WR - HOU),8,$22,,,,Aaron Rodgers - PIT,9,$0,,,,J.K. Dobbins - DEN,10,$8,,,,Christian Watson - GB,11,$8,,,,Mike Gesicki - CIN,6,$0,,,,,,,,,,Miami Dolphins,6,$0,,,,,,,,,,
Jeremiyah Love (RB - ARI),14,$21,,,,Fernando Mendoza - LV,13,$0,,,,Chuba Hubbard - CAR,5,$7,,,,Luther Burden III - CHI,10,$7,,,,Evan Engram - DEN,10,$0,,,,,,,,,,San Francisco 49ers,8,$0,,,,,,,,,,
Chris Olave (WR - NO),8,$21,,,,Tua Tagovailoa - ATL,11,$0,,,,Jaylen Warren - PIT,9,$7,,,,Mike Evans - SF,8,$7,,,,Gunnar Helm - TEN,9,$0,,,,,,,,,,Carolina Panthers,5,$0,,,,,,,,,,
Javonte Williams (RB - DAL),14,$20,,,,Deshaun Watson - CLE,11,$0,,,,Rhamondre Stevenson - NE,11,$7,,,,DK Metcalf - PIT,9,$6,,,,David Njoku - LAC,7,$0,,,,,,,,,,New York Jets,13,$0,,,,,,,,,,
Cam Skattebo (RB - NYG),8,$20,,,,Shedeur Sanders - CLE,11,$0,,,,Kyle Monangai - CHI,10,$5,,,,Marvin Harrison Jr. - ARI,14,$6,,,,Colby Parkinson - LAR,11,$0,,,,,,,,,,,,,,,,,,,,,,
Zay Flowers (WR - BAL),13,$20,,,,,,,,,,Jacory Croskey-Merritt - WAS,7,$5,,,,Brian Thomas Jr. - JAC,7,$3,,,,Mason Taylor - NYJ,13,$0,,,,,,,,,,,,,,,,,,,,,,
Travis Etienne Jr. (RB - NO),8,$17,,,,,,,,,,Aaron Jones Sr. - MIN,6,$5,,,,Parker Washington - JAC,7,$2,,,,Dawson Knox - BUF,7,$0,,,,,,,,,,,,,,,,,,,,,,
Emeka Egbuka (WR - TB),10,$17,,,,,,,,,,RJ Harvey - DEN,10,$5,,,,Quentin Johnston - LAC,7,$2,,,,Michael Mayer - LV,13,$0,,,,,,,,,,,,,,,,,,,,,,
D'Andre Swift (RB - CHI),10,$16,,,,,,,,,,Rachaad White - WAS,7,$5,,,,Jakobi Meyers - JAC,7,$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bucky Irving (RB - TB),10,$16,,,,,,,,,,Blake Corum - LAR,11,$5,,,,Carnell Tate - TEN,9,$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davante Adams (WR - LAR),11,$16,,,,,,,,,,Jordan Mason - MIN,6,$4,,,,Jordan Addison - MIN,6,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jameson Williams (WR - DET),6,$16,,,,,,,,,,Kenny Gainwell - TB,10,$3,,,,Jayden Reed - GB,11,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinshon Judkins (RB - CLE),11,$15,,,,,,,,,,Jonathon Brooks - CAR,5,$3,,,,Xavier Worthy - KC,5,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tee Higgins (WR - CIN),6,$15,,,,,,,,,,Zach Charbonnet - SEA,11,$2,,,,Michael Pittman Jr. - PIT,9,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colston Loveland (TE - CHI),10,$15,,,,,,,,,,Woody Marks - HOU,8,$2,,,,Jordyn Tyson - NO,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhayshul Tuten (RB - JAC),7,$14,,,,,,,,,,Isiah Pacheco - DET,6,$1,,,,Chris Godwin Jr. - TB,10,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetairoa McMillan (WR - CAR),5,$14,,,,,,,,,,Tyrone Tracy Jr. - NYG,8,$0,,,,Michael Wilson - ARI,14,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeVonta Smith (WR - PHI),10,$14,,,,,,,,,,Tyjae Spears - TEN,9,$0,,,,Rashid Shaheed - SEA,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Nabers (WR - NYG),8,$14,,,,,,,,,,Chris Rodriguez Jr. - JAC,7,$0,,,,Romeo Doubs - NE,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garrett Wilson (WR - NYJ),13,$14,,,,,,,,,,Alvin Kamara - NO,8,$0,,,,Wan'Dale Robinson - TEN,9,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rome Odunze (WR - CHI),10,$13,,,,,,,,,,Brian Robinson Jr. - ATL,11,$0,,,,Makai Lemon - PHI,10,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alec Pierce (WR - IND),13,$11,,,,,,,,,,Justice Hill - BAL,13,$0,,,,Ricky Pearsall - SF,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terry McLaurin (WR - WAS),7,$11,,,,,,,,,,Tyler Allgeier - ARI,14,$0,,,,Calvin Ridley - TEN,9,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drake Maye (QB - NE),11,$10,,,,,,,,,,Braelon Allen - NYJ,13,$0,,,,Matthew Golden - GB,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamar Jackson (QB - BAL),13,$10,,,,,,,,,,AJ Dillon - CAR,5,$0,,,,Khalil Shakir - BUF,7,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TreVeyon Henderson (RB - NE),11,$10,,,,,,,,,,Samaje Perine - CIN,6,$0,,,,John Metchie III - CAR,5,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Montgomery (RB - HOU),8,$10,,,,,,,,,,Jordan James - SF,8,$0,,,,Theo Wease Jr. - MIA,6,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jadarian Price (RB - SEA),11,$10,,,,,,,,,,Dylan Sampson - CLE,11,$0,,,,Josh Downs - IND,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayden Daniels (QB - WAS),7,$9,,,,,,,,,,Ty Johnson - BUF,7,$0,,,,Jalen Coker - CAR,5,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Hurts (QB - PHI),10,$9,,,,,,,,,,Kaelon Black - SF,8,$0,,,,Rashod Bateman - BAL,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Pollard (RB - TEN),9,$9,,,,,,,,,,Emari Demercado - KC,5,$0,,,,Tre Tucker - LV,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJ Moore (WR - BUF),7,$9,,,,,,,,,,Tank Bigsby - PHI,10,$0,,,,Jerry Jeudy - CLE,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rico Dowdle (RB - PIT),9,$8,,,,,,,,,,Mike Washington Jr. - LV,13,$0,,,,KC Concepcion - CLE,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.K. Dobbins (RB - DEN),10,$8,,,,,,,,,,Keaton Mitchell - LAC,7,$0,,,,Jayden Higgins - HOU,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ladd McConkey (WR - LAC),7,$8,,,,,,,,,,Malik Davis - DAL,14,$0,,,,Jalen McMillan - TB,10,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Waddle (WR - DEN),10,$8,,,,,,,,,,Adam Randall - BAL,13,$0,,,,Jauan Jennings - MIN,6,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Courtland Sutton (WR - DEN),10,$8,,,,,,,,,,Chris Brooks - GB,11,$0,,,,Jalen Nailor - LV,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Watson (WR - GB),11,$8,,,,,,,,,,Kimani Vidal - LAC,7,$0,,,,Antonio Williams - WAS,7,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Warren (TE - IND),13,$8,,,,,,,,,,James Conner - ARI,14,$0,,,,Tank Dell - HOU,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chuba Hubbard (RB - CAR),5,$7,,,,,,,,,,Emanuel Wilson - SEA,11,$0,,,,Cooper Kupp - SEA,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Warren (RB - PIT),9,$7,,,,,,,,,,Jaylen Wright - MIA,6,$0,,,,Denzel Boston - CLE,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhamondre Stevenson (RB - NE),11,$7,,,,,,,,,,Jawhar Jordan - HOU,8,$0,,,,Adonai Mitchell - NYJ,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luther Burden III (WR - CHI),10,$7,,,,,,,,,,Jaydon Blue - DAL,14,$0,,,,Omar Cooper Jr. - NYJ,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Evans (WR - SF),8,$7,,,,,,,,,,Kendre Miller - NO,8,$0,,,,Germie Bernard - PIT,9,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Pitts Sr. (TE - ATL),11,$7,,,,,,,,,,MarShawn Lloyd - GB,11,$0,,,,Darnell Mooney - NYG,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DK Metcalf (WR - PIT),9,$6,,,,,,,,,,George Holani - SEA,11,$0,,,,Kayshon Boutte - NE,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin Harrison Jr. (WR - ARI),14,$6,,,,,,,,,,Frank Gore Jr. - BUF,7,$0,,,,Travis Hunter - JAC,7,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaxson Dart (QB - NYG),8,$5,,,,,,,,,,Roschon Johnson - CHI,10,$0,,,,Bub Means - NO,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Monangai (RB - CHI),10,$5,,,,,,,,,,Kyle Juszczyk - SF,8,$0,,,,Tyquan Thornton - KC,5,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacory Croskey-Merritt (RB - WAS),7,$5,,,,,,,,,,Ollie Gordon II - MIA,6,$0,,,,Darius Slayton - NYG,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Jones Sr. (RB - MIN),6,$5,,,,,,,,,,Sean Tucker - TB,10,$0,,,,Ja'Kobi Lane - BAL,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ Harvey (RB - DEN),10,$5,,,,,,,,,,Emmett Johnson - KC,5,$0,,,,Christian Kirk - SF,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rachaad White (RB - WAS),7,$5,,,,,,,,,,Ray Davis - BUF,7,$0,,,,Tory Horton - SEA,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blake Corum (RB - LAR),11,$5,,,,,,,,,,Isaiah Davis - NYJ,13,$0,,,,Malik Washington - MIA,6,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas Goedert (TE - PHI),10,$5,,,,,,,,,,DJ Giddens - IND,13,$0,,,,Jaylin Noel - HOU,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam LaPorta (TE - DET),6,$5,,,,,,,,,,Austin Ekeler - ,,$0,,,,Nick Westbrook-Ikhine - IND,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harold Fannin Jr. (TE - CLE),11,$5,,,,,,,,,,Ty Chandler - NO,8,$0,,,,Troy Franklin - DEN,10,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Burrow (QB - CIN),6,$4,,,,,,,,,,,,,,,,Isaac TeSlaa - DET,6,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Mason (RB - MIN),6,$4,,,,,,,,,,,,,,,,Devaughn Vele - NO,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tucker Kraft (TE - GB),11,$4,,,,,,,,,,,,,,,,Hollywood Brown - PHI,10,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brock Purdy (QB - SF),8,$3,,,,,,,,,,,,,,,,De'Zhaun Stribling - SF,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenny Gainwell (RB - TB),10,$3,,,,,,,,,,,,,,,,Andrei Iosivas - CIN,6,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathon Brooks (RB - CAR),5,$3,,,,,,,,,,,,,,,,Ryan Flournoy - DAL,14,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Thomas Jr. (WR - JAC),7,$3,,,,,,,,,,,,,,,,Dyami Brown - WAS,7,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Kelce (TE - KC),5,$3,,,,,,,,,,,,,,,,Tre' Harris - LAC,7,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dak Prescott (QB - DAL),14,$2,,,,,,,,,,,,,,,,Caleb Douglas - MIA,6,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trevor Lawrence (QB - JAC),7,$2,,,,,,,,,,,,,,,,Chris Bell - MIA,6,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Mahomes II (QB - KC),5,$2,,,,,,,,,,,,,,,,Jalen Tolbert - MIA,6,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zach Charbonnet (RB - SEA),11,$2,,,,,,,,,,,,,,,,Ted Hurst III - TB,10,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woody Marks (RB - HOU),8,$2,,,,,,,,,,,,,,,,Jack Bech - LV,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parker Washington (WR - JAC),7,$2,,,,,,,,,,,,,,,,Jahan Dotson - ATL,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quentin Johnston (WR - LAC),7,$2,,,,,,,,,,,,,,,,Ashton Dulin - IND,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jakobi Meyers (WR - JAC),7,$2,,,,,,,,,,,,,,,,Elic Ayomanor - TEN,9,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carnell Tate (WR - TEN),9,$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Andrews (TE - BAL),13,$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Kittle (TE - SF),8,$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houston Texans (DST - HOU),8,$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Broncos (DST - DEN),10,$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Herbert (QB - LAC),7,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isiah Pacheco (RB - DET),6,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Addison (WR - MIN),6,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayden Reed (WR - GB),11,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalton Kincaid (TE - BUF),7,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pittsburgh Steelers (DST - PIT),9,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota Vikings (DST - MIN),6,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seattle Seahawks (DST - SEA),11,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Lions (DST - DET),6,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buffalo Bills (DST - BUF),7,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Rams (DST - LAR),11,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Aubrey (K - DAL),14,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Myers (K - SEA),11,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ka'imi Fairbairn (K - HOU),8,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameron Dicker (K - LAC),7,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrison Mevis (K - LAR),11,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Bates (K - DET),6,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase McLaughlin (K - TB),10,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cairo Santos (K - CHI),10,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
