"","Rank","Player","Overall Tier","Pos. Tier","Pos","Team","Bye","ADP","Floor","Consensus","DS Proj","Ceiling","3D Proj","3d Value","Market $","Auction $"
"","1","Puka Nacua","1.0","1.0","WR","LAR","11","1.03","298.7","316.0","364.3","400.7","362.3","100.0","$63","$63"
"","2","Ja'Marr Chase","1.0","1.0","WR","CIN","6","1.04","303.7","324.0","345.1","407.2","354.5","95.5","$61","$60"
"","3","Jahmyr Gibbs","1.0","1.0","RB","DET","6","1.01","296.9","346.0","357.7","418.5","363.2","95.0","$65","$60"
"","4","Bijan Robinson","1.0","1.0","RB","ATL","11","1.02","298.8","352.0","351.5","411.3","358.2","92.3","$67","$58"
"","5","Christian McCaffrey","1.0","1.0","RB","SF","8","1.05","279.6","325.0","336.9","421.1","349.5","87.6","$55","$55"
"","6","Jaxon Smith-Njigba","2.0","2.0","WR","SEA","11","1.06","292.4","300.0","321.3","382.3","332.7","82.7","$53","$52"
"","7","Amon-Ra St. Brown","2.0","2.0","WR","DET","6","1.07","292.2","300.0","324.7","360.4","328.5","80.3","$48","$51"
"","8","CeeDee Lamb","2.0","2.0","WR","DAL","14","1.09","270.7","267.0","307.6","369.1","317.7","74.0","$47","$47"
"","9","Justin Jefferson","2.0","2.0","WR","MIN","6","1.11","255.2","270.0","296.7","385.7","313.4","71.5","$41","$45"
"","10","Jonathan Taylor","2.0","2.0","RB","IND","13","1.08","266.7","308.0","310.1","365.9","317.4","70.3","$59","$44"
"","11","Ashton Jeanty","2.0","2.0","RB","LVR","13","2.01","265.8","272.0","298.6","382.2","315.4","69.2","$45","$44"
"","12","James Cook","2.0","2.0","RB","BUF","7","1.12","256.0","269.0","294.3","359.0","305.0","63.6","$53","$40"
"","13","Drake London","3.0","3.0","WR","ATL","11","2.05","260.6","271.0","283.3","340.0","294.6","60.5","$39","$38"
"","14","A.J. Brown","3.0","3.0","WR","NE","11","3.02","240.5","258.0","282.9","350.8","293.7","60.0","$36","$38"
"","15","Rashee Rice","3.0","3.0","WR","KC","5","2.11","213.3","237.0","296.3","340.7","293.3","59.7","$31","$38"
"Injured","16","De'Von Achane","3.0","2.0","RB","MIA","6","1.10","255.0","289.0","280.2","358.7","297.0","59.3","$43","$37"
"","17","Saquon Barkley","3.0","2.0","RB","PHI","10","2.02","248.6","257.0","273.2","377.0","297.0","59.3","$44","$37"
"","18","Nico Collins","3.0","3.0","WR","HOU","8","2.09","253.1","241.0","281.2","340.3","292.2","59.1","$36","$37"
"","19","Kenneth Walker III","3.0","3.0","RB","KC","5","3.04","237.4","248.0","266.7","365.4","288.3","54.6","$35","$34"
"","20","Chase Brown","3.0","3.0","RB","CIN","6","3.01","228.7","268.0","272.3","356.7","287.4","54.1","$38","$34"
"","21","Omarion Hampton","3.0","3.0","RB","LAC","7","2.06","230.3","261.0","264.7","370.6","287.3","54.1","$40","$34"
"","22","George Pickens","3.0","3.0","WR","DAL","14","3.03","241.2","248.0","268.0","335.0","281.4","52.8","$35","$33"
"","23","Josh Allen","3.0","1.0","QB","BUF","7","2.10","306.7","362.0","378.7","439.3","382.1","52.2","$41","$33"
"","24","Brock Bowers","3.0","1.0","TE","LVR","13","2.08","242.6","240.0","260.9","315.7","272.5","51.5","$30","$32"
"","25","Trey McBride","3.0","1.0","TE","ARI","14","2.07","240.9","254.0","259.0","310.8","269.8","50.5","$28","$32"
"","26","Derrick Henry","3.0","3.0","RB","BAL","13","2.04","227.9","261.0","268.1","340.5","280.5","50.4","$49","$32"
"","27","Jeremiyah Love","3.0","3.0","RB","ARI","14","2.03","227.1","250.0","255.2","362.4","279.3","49.8","$40","$31"
"Value","28","Zay Flowers","4.0","4.0","WR","BAL","13","4.05","229.7","235.0","261.0","302.8","266.7","44.2","$27","$28"
"","29","Breece Hall","4.0","4.0","RB","NYJ","13","3.07","220.5","244.0","253.5","327.0","267.6","43.5","$31","$27"
"Injured","30","Chris Olave","4.0","4.0","WR","NO","8","3.06","222.0","244.0","258.1","307.1","264.9","43.1","$29","$27"
"","31","Colston Loveland","4.0","2.0","TE","CHI","10","4.03","202.0","226.0","246.3","290.6","250.3","43.0","$25","$27"
"Value","32","DeVonta Smith","4.0","4.0","WR","PHI","10","3.09","228.5","233.0","248.4","313.0","262.4","41.7","$23","$26"
"","33","Tee Higgins","4.0","4.0","WR","CIN","6","4.10","222.6","237.0","250.1","310.1","261.5","41.2","$22","$26"
"Value","34","Josh Jacobs","4.0","4.0","RB","GB","11","2.12","188.1","251.0","261.2","316.1","262.9","40.9","$30","$26"
"","35","Garrett Wilson","4.0","4.0","WR","NYJ","13","3.12","224.9","233.0","249.9","307.4","261.0","40.9","$26","$26"
"Injured","36","Malik Nabers","4.0","4.0","WR","NYG","8","3.05","194.5","223.0","240.1","340.9","259.3","39.9","$22","$25"
"","37","Javonte Williams","4.0","4.0","RB","DAL","14","3.10","213.7","231.0","248.5","310.6","259.1","38.9","$27","$25"
"","38","Travis Etienne","4.0","4.0","RB","NO","8","4.04","216.8","225.0","238.2","324.0","257.7","38.1","$25","$24"
"","39","Tyler Warren","4.0","2.0","TE","IND","13","4.07","194.6","207.0","234.5","272.0","237.5","38.1","$21","$24"
"","40","Kyren Williams","4.0","4.0","RB","LAR","11","3.11","221.3","232.0","240.5","307.8","255.4","36.9","$29","$23"
"","41","Lamar Jackson","4.0","1.0","QB","BAL","13","3.08","298.7","329.0","339.4","437.8","358.8","34.4","$22","$22"
"Injured","42","Cameron 'Cam' Skattebo","4.0","4.0","RB","NYG","8","4.02","197.9","230.0","235.6","311.0","249.3","33.6","$22","$21"
"Value","43","Jaylen Waddle","4.0","4.0","WR","DEN","10","5.08","204.7","213.0","235.3","303.5","248.3","33.4","$16","$21"
"Value","44","Davante Adams","5.0","5.0","WR","LAR","11","4.06","205.9","214.0","236.7","298.2","247.9","33.2","$16","$21"
"Injured","45","Tucker Kraft","5.0","3.0","TE","GB","11","9.04","177.2","191.0","213.5","271.1","222.6","32.5","$19","$20"
"","46","Drake Maye","5.0","1.0","QB","NE","11","4.08","296.0","317.0","340.2","428.7","356.3","32.5","$23","$20"
"","47","Joe Burrow","5.0","2.0","QB","CIN","6","5.02","293.8","315.0","341.6","423.6","355.3","31.7","$16","$20"
"Value","48","Terry McLaurin","5.0","5.0","WR","WAS","7","4.12","205.8","222.0","231.2","298.2","244.9","31.5","$20","$20"
"","49","Emeka Egbuka","5.0","5.0","WR","TB","10","4.09","199.4","205.0","229.2","304.8","244.4","31.2","$22","$20"
"Injured","50","Tetairoa McMillan","5.0","5.0","WR","CAR","5","4.01","206.6","226.0","229.5","298.4","244.1","31.1","$23","$20"
"Value","51","Christian Watson","5.0","5.0","WR","GB","11","7.12","198.1","189.0","233.0","295.9","243.8","31.0","$16","$20"
"","52","Luther Burden III","5.0","5.0","WR","CHI","10","6.06","196.3","209.0","228.2","305.8","243.6","30.9","$16","$19"
"","53","Jalen Hurts","5.0","2.0","QB","PHI","10","5.05","292.8","320.0","332.7","432.5","352.7","30.7","$16","$19"
"","54","Ladd McConkey","5.0","5.0","WR","LAC","7","5.04","199.8","218.0","227.1","304.3","243.2","30.7","$18","$19"
"","55","D'Andre Swift","5.0","5.0","RB","CHI","10","6.02","199.6","212.0","226.8","297.1","241.0","30.5","$19","$19"
"","56","Jayden Daniels","5.0","2.0","QB","WAS","7","4.11","285.9","314.0","332.4","432.1","351.1","30.1","$18","$19"
"Injured","57","Bucky Irving","5.0","5.0","RB","TB","10","5.01","190.4","213.0","213.9","308.0","235.3","29.2","$20","$18"
"","58","Harold Fannin Jr.","5.0","3.0","TE","CLE","11","5.11","183.2","193.0","203.6","256.5","214.3","28.2","$15","$18"
"","59","David Montgomery","5.0","5.0","RB","HOU","8","6.03","181.5","199.0","213.5","296.8","230.4","28.1","$17","$18"
"","60","Sam LaPorta","5.0","3.0","TE","DET","6","6.07","181.2","195.0","201.3","259.7","213.6","27.8","$17","$18"
"","61","TreVeyon Henderson","5.0","5.0","RB","NE","11","5.06","179.7","199.0","199.7","319.5","228.7","27.8","$11","$18"
"Injured","62","Quinshon Judkins","5.0","5.0","RB","CLE","11","5.03","187.2","209.0","205.7","296.2","227.0","27.4","$23","$17"
"","63","Caleb Williams","5.0","2.0","QB","CHI","10","8.05","282.4","299.0","324.6","418.7","342.6","27.0","$11","$17"
"Value","64","Trevor Lawrence","5.0","2.0","QB","JAC","7","10.01","278.3","303.0","327.4","412.5","341.7","26.7","$15","$17"
"","65","Justin Herbert","5.0","2.0","QB","LAC","7","10.08","279.1","305.0","324.5","415.4","341.0","26.4","$15","$17"
"","66","Jaylen Warren","6.0","6.0","RB","PIT","9","7.11","177.6","192.0","208.9","271.6","220.3","25.9","$7","$16"
"","67","Jameson Williams","6.0","5.0","WR","DET","6","6.01","195.4","202.0","217.1","286.6","232.1","25.6","$22","$16"
"","68","Brock Purdy","6.0","2.0","QB","SF","8","8.09","278.2","297.0","323.5","407.6","338.2","25.4","$10","$16"
"","69","Dak Prescott","6.0","2.0","QB","DAL","14","8.02","281.1","307.0","323.1","403.9","337.5","25.1","$15","$16"
"Value","70","Mike Evans","6.0","5.0","WR","SF","8","6.10","185.9","203.0","216.2","289.7","230.7","24.9","$17","$16"
"","71","Jaxson Dart","6.0","2.0","QB","NYG","8","6.04","278.2","302.0","316.1","417.3","336.8","24.9","$11","$16"
"","72","Rhamondre Stevenson","6.0","6.0","RB","NE","11","9.09","168.8","183.0","194.0","283.2","213.8","24.4","$7","$15"
"","73","Bhayshul Tuten","6.0","6.0","RB","JAC","7","6.08","158.5","194.0","182.2","307.9","212.2","24.1","$12","$15"
"","74","Rome Odunze","6.0","6.0","WR","CHI","10","6.05","184.1","195.0","209.2","295.0","228.0","23.7","$14","$15"
"","75","Tony Pollard","6.0","6.0","RB","TEN","9","7.08","164.3","186.0","186.7","281.9","208.6","23.2","$8","$15"
"","76","Chuba Hubbard","6.0","6.0","RB","CAR","5","7.01","155.9","179.0","183.4","291.6","207.9","23.1","$7","$15"
"Value","77","D.K. Metcalf","6.0","6.0","WR","PIT","9","7.03","184.2","196.0","219.3","269.7","226.7","23.1","$10","$15"
"Injured","78","Bo Nix","6.0","2.0","QB","DEN","10","10.07","279.2","290.0","310.2","409.5","331.7","23.0","$12","$14"
"Injured","79","Patrick Mahomes","6.0","2.0","QB","KC","5","9.11","276.2","306.0","306.9","417.4","331.5","23.0","$10","$14"
