"","Rank","Player","Overall Tier","Pos. Tier","Pos","Team","Bye","ADP","Floor","Consensus","DS Proj","Ceiling","3D Proj","3d Value","Market $","Auction $"
"","1","Jahmyr Gibbs","1.0","1.0","RB","DET","6","1.01","236.6","277.0","285.0","333.5","289.4","100.0","$70","$65"
"","2","Bijan Robinson","1.0","1.0","RB","ATL","11","1.02","238.4","278.0","280.5","328.2","285.9","97.8","$72","$64"
"","3","Puka Nacua","1.0","1.0","WR","LAR","11","1.03","191.0","201.0","232.9","256.2","231.6","89.3","$57","$58"
"","4","Jonathan Taylor","1.0","1.0","RB","IND","13","1.08","227.6","265.0","264.6","312.2","270.9","88.2","$75","$57"
"","5","Christian McCaffrey","2.0","2.0","RB","SF","8","1.05","214.9","248.0","258.9","323.6","268.6","86.7","$55","$56"
"","6","Ja'Marr Chase","2.0","1.0","WR","CIN","6","1.04","192.5","208.0","218.8","258.2","224.8","84.6","$55","$55"
"","7","James Cook","2.0","2.0","RB","BUF","7","1.12","222.4","236.0","255.6","311.8","264.9","84.4","$71","$55"
"","8","Jaxon Smith-Njigba","2.0","1.0","WR","SEA","11","1.06","194.5","195.0","213.7","254.3","221.3","82.2","$53","$53"
"","9","Derrick Henry","2.0","2.0","RB","BAL","13","1.16","210.9","243.0","248.1","315.1","259.6","81.0","$81","$53"
"","10","Saquon Barkley","2.0","2.0","RB","PHI","10","1.14","211.8","218.0","232.8","321.3","253.1","76.9","$59","$50"
"","11","Ashton Jeanty","3.0","3.0","RB","LVR","13","1.13","209.8","214.0","235.7","301.7","249.0","74.2","$49","$48"
"","12","Amon-Ra St. Brown","3.0","2.0","WR","DET","6","1.07","186.2","186.0","206.9","229.7","209.4","73.9","$45","$48"
"","13","CeeDee Lamb","3.0","2.0","WR","DAL","14","1.09","176.1","170.0","200.1","240.1","206.7","72.1","$47","$47"
"","14","Justin Jefferson","3.0","2.0","WR","MIN","6","1.11","165.9","170.0","192.9","250.8","203.8","70.1","$41","$46"
"","15","Kenneth Walker III","3.0","3.0","RB","KC","5","2.12","194.6","202.0","218.6","299.5","236.3","66.1","$43","$43"
"","16","Omarion Hampton","3.0","3.0","RB","LAC","7","2.02","189.2","208.0","217.5","304.5","236.1","66.0","$49","$43"
"","17","Nico Collins","3.0","2.0","WR","HOU","8","2.05","170.0","160.0","188.9","228.6","196.3","64.9","$40","$42"
"Injured","18","De'Von Achane","3.0","3.0","RB","MIA","6","1.10","199.7","224.0","219.4","280.8","232.6","63.8","$47","$41"
"","19","A.J. Brown","3.0","3.0","WR","NE","11","2.10","157.7","172.0","185.5","230.0","192.6","62.3","$38","$40"
"","20","George Pickens","3.0","3.0","WR","DAL","14","2.11","162.8","166.0","180.9","226.1","189.9","60.5","$40","$39"
"","21","Drake London","3.0","3.0","WR","ATL","11","2.01","167.9","178.0","182.5","219.0","189.8","60.4","$39","$39"
"","22","Josh Allen","3.0","1.0","QB","BUF","7","2.06","306.7","362.0","378.7","439.3","382.1","58.7","$47","$38"
"","23","Jeremiyah Love","4.0","4.0","RB","ARI","14","1.15","182.1","193.0","204.6","290.5","223.9","58.2","$47","$38"
"","24","Chase Brown","4.0","4.0","RB","CIN","6","2.09","177.7","203.0","211.5","277.1","223.3","57.8","$41","$38"
"Value","25","Josh Jacobs","4.0","4.0","RB","GB","11","2.08","158.5","213.0","220.1","266.3","221.5","56.7","$43","$37"
"","26","Rashee Rice","4.0","3.0","WR","KC","5","2.07","134.1","145.0","186.2","214.1","184.3","56.6","$30","$37"
"","27","Kyren Williams","4.0","4.0","RB","LAR","11","3.03","190.3","199.0","206.9","264.8","219.7","55.5","$43","$36"
"","28","Javonte Williams","4.0","4.0","RB","DAL","14","3.02","180.4","195.0","209.8","262.3","218.8","55.0","$39","$36"
"","29","Tee Higgins","4.0","4.0","WR","CIN","6","3.14","151.0","159.0","169.7","210.4","177.4","51.8","$29","$34"
"","30","Travis Etienne","4.0","4.0","RB","NO","8","3.08","178.5","184.0","196.1","266.7","212.2","50.8","$35","$33"
"","31","Breece Hall","4.0","4.0","RB","NYJ","13","2.15","173.6","197.0","199.5","257.4","210.6","49.7","$36","$32"
"Value","32","Christian Watson","4.0","4.0","WR","GB","11","6.04","141.1","130.0","166.0","210.8","173.7","49.3","$26","$32"
"","33","Brock Bowers","4.0","1.0","TE","LVR","13","2.04","148.6","144.0","159.8","193.4","166.9","48.8","$29","$32"
"Value","34","Zay Flowers","4.0","4.0","WR","BAL","13","3.09","147.0","153.0","167.0","193.7","170.7","47.2","$30","$31"
"Injured","35","Chris Olave","4.0","4.0","WR","NO","8","2.14","142.6","156.0","165.8","197.3","170.2","46.9","$31","$30"
"Value","36","DeVonta Smith","4.0","4.0","WR","PHI","10","3.01","146.7","149.0","159.5","201.0","168.5","45.7","$26","$30"
"","37","Colston Loveland","4.0","1.0","TE","CHI","10","3.07","129.2","143.0","157.5","185.9","160.1","45.7","$26","$30"
"","38","D'Andre Swift","5.0","5.0","RB","CHI","10","4.14","168.6","177.0","191.6","251.0","203.6","45.3","$27","$29"
"Value","39","Davante Adams","5.0","4.0","WR","LAR","11","3.10","138.9","146.0","159.7","201.2","167.2","44.8","$22","$29"
"","40","Trey McBride","5.0","1.0","TE","ARI","14","2.03","140.9","149.0","151.5","181.8","157.8","44.7","$25","$29"
"Injured","41","Malik Nabers","5.0","4.0","WR","NYG","8","2.13","124.9","144.0","154.2","219.0","166.6","44.4","$25","$29"
"Injured","42","Cameron 'Cam' Skattebo","5.0","5.0","RB","NYG","8","3.06","158.3","185.0","188.4","248.7","199.4","42.6","$28","$28"
"","43","Jameson Williams","5.0","5.0","WR","DET","6","4.13","136.8","138.0","152.0","200.6","162.5","41.5","$36","$27"
"Value","44","Terry McLaurin","5.0","5.0","WR","WAS","7","3.16","135.7","147.0","152.5","196.7","161.5","40.8","$27","$27"
"","45","Garrett Wilson","5.0","5.0","WR","NYJ","13","3.04","139.0","140.0","154.4","189.9","161.3","40.7","$26","$26"
"","46","David Montgomery","5.0","5.0","RB","HOU","8","4.15","154.4","166.0","181.6","252.4","196.0","40.4","$24","$26"
"Injured","47","Quinshon Judkins","5.0","5.0","RB","CLE","11","4.03","161.3","178.0","177.3","255.3","195.7","40.2","$33","$26"
"Injured","48","Tetairoa McMillan","5.0","5.0","WR","CAR","5","3.05","135.7","150.0","150.8","196.0","160.4","40.1","$30","$26"
"","49","Tyler Warren","5.0","2.0","TE","IND","13","3.11","120.9","121.0","145.7","169.0","147.6","40.1","$22","$26"
"Value","50","Jaylen Waddle","5.0","5.0","WR","DEN","10","4.08","131.8","135.0","151.5","195.4","159.9","39.7","$20","$26"
"","51","Emeka Egbuka","5.0","5.0","WR","TB","10","3.13","129.5","137.0","148.8","197.9","158.7","38.9","$28","$25"
"Injured","52","Tucker Kraft","5.0","2.0","TE","GB","11","7.04","114.9","123.0","138.4","175.8","144.3","38.6","$22","$25"
"","53","Luther Burden III","5.0","5.0","WR","CHI","10","5.02","127.1","133.0","147.8","198.1","157.8","38.3","$20","$25"
"","54","Ladd McConkey","5.0","5.0","WR","LAC","7","4.04","129.1","141.0","146.7","196.6","157.1","37.8","$23","$25"
"","55","Lamar Jackson","5.0","1.0","QB","BAL","13","2.16","298.7","329.0","339.4","437.8","358.8","37.7","$25","$25"
"Value","56","Mike Evans","5.0","5.0","WR","SF","8","5.06","126.3","137.0","146.9","196.8","156.8","37.6","$25","$24"
"","57","Rome Odunze","5.0","5.0","WR","CHI","10","5.01","125.2","134.0","142.3","200.6","155.1","36.4","$22","$24"
"Injured","58","Bucky Irving","6.0","6.0","RB","TB","10","4.01","152.9","172.0","171.8","247.4","189.0","36.0","$24","$23"
"","59","TreVeyon Henderson","6.0","6.0","RB","NE","11","4.06","148.0","162.0","164.4","263.0","188.3","35.5","$14","$23"
"","60","Drake Maye","6.0","1.0","QB","NE","11","3.12","296.0","317.0","340.2","428.7","356.3","35.4","$26","$23"
"","61","Sam LaPorta","6.0","3.0","TE","DET","6","5.03","115.0","122.0","127.8","164.9","135.6","34.7","$22","$23"
"","62","Joe Burrow","6.0","2.0","QB","CIN","6","4.02","293.8","315.0","341.6","423.6","355.3","34.5","$17","$22"
"Value","63","D.K. Metcalf","6.0","6.0","WR","PIT","9","5.11","122.4","132.0","145.7","179.2","150.6","33.3","$15","$22"
"","64","Jadarian Price","6.0","6.0","RB","SEA","11","4.09","130.7","159.0","155.6","275.4","183.8","32.6","$19","$21"
"","65","Harold Fannin Jr.","6.0","3.0","TE","CLE","11","4.11","111.3","115.0","123.7","155.9","130.2","32.2","$17","$21"
"","66","Jalen Hurts","6.0","2.0","QB","PHI","10","4.05","292.8","320.0","332.7","432.5","352.7","32.2","$17","$21"
"Injured","67","Alec Pierce","6.0","6.0","WR","IND","13","5.14","119.9","135.0","139.4","186.8","148.8","32.1","$23","$21"
"","68","Parker Washington","6.0","6.0","WR","JAC","7","6.16","118.9","116.0","141.5","181.1","148.2","31.7","$17","$21"
"","69","D.J. Moore","6.0","6.0","WR","BUF","7","4.10","119.1","125.0","136.9","187.6","147.5","31.2","$14","$20"
"","70","Bhayshul Tuten","6.0","6.0","RB","JAC","7","5.04","135.2","163.0","155.4","262.6","181.0","31.2","$15","$20"
