"","Rank","Player","Overall Tier","Pos. Tier","Pos","Team","Bye","ADP","Floor","Consensus","DS Proj","Ceiling","3D Proj","3d Value","Market $","Auction $"
"","1","Puka Nacua","1.0","1.0","WR","LAR","11","1.03","298.7","316.0","364.3","400.7","362.3","100.0","$64","$65"
"","2","Jahmyr Gibbs","1.0","1.0","RB","DET","6","1.01","296.9","346.0","357.7","418.5","363.2","98.0","$68","$64"
"","3","Ja'Marr Chase","1.0","1.0","WR","CIN","6","1.04","303.7","324.0","345.1","407.2","354.5","96.0","$62","$62"
"","4","Bijan Robinson","1.0","1.0","RB","ATL","11","1.02","298.8","352.0","351.5","411.3","358.2","95.6","$70","$62"
"","5","Christian McCaffrey","1.0","1.0","RB","SF","8","1.05","279.6","325.0","336.9","421.1","349.5","91.5","$58","$59"
"","6","Jaxon Smith-Njigba","2.0","2.0","WR","SEA","11","1.06","292.4","300.0","321.3","382.3","332.7","84.8","$55","$55"
"","7","Amon-Ra St. Brown","2.0","2.0","WR","DET","6","1.07","292.2","300.0","324.7","360.4","328.5","82.6","$51","$54"
"","8","CeeDee Lamb","2.0","2.0","WR","DAL","14","1.09","270.7","267.0","307.6","369.1","317.7","77.0","$50","$50"
"","9","Jonathan Taylor","2.0","2.0","RB","IND","13","1.08","266.7","308.0","310.1","365.9","317.4","76.2","$66","$50"
"","10","Ashton Jeanty","2.0","2.0","RB","LVR","13","1.13","265.8","272.0","298.6","382.2","315.4","75.3","$50","$49"
"","11","Justin Jefferson","2.0","2.0","WR","MIN","6","1.11","255.2","270.0","296.7","385.7","313.4","74.8","$44","$49"
"","12","James Cook","2.0","2.0","RB","BUF","7","1.12","256.0","269.0","294.3","359.0","305.0","70.3","$59","$46"
"Injured","13","De'Von Achane","2.0","2.0","RB","MIA","6","1.10","255.0","289.0","280.2","358.7","297.0","66.5","$49","$43"
"","14","Saquon Barkley","2.0","2.0","RB","PHI","10","1.14","248.6","257.0","273.2","377.0","297.0","66.5","$50","$43"
"","15","Drake London","3.0","3.0","WR","ATL","11","2.01","260.6","271.0","283.3","340.0","294.6","65.1","$42","$42"
"","16","A.J. Brown","3.0","3.0","WR","NE","11","2.10","240.5","258.0","282.9","350.8","293.7","64.7","$40","$42"
"","17","Rashee Rice","3.0","3.0","WR","KC","5","2.07","213.3","237.0","296.3","340.7","293.3","64.5","$34","$42"
"","18","Nico Collins","3.0","3.0","WR","HOU","8","2.05","253.1","241.0","281.2","340.3","292.2","63.9","$40","$42"
"","19","Kenneth Walker III","3.0","3.0","RB","KC","5","2.12","237.4","248.0","266.7","365.4","288.3","62.4","$41","$41"
"","20","Chase Brown","3.0","3.0","RB","CIN","6","2.09","228.7","268.0","272.3","356.7","287.4","61.9","$44","$40"
"","21","Omarion Hampton","3.0","3.0","RB","LAC","7","2.02","230.3","261.0","264.7","370.6","287.3","61.9","$45","$40"
"","22","Derrick Henry","3.0","3.0","RB","BAL","13","1.16","227.9","261.0","268.1","340.5","280.5","58.7","$58","$38"
"","23","George Pickens","3.0","3.0","WR","DAL","14","2.11","241.2","248.0","268.0","335.0","281.4","58.4","$39","$38"
"","24","Jeremiyah Love","3.0","3.0","RB","ARI","14","1.15","227.1","250.0","255.2","362.4","279.3","58.1","$47","$38"
"","25","Breece Hall","4.0","4.0","RB","NYJ","13","2.15","220.5","244.0","253.5","327.0","267.6","52.5","$38","$34"
