Rank,Player,Team,Position
1,Trey McBride,ARI,TE
2,Colston Loveland,CHI,TE
3,Tyler Warren,IND,TE
4,Sam LaPorta,DET,TE
5,Tucker Kraft,GB,TE
6,Dallas Goedert,PHI,TE
7,Michael Mayer,LV,TE
8,Juwan Johnson,NO,TE
9,Harold Fannin,CLE,TE
10,Travis Kelce,KC,TE
11,Kyle Pitts,ATL,TE
12,Mark Andrews,BAL,TE
13,Isaiah Likely,NYG,TE
14,Dalton Kincaid,BUF,TE
15,George Kittle,SF,TE
16,Jake Ferguson,DAL,TE
17,Dalton Schultz,HOU,TE
18,Hunter Henry,NE,TE
19,Brenton Strange,JAC,TE
20,Cade Otton,TB,TE
21,T.J. Hockenson,MIN,TE
22,AJ Barner,SEA,TE
23,Terrance Ferguson,LAR,TE
24,Pat Freiermuth,PIT,TE
25,Greg Dulcich,MIA,TE
26,Chig Okonkwo,WAS,TE
27,Colby Parkinson,LAR,TE
28,Gunnar Helm,TEN,TE
29,Evan Engram,DEN,TE
30,Mike Gesicki,CIN,TE
31,Charlie Kolar,LAC,TE
32,Mason Taylor,NYJ,TE
33,Darren Waller,CAR,TE
34,Darnell Washington,PIT,TE
35,David Njoku,LAC,TE
36,Oronde Gadsden,LAC,TE
37,Theo Johnson,NYG,TE
38,Kenyon Sadiq,NYJ,TE
39,Tyler Higbee,LAR,TE
40,Erick All,CIN,TE
41,Elijah Arroyo,SEA,TE
42,Dawson Knox,BUF,TE
43,Cole Kmet,CHI,TE
44,Jake Tonges,SF,TE
45,Noah Fant,NO,TE
46,Noah Gray,KC,TE
47,Tommy Tremble,CAR,TE
48,Daniel Bellinger,TEN,TE
49,Josh Oliver,MIN,TE
50,Elijah Higgins,ARI,TE
51,Eli Raridon,NE,TE
52,Mitchell Evans,CAR,TE
53,Jonnu Smith,GB,TE
54,Drew Sample,CIN,TE
55,Adam Trautman,DEN,TE
56,Austin Hooper,ATL,TE
57,Brevyn Spann-Ford,DAL,TE
58,Durham Smythe,BAL,TE
59,Ian Thomas,LV,TE
60,Matt Hibner,BAL,TE
61,Mo Alie-Cox,IND,TE
62,Nate Boerkircher,JAC,TE
63,Johnny Mundt,PHI,TE
64,Foster Moreau,HOU,TE
65,Marlin Klein,HOU,TE
66,Ben Sinnott,WAS,TE
67,Brock Wright,DET,TE
68,Jackson Hawes,BUF,TE
69,John Bates,WAS,TE
70,Will Kacmarek,MIA,TE
71,Josh Whyle,GB,TE
72,Cade Stover,HOU,TE
73,Blake Whiteheart,CLE,TE
74,Luke Schoonmaker,DAL,TE
75,Davis Allen,LAR,TE
76,Charlie Woerner,ATL,TE
77,Luke Farrell,SF,TE
78,Hunter Long,ARI,TE
79,Drew Ogletree,IND,TE
80,Nate Adkins,DEN,TE
81,Payne Durham,TB,TE
82,Jeremy Ruckert,NYJ,TE
83,Sam Roush,CHI,TE
84,Robert Tonyan,PIT,TE
85,E.J. Jenkins,PHI,TE
86,Connor Heyward,LV,TE
87,Eric Saubert,SEA,TE
88,Carsen Ryan,CLE,TE
89,Kylen Granson,TEN,TE
90,Quintin Morris,JAC,TE
91,Tyler Conklin,DET,TE
92,Jared Wiley,KC,TE
93,Tanner Arkin,NE,TE
94,Cameron Latu,NE,TE
95,Seydou Traore,MIA,TE
96,David Martin-Robinson,TEN,TE
97,Riley Nowakowski,PIT,TE
98,Ko Kieft,TB,TE
99,Justin Joly,MIA,TE
100,Tanner Hudson,CIN,TE
101,Chris Manhertz,NYG,TE
102,Jake Briningstool,KC,TE
103,Thomas Fidone,NYG,TE
104,Nick Muse,ATL,TE
105,Bauer Sharp,TB,TE
106,Gavin Bartholomew,MIN,TE
107,Josh Cuevas,BAL,TE
108,Dallen Bentley,DEN,TE
109,Jelani Woods,NYJ,TE
110,Carter Runyon,LV,TE
111,Feleipe Franks,CAR,TE
112,Colson Yankoff,WAS,TE
113,Treyton Welch,NO,TE
114,Keleki Latu,BUF,TE
115,Mark Redman,GB,TE
