Rank,Player,Team,Position,Sources,Justin Boone (Sun 12:57 PM),Patrick Thorman (Sun 12:34 PM),Jeff Ratcliffe (Sun 12:59 PM),Sean Koerner (Sun 12:56 PM)
1,Ja'Marr Chase,CIN,WR,4,1,1,1,1
2,Puka Nacua,LAR,WR,4,2,2,2,2
3,Amon-Ra St. Brown,DET,WR,4,3,3,3,4
4,Jaxon Smith-Njigba,SEA,WR,4,4,4,4,3
5,CeeDee Lamb,DAL,WR,4,5,5,5,5
6,Chris Olave,NO,WR,4,6,6,6,7
7,Justin Jefferson,MIN,WR,4,7,7,7,6
8,Nico Collins,HOU,WR,4,8,9,8,9
9,George Pickens,DAL,WR,4,9,8,9,8
10,A.J. Brown,NE,WR,4,10,11,10,10
11,Zay Flowers,BAL,WR,4,12,10,11,12
12,DeVonta Smith,PHI,WR,4,11,12,12,11
13,Tee Higgins,CIN,WR,4,13,13,14,13
14,Garrett Wilson,NYJ,WR,4,14,15,17,14
15,Tetairoa McMillan,CAR,WR,4,15,14,15,19
16,Ladd McConkey,LAC,WR,4,16,16,16,16
17,Rashee Rice,KC,WR,4,17,18,18,17
18,Davante Adams,LAR,WR,4,18,17,20,18
19,Drake London,ATL,WR,4,19,23,13,24
20,Jaylen Waddle,DEN,WR,4,20,22,19,22
21,Luther Burden,CHI,WR,4,22,21,25,15
22,Jameson Williams,DET,WR,4,21,25,22,20
23,Emeka Egbuka,TB,WR,4,25,20,24,21
24,Christian Watson,GB,WR,4,24,24,23,23
25,Parker Washington,JAC,WR,4,26,19,26,25
26,Malik Nabers,NYG,WR,4,23,26,21,29
27,Mike Evans,SF,WR,4,27,28,27,26
28,DK Metcalf,PIT,WR,4,28,27,29,27
29,Terry McLaurin,WAS,WR,4,29,31,28,31
30,Chris Godwin,TB,WR,4,31,29,32,28
31,DJ Moore,BUF,WR,4,30,30,31,32
32,Marvin Harrison,ARI,WR,4,33,33,33,30
33,Quentin Johnston,LAC,WR,4,32,32,34,35
34,Rome Odunze,CHI,WR,4,36,35,30,39
35,Josh Downs,IND,WR,4,35,34,36,38
36,Courtland Sutton,DEN,WR,4,37,40,35,37
37,Jayden Reed,GB,WR,4,38,39,39,33
38,Michael Wilson,ARI,WR,4,34,42,37,41
39,Jordan Addison,MIN,WR,4,39,38,41,36
40,Michael Pittman,PIT,WR,4,40,37,38,42
41,Wan'Dale Robinson,TEN,WR,4,41,36,42,40
42,Tre Tucker,LV,WR,4,44,41,45,34
43,Brian Thomas,JAC,WR,4,42,45,40,45
44,Jakobi Meyers,JAC,WR,4,45,43,44,48
45,Carnell Tate,TEN,WR,4,46,47,43,44
46,Jalen Coker,CAR,WR,4,47,46,46,43
47,Matthew Golden,GB,WR,4,43,44,48,51
48,Stefon Diggs,WAS,WR,4,51,48,49,47
49,Romeo Doubs,NE,WR,4,48,52,51,49
50,Rashid Shaheed,SEA,WR,4,49,49,50,56
51,Alec Pierce,IND,WR,4,50,58,47,46
52,Xavier Worthy,KC,WR,4,52,53,52,53
53,Deebo Samuel,SF,WR,4,54,54,56,52
54,Khalil Shakir,BUF,WR,4,56,55,54,50
55,KC Concepcion,CLE,WR,4,55,56,53,54
56,Devaughn Vele,NO,WR,4,57,50,58,58
57,De'Zhaun Stribling,SF,WR,4,53,59,55,55
58,Keenan Allen,IND,WR,4,60,51,61,59
59,Jalen Nailor,LV,WR,4,58,57,60,57
60,Adonai Mitchell,NYJ,WR,4,59,61,57,64
61,Dontayvion Wicks,PHI,WR,4,61,62,59,63
62,Cooper Kupp,SEA,WR,4,64,64,64,61
63,Malik Washington,MIA,WR,4,63,65,66,60
64,Jerry Jeudy,CLE,WR,4,65,63,65,65
65,Makai Lemon,PHI,WR,4,62,67,63,67
66,Denzel Boston,CLE,WR,4,67,66,62,73
67,Rashod Bateman,BAL,WR,4,72,60,69,68
68,Tre' Harris,LAC,WR,4,66,68,70,66
69,Kayshon Boutte,HOU,WR,4,69,72,67,69
70,Jauan Jennings,MIN,WR,4,70,71,71,70
71,Ja'Kobi Lane,BAL,WR,4,68,74,68,80
72,Malachi Fields,NYG,WR,4,75,77,72,62
73,Caleb Douglas,MIA,WR,4,74,70,76,71
74,Pat Bryant,DEN,WR,4,76,69,73,76
75,Ryan Flournoy,DAL,WR,4,71,76,75,72
76,Chris Bell,MIA,WR,4,73,79,74,79
77,Calvin Ridley,TEN,WR,4,82,73,77,75
78,Darnell Mooney,NYG,WR,4,77,86,80,74
79,Ted Hurst,TB,WR,4,80,75,90,77
80,Isaac TeSlaa,DET,WR,4,79,78,79,87
81,Jaylin Noel,HOU,WR,4,78,83,78,84
82,DeMario Douglas,NE,WR,4,81,84,83,78
83,Xavier Legette,CAR,WR,4,85,82,85,83
84,Andrei Iosivas,CIN,WR,4,83,80,86,89
85,Tyquan Thornton,KC,WR,4,86,81,81,92
86,Omar Cooper,NYJ,WR,4,84,89,82,86
87,Xavier Hutchinson,HOU,WR,4,88,87,84,81
88,Jack Bech,LV,WR,4,91,88,88,82
89,Keon Coleman,BUF,WR,4,94,90,93,88
90,Kendrick Bourne,ARI,WR,4,95,91,92,93
91,Jahan Dotson,ATL,WR,4,97,85,89,109
92,Travis Hunter,JAC,WR,4,93,93,91,103
93,Kalif Raymond,CHI,WR,4,99,92,95,96
94,Zachariah Branch,ATL,WR,4,87,106,87,102
95,Germie Bernard,PIT,WR,4,90,103,96,95
96,Elic Ayomanor,TEN,WR,4,92,98,97,100
97,Joshua Palmer,BUF,WR,4,89,102,94,108
98,Bryce Lance,NO,WR,4,96,99,100,104
99,Odell Beckham,NYG,WR,4,104,100,105,91
100,Troy Franklin,DEN,WR,4,101,110,98,90
101,Roman Wilson,PIT,WR,4,112,94,103,98
102,KaVontae Turpin,DAL,WR,4,103,97,102,110
103,Marvin Mims,DEN,WR,4,105,101,99,105
104,Kyle Williams,NE,WR,4,100,114,113,85
105,Cyrus Allen,KC,WR,4,106,95,101,119
106,Antonio Williams,WAS,WR,4,98,118,107,94
107,Demarcus Robinson,SF,WR,4,102,107,104,113
108,Mack Hollins,NE,WR,4,107,109,108,107
109,Jalen Tolbert,MIA,WR,4,120,104,110,99
110,Ashton Dulin,IND,WR,4,108,111,106,120
111,Treylon Burks,WAS,WR,4,123,96,109,122
112,Isaiah Williams,NYJ,WR,4,116,113,112,106
113,Tez Johnson,TB,WR,4,118,108,127,97
114,Jordan Whittington,LAR,WR,4,113,112,114,115
115,Hollywood Brown,PHI,WR,4,111,115,117,116
116,Barion Brown,NO,WR,4,109,116,111,126
117,Malik Benson,LV,WR,4,115,119,115,112
118,Olamide Zaccheaus,ATL,WR,4,127,105,116,114
119,Brenen Thompson,LAC,WR,4,110,124,119,123
120,Konata Mumpfield,LAR,WR,4,114,122,122,128
121,Chimere Dike,TEN,WR,4,125,121,123,117
122,Isaiah Bond,CLE,WR,4,124,117,121,127
123,Colbie Young,CIN,WR,4,119,131,125,121
124,Jimmy Horn,CAR,WR,4,126,125,129,118
125,Zavion Thomas,CHI,WR,4,128,127,130,124
126,Tai Felton,MIN,WR,4,129,123,126,135
127,Xavier Smith,LAR,WR,4,122,144,143,101
128,Josh Cameron,JAC,WR,3,117,-149,118,133
129,Luke McCaffrey,WAS,WR,4,121,141,133,125
130,Kevin Austin,NO,WR,4,150,120,120,129
131,Dohnte Meyers,CIN,WR,4,148,126,124,131
132,Jaylin Lane,WAS,WR,4,137,142,147,111
133,Brycen Tremayne,CAR,WR,4,146,130,131,139
134,Jahdae Walker,CHI,WR,3,130,-150,132,136
135,Laquon Treadwell,IND,WR,4,147,132,136,142
136,Kevin Coleman,MIA,WR,4,132,148,145,132
137,Jonathan Mingo,DAL,WR,4,143,133,137,148
138,Bo Melton,GB,WR,4,158,128,128,143
139,Jalen Royals,KC,WR,3,133,-152,138,137
140,KhaDarel Hodge,SF,WR,4,141,135,135,156
141,Skyy Moore,GB,WR,4,145,134,150,138
142,Derius Davis,LAC,WR,3,131,-151,134,159
143,Darius Cooper,PHI,WR,3,136,136,139,-176
144,Tay Martin,DET,WR,4,149,147,149,130
145,Kaden Wetjen,PIT,WR,3,135,-154,146,146
146,Dyami Brown,WAS,WR,3,139,137,140,-177
147,Velus Jones,SEA,WR,2,138,-155,-151,144
148,Jalen Brooks,ARI,WR,4,151,140,144,157
149,Tom Kennedy,DET,WR,3,160,129,-160,147
150,Kameron Johnson,TB,WR,3,153,143,-155,145
151,Reggie Virgil,ARI,WR,2,134,-153,141,-175
152,Deion Burks,IND,WR,2,144,-158,-154,141
153,KeAndre Lambert-Smith,LAC,WR,2,154,-159,-156,134
154,Braxton Berrios,NYG,WR,3,161,138,-161,150
155,Jacob Cowing,SF,WR,2,140,-156,-152,164
156,Jared Wayne,HOU,WR,4,152,145,148,169
157,Devin Duvernay,ARI,WR,3,157,139,142,-178
158,Montorie Foster,SEA,WR,2,142,-157,-153,165
159,Ryan Miller,MIA,WR,3,155,146,-157,173
160,Lil'Jordan Humphrey,DEN,WR,2,156,-160,-158,154
161,LaJohntay Wester,BAL,WR,2,159,-161,-159,153
162,Greg Dortch,BUF,WR,2,163,-163,-163,140
163,Dalen Cambre,NYG,WR,2,165,-165,-165,149
164,Chris Moore,BAL,WR,1,-167,-167,-167,151
165,Tylan Wallace,CLE,WR,1,-168,-168,-168,152
166,Myles Price,MIN,WR,1,162,-162,-162,-179
167,Cody White,LV,WR,2,164,-164,-164,172
168,Kaden Davis,CHI,WR,2,166,-166,-166,167
169,Malachi Corley,CLE,WR,1,-169,-169,-169,155
170,Elijah Moore,PHI,WR,1,-170,-170,-170,158
171,Ben Skowronek,PIT,WR,1,-171,-171,-171,160
172,J. Michael Sturdivant,GB,WR,1,-172,-172,-172,161
173,Nikko Remigio,KC,WR,1,-173,-173,-173,162
174,Arian Smith,NYJ,WR,1,-174,-174,-174,163
175,CJ Williams,JAC,WR,1,-175,-175,-175,166
176,Britain Covey,PHI,WR,1,-176,-176,-176,168
177,Dareke Young,LV,WR,1,-177,-177,-177,170
178,Simi Fehoko,ARI,WR,1,-178,-178,-178,171
179,Chris Blair,ATL,WR,1,-179,-179,-179,174
