Rank,Player,Team,Position
1,Joe Burrow,CIN,QB
2,Lamar Jackson,BAL,QB
3,Jalen Hurts,PHI,QB
4,Justin Herbert,LAC,QB
5,Josh Allen,BUF,QB
6,Dak Prescott,DAL,QB
7,Jared Goff,DET,QB
8,Caleb Williams,CHI,QB
9,Trevor Lawrence,JAC,QB
10,Matthew Stafford,LAR,QB
11,Jaxson Dart,NYG,QB
12,Drake Maye,NE,QB
13,Kyler Murray,MIN,QB
14,Baker Mayfield,TB,QB
15,Brock Purdy,SF,QB
16,Jayden Daniels,WAS,QB
17,Tyler Shough,NO,QB
18,Bo Nix,DEN,QB
19,Jordan Love,GB,QB
20,Malik Willis,MIA,QB
21,Patrick Mahomes,KC,QB
22,Daniel Jones,IND,QB
23,Sam Darnold,SEA,QB
24,Bryce Young,CAR,QB
25,C.J. Stroud,HOU,QB
26,Jacoby Brissett,ARI,QB
27,Aaron Rodgers,PIT,QB
28,Cam Ward,TEN,QB
29,Kirk Cousins,LV,QB
30,Geno Smith,NYJ,QB
31,Deshaun Watson,CLE,QB
32,Cooper Rush,ATL,QB
33,Jack Strand,ATL,QB
