Rank,Player,Team,Position,Sources,Justin Boone (Sun 8:31 AM),Patrick Thorman (Fri 7:02 PM),Jeff Ratcliffe (Sun 10:13 AM),Sean Koerner (Sat 11:41 PM)
1,Joe Burrow,CIN,QB,4,1,2,1,2
2,Lamar Jackson,BAL,QB,4,2,1,2,4
3,Jalen Hurts,PHI,QB,4,3,3,3,3
4,Justin Herbert,LAC,QB,4,4,4,4,1
5,Josh Allen,BUF,QB,4,5,5,5,5
6,Dak Prescott,DAL,QB,4,6,6,6,6
7,Jared Goff,DET,QB,4,7,7,7,9
8,Caleb Williams,CHI,QB,4,8,8,8,7
9,Trevor Lawrence,JAC,QB,4,9,9,9,8
10,Jaxson Dart,NYG,QB,4,11,11,10,10
11,Matthew Stafford,LAR,QB,4,10,10,11,13
12,Drake Maye,NE,QB,4,12,12,12,15
13,Kyler Murray,MIN,QB,4,13,13,13,11
14,Baker Mayfield,TB,QB,4,15,14,14,12
15,Brock Purdy,SF,QB,4,14,15,16,14
16,Jayden Daniels,WAS,QB,4,16,16,15,17
17,Tyler Shough,NO,QB,4,17,17,17,16
18,Bo Nix,DEN,QB,4,18,18,18,20
19,Jordan Love,GB,QB,4,20,19,20,19
20,Patrick Mahomes,KC,QB,4,21,21,19,18
21,Malik Willis,MIA,QB,4,19,20,21,23
22,Daniel Jones,IND,QB,4,23,24,22,21
23,Sam Darnold,SEA,QB,4,22,23,23,24
24,Bryce Young,CAR,QB,4,24,22,24,22
25,C.J. Stroud,HOU,QB,4,25,25,25,25
26,Jacoby Brissett,ARI,QB,4,26,27,26,26
27,Aaron Rodgers,PIT,QB,4,27,26,27,27
28,Cam Ward,TEN,QB,4,30,28,28,28
29,Kirk Cousins,LV,QB,4,28,29,29,30
30,Geno Smith,NYJ,QB,4,29,30,30,29
31,Deshaun Watson,CLE,QB,4,31,31,31,31
32,Cooper Rush,ATL,QB,4,32,32,32,32
33,Jack Strand,ATL,QB,1,33,-33,-33,-33
