Overall,,,,,QB,,,,,RB,,,,,WR,,,,,TE,,,,,DST,,,,,Superflex,,,,,K,,,,,P,,,,,TM-QB,,,,,TM-RB,,,,,TM-WR,,,,,TM-TE,,,,,TM-K,,,,,HC,,,,,TM-OL,,,,,
Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,
"Jahmyr Gibbs",DET,"RB",22968,,"Josh Allen",BUF,"QB",17298,,"Jahmyr Gibbs",DET,"RB",22968,,"Ja'Marr Chase",CIN,"WR",19788,,"Brock Bowers",LV,"TE",22955,,"Houston Texans",HOU,"DST",8120,,"Josh Allen",BUF,"QB",17298,,"Brandon Aubrey",DAL,"K",26068,,"",,"",,,"",,"",,,"",,"",,,"",,"",,,"",,"",,,"",,"",,,"",,"",,,"",,"",,,
"Bijan Robinson",ATL,"RB",23133,,"Lamar Jackson",BAL,"QB",17233,,"Bijan Robinson",ATL,"RB",23133,,"Puka Nacua",LAR,"WR",23180,,"Trey McBride",ARI,"TE",22936,,"Los Angeles Rams",LAR,"DST",8280,,"Lamar Jackson",BAL,"QB",17233,,"Ka'imi Fairbairn",HOU,"K",15756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ja'Marr Chase",CIN,"WR",19788,,"Drake Maye",NE,"QB",23046,,"Jonathan Taylor",IND,"RB",19217,,"Jaxon Smith-Njigba",SEA,"WR",23070,,"Colston Loveland",CHI,"TE",26006,,"Denver Broncos",DEN,"DST",8090,,"Drake Maye",NE,"QB",23046,,"Cameron Dicker",LAC,"K",23901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Puka Nacua",LAR,"WR",23180,,"Joe Burrow",CIN,"QB",19196,,"Christian McCaffrey",SF,"RB",16393,,"Amon-Ra St. Brown",DET,"WR",19799,,"Tyler Warren",IND,"TE",26434,,"Seattle Seahawks",SEA,"DST",8260,,"Joe Burrow",CIN,"QB",19196,,"Cam Little",JAC,"K",26475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jonathan Taylor",IND,"RB",19217,,"Jayden Daniels",WAS,"QB",22902,,"James Cook III",BUF,"RB",22958,,"CeeDee Lamb",DAL,"WR",19202,,"Tucker Kraft",GB,"TE",25298,,"Philadelphia Eagles",PHI,"DST",8230,,"Jayden Daniels",WAS,"QB",22902,,"Jason Myers",SEA,"K",14003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jaxon Smith-Njigba",SEA,"WR",23070,,"Jalen Hurts",PHI,"QB",19275,,"Derrick Henry",BAL,"RB",15514,,"Justin Jefferson",MIN,"WR",19236,,"Sam LaPorta",DET,"TE",22978,,"Pittsburgh Steelers",PIT,"DST",8240,,"Jalen Hurts",PHI,"QB",19275,,"Charlie Smyth",NO,"K",26444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Christian McCaffrey",SF,"RB",16393,,"Caleb Williams",CHI,"QB",23084,,"Saquon Barkley",PHI,"RB",17240,,"A.J. Brown",NE,"WR",18218,,"George Kittle",SF,"TE",16499,,"New England Patriots",NE,"DST",8180,,"Jahmyr Gibbs",DET,"RB",22968,,"Ben Sauls",FA,"K",27798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"James Cook III",BUF,"RB",22958,,"Trevor Lawrence",JAC,"QB",19780,,"Kenneth Walker III",KC,"RB",23021,,"Nico Collins",HOU,"WR",20130,,"Kyle Pitts Sr.",ATL,"TE",20164,,"Kansas City Chiefs",KC,"DST",8150,,"Caleb Williams",CHI,"QB",23084,,"Eddy Pineiro",SF,"K",17575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amon-Ra St. Brown",DET,"WR",19799,,"Justin Herbert",LAC,"QB",18635,,"Chase Brown",CIN,"RB",25324,,"George Pickens",DAL,"WR",22963,,"Harold Fannin Jr.",CLE,"TE",27050,,"Baltimore Ravens",BAL,"DST",8020,,"Trevor Lawrence",JAC,"QB",19780,,"Chase McLaughlin",TB,"K",19058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Derrick Henry",BAL,"RB",15514,,"Dak Prescott",DAL,"QB",15600,,"Omarion Hampton",LAC,"RB",25395,,"Drake London",ATL,"WR",23163,,"Dalton Kincaid",BUF,"TE",25247,,"Jacksonville Jaguars",JAC,"DST",8140,,"Bijan Robinson",ATL,"RB",23133,,"Trey Smack",GB,"K",28507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CeeDee Lamb",DAL,"WR",19202,,"Brock Purdy",SF,"QB",19797,,"Ashton Jeanty",LV,"RB",25989,,"Malik Nabers",NYG,"WR",25409,,"Travis Kelce",KC,"TE",11594,,"Indianapolis Colts",IND,"DST",8130,,"Ja'Marr Chase",CIN,"WR",19788,,"Will Reichard",MIN,"K",26341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Saquon Barkley",PHI,"RB",17240,,"Bo Nix",DEN,"QB",22910,,"Kyren Williams",LAR,"RB",23059,,"Chris Olave",NO,"WR",20111,,"Isaiah Likely",NYG,"TE",23781,,"Minnesota Vikings",MIN,"DST",8170,,"Puka Nacua",LAR,"WR",23180,,"Jake Bates",DET,"K",26075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Justin Jefferson",MIN,"WR",19236,,"Patrick Mahomes II",KC,"QB",16413,,"Javonte Williams",DAL,"RB",22739,,"DeVonta Smith",PHI,"WR",19222,,"Dallas Goedert",PHI,"TE",17270,,"New Orleans Saints",NO,"DST",8190,,"Jonathan Taylor",IND,"RB",19217,,"Harrison Mevis",LAR,"K",26638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A.J. Brown",NE,"WR",18218,,"Kyler Murray",MIN,"QB",18600,,"De'Von Achane",MIA,"RB",23136,,"Zay Flowers",BAL,"WR",22916,,"Mark Andrews",BAL,"TE",17269,,"Dallas Cowboys",DAL,"DST",8080,,"Jaxon Smith-Njigba",SEA,"WR",23070,,"Evan McPherson",CIN,"K",23297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
